citation,context_text,extracted_text,predicted_label
"ע""פ 2733/20","אכן, בשנה האחרונה נפנה בית המשפט העליון ועמו הערכאות השיפוטיות האחרות להיאבק בתופעה מסוכנת זו באמצעות הגבהת רף הענישה, הנקוט בכגון דא. על הסכנה הגלומה בעבירות שעניינן סחר בנשק, בלא רשות על פי דין עמד בית המשפט העליון בדברים הבאים -
""...רעה חולה זו פוקדת את מדינתנו מזה זמן, והיא מזינה, דבר יום ביומו, את פעולות הטרור ואת עורקי הפשיעה החמורה, המסכנים את הציבור הישראלי, סכנת נפשות ממש, בכוח ובפועל. הקלות שאפיינה את מעשי הסחר במקרה דנן,.. למען בצע כסף, אכן ראויים לגינוי רועם וענישה מחמירה. לא זו אף זו, גל האלימות הגואה בתוככי המגזר הערבי, מצריך אף הוא מאיתנו להיענות לצו השעה, ולנקוט יד קשה כלפי מבצעי עבירות בנשק; לבטח כך, כאשר בעבירות של סחר בנשק עסקינן, כבעניין דנן"" (ע""פ 2733/20 אבו זיאד נ' מדינת ישראל, ניתן ביום 24.10.21) (ההדגשות אינן במקור).
זו נקודת המוצא בבואי לגזור לנאשם זה ולשכמותו עונש על מעשיהם ואין בלתה. זו הרוח אשר תנשוב מגזר הדין דכאן.","""...רעה חולה זו פוקדת את מדינתנו מזה זמן, והיא מזינה, דבר יום ביומו, את פעולות הטרור ואת עורקי הפשיעה החמורה, המסכנים את הציבור הישראלי, סכנת נפשות ממש, בכוח ובפועל. הקלות שאפיינה את מעשי הסחר במקרה דנן,.. למען בצע כסף, אכן ראויים לגינוי רועם וענישה מחמירה. לא זו אף זו, גל האלימות הגואה בתוככי המגזר הערבי, מצריך אף הוא מאיתנו להיענות לצו השעה, ולנקוט יד קשה כלפי מבצעי עבירות בנשק; לבטח כך, כאשר בעבירות של סחר בנשק עסקינן, כבעניין דנן"" (ע""פ 2733/20 אבו זיאד נ' מדינת ישראל, ניתן ביום 24.10.21) (ההדגשות אינן במקור).",0
"ע""פ 4910/13","בכל הנוגע לערכים החברתיים המוגנים שנפגעו, הרי שהדברים מובנים מאליהם: הסוחר, המחזיק והנושא נשק בלא רשות על פי דין פוגע בראש ובראשונה בביטחון המדינה ובמנגנוני שלטונה; בשלום הציבור ובסדר הציבורי. הוא פוגע בביטחון הציבור וחושף אותו לאירועי טרור עוין כמו גם פלילי המבוצעים באמצעות נשק המוחזק ומושג שלא כחוק. מקום בו האמור בשורה של מעשי מסחר בנשק הרי שאליבא דכולי עלמא מידת הפגיעה בערכים האמורים היא פגיעה חמורה ומשמעותית.
ראוי, לטעמי, להשקיף על המסכת העובדתית המגוללת בכתב-האישום כולו כאירוע אחד כמשמעותו בחוק (ראו לעניין זה: ע""פ 4910/13 ג'אבר נ' מדינת ישראל, מפי כב' השופטת ברק-ארז, ניתן ביום 29.10.14; ע""פ 9308/12 עיסא נ' מדינת ישראל, ניתן ביום 30.7.15). אמנם עסקינן בשלושה אישומים שונים אך אלו קשורים ""בקשר הדוק"" זה בזה. העבירות זהות, כולן בוצעו באותה השיטה, כחלק מתוכנית עבריינית אחת, כוללת, אל מול אותו סוכן סמוי. לפיכך, וכמצוות סעיף 40יג(א) לחוק העונשין ייקבע להלן מתחם עונש הולם יחיד לאירוע כולו (המשקף את חומרת כל העבירות שבוצעו).
על מנת לשרטט כדבעי את מתחם העונש ההולם בעניינו של הנאשם, עיינתי בפסיקה רחבה העוסקת בעבירות הזהות לנידון דידן, בדגש על עבירות הסחר בנשק.","ראו לעניין זה: ע""פ 4910/13 ג'אבר נ' מדינת ישראל, מפי כב' השופטת ברק-ארז, ניתן ביום 29.10.14;",0
"ע""פ 9308/12","בכל הנוגע לערכים החברתיים המוגנים שנפגעו, הרי שהדברים מובנים מאליהם: הסוחר, המחזיק והנושא נשק בלא רשות על פי דין פוגע בראש ובראשונה בביטחון המדינה ובמנגנוני שלטונה; בשלום הציבור ובסדר הציבורי. הוא פוגע בביטחון הציבור וחושף אותו לאירועי טרור עוין כמו גם פלילי המבוצעים באמצעות נשק המוחזק ומושג שלא כחוק. מקום בו האמור בשורה של מעשי מסחר בנשק הרי שאליבא דכולי עלמא מידת הפגיעה בערכים האמורים היא פגיעה חמורה ומשמעותית.
ראוי, לטעמי, להשקיף על המסכת העובדתית המגוללת בכתב-האישום כולו כאירוע אחד כמשמעותו בחוק (ראו לעניין זה: ע""פ 4910/13 ג'אבר נ' מדינת ישראל, מפי כב' השופטת ברק-ארז, ניתן ביום 29.10.14; ע""פ 9308/12 עיסא נ' מדינת ישראל, ניתן ביום 30.7.15). אמנם עסקינן בשלושה אישומים שונים אך אלו קשורים ""בקשר הדוק"" זה בזה. העבירות זהות, כולן בוצעו באותה השיטה, כחלק מתוכנית עבריינית אחת, כוללת, אל מול אותו סוכן סמוי. לפיכך, וכמצוות סעיף 40יג(א) לחוק העונשין ייקבע להלן מתחם עונש הולם יחיד לאירוע כולו (המשקף את חומרת כל העבירות שבוצעו).
על מנת לשרטט כדבעי את מתחם העונש ההולם בעניינו של הנאשם, עיינתי בפסיקה רחבה העוסקת בעבירות הזהות לנידון דידן, בדגש על עבירות הסחר בנשק.","ע""פ 9308/12 עיסא נ' מדינת ישראל, ניתן ביום 30.7.15",0
"ע""פ 4406/19","על מנת לשרטט כדבעי את מתחם העונש ההולם בעניינו של הנאשם, עיינתי בפסיקה רחבה העוסקת בעבירות הזהות לנידון דידן, בדגש על עבירות הסחר בנשק.
זאת לדעת, המחוקק קבע לצדה של העבירה שעניינה סחר בנשק שלא כדין לפי סעיף 144(ב2) לחוק העונשין עונש מרבי בן 15 שנות מאסר. מערכת השפיטה נרתמה כאמור למאמץ למיגור עבירות הנשק, על ידי הטלת ענישה מרתיעה. הדברים בוטאו כך מפי כב' השופט מזוז במסגרתו של ע""פ 4406/19 מדינת ישראל נ' סובח (ניתן ביום 15.11.19) בציינו כדלהלן:
""ביעור תופעת החזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי מהמעלה הראשונה ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה הרווחות במקומותינו, בבחינת 'ייבוש הביצה' המשמשת ערש לגידולן של תופעות אלה. מהלך כזה מחייב הירתמות גם של בתי המשפט, על ידי ענישה מחמירה ומרתיעה לעבירות נשק בלתי חוקי באשר הן, וכל שכן מקום שנעשה בנשק כזה שימוש בביצוע עבירות אלימות לסוגיהן"" (ההדגשות אינן במקור).","כבוד השופט מזוז במסגרתו של ע""פ 4406/19 מדינת ישראל נ' סובח (ניתן ביום 15.11.19) בציינו כדלהלן:
""ביעור תופעת החזקת כלי נשק בלתי חוקיים הוא אפוא אינטרס ציבורי מהמעלה הראשונה ותנאי הכרחי למאבק בתופעות הפשיעה האלימה לסוגיה הרווחות במקומותינו, בבחינת 'ייבוש הביצה' המשמשת ערש לגידולן של תופעות אלה. מהלך כזה מחייב הירתמות גם של בתי המשפט, על ידי ענישה מחמירה ומרתיעה לעבירות נשק בלתי חוקי באשר הן, וכל שכן מקום שנעשה בנשק כזה שימוש בביצוע עבירות אלימות לסוגיהן"" (ההדגשות אינן במקור).",0
"ע""פ 2033/20","לא זו אף זו, אך לאחרונה סבר המחוקק כי הגיעה שעת ההחמרה בענישה בכל הנוגע לאלו המורשעים בעבירות נשק. לפיכך, במסגרתו של תיקון מס' 140 לחוק העונשין (תיקון מס' 140 - הוראת שעה), התשפ""ב-2021, ס""ח 2938) עוגנו עונשים מזעריים בכל הנוגע לעבירות שעניינן החזקה, הובלה או סחר בנשק שלא כדין. בתיקון נקבע, כי העונש שיוטל על העבריין במקרים אלו ""לא יפחת עונשו מרבע העונש המרבי שנקבע לאותה עבירה, אלא אם כן החליט בית המשפט, מטעמים מיוחדים שיירשמו, להקל בעונשו; ..."".  (הוראה זו נכנסה לתוקפה ביום 8.12.21, מספר חודשים מועט לאחר ביצוען של העבירות מושא האישומים דכאן ולפיכך איננה חלה על עניינו של הנאשם). תיקון החוק הנ""ל אמנם אינו חל על ענייננו, אולם לשיטתי, אין להתעלם מרוח המחוקק הנושבת ממנו והעולה מתכלית חקיקתו; מדובר בנדבך נוסף ומשמעותי במערכה למיגור תופעת ההחזקה המפושטת של נשק בלתי חוקי והשימוש בו. התיקון מבקש לשקף את החומרה אותה יש לייחס לתופעה בה עסקינן ואת צורך המובהק לאסור על עבירות הנשק, הפוגעות בכל חלקה טובה בארצנו, מלחמת חורמה בלתי מתפשרת.
ואכן, מגמת ההחמרה בענישה הבאה לידי ביטוי בפסיקת הערכאות השונות בגין עבירות בנשק ניכרת היטב. עם זאת,  ברי כי העונש שנגזר בסופו של יום תלוי לא רק בנסיבות ביצוע העבירה אלא גם בעברו הפלילי של הנאשם ובנסיבותיו האישיות. כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 2033/20 אבו זיאד נ' מדינת ישראל (ניתן ביום 24.10.21 ) – במסגרתו הושתו על שני הנאשמים (בעלי עבר פלילי מכביד אשר סחרו באופן שיטתי בנשק) 10 שנות מאסר ו - 8.5 שנות מאסר לריצוי בפועל, בהתאמה; ע""פ 971/19 מדינת ישראל נ' געביס (ניתן ביום 11.7.19) – במסגרתו הושתו 50 חודשי מאסר לריצוי בפועל (בגין שלושה אישומים של סחר בנשק);  ע""פ 1944/20 אמארה נ' מדינת ישראל (ניתן ביום 2.9.20) – במסגרתו הושתו 6 שנות מאסר לריצוי בפועל;  ע""פ 4456/21 מדינת ישראל נ' אבו עבסה (ניתן ביום 23.1.22) – במסגרתו הושתו 72 חודשי מאסר לריצוי בפועל; ע""פ 5643/14 עיסא נ' מדינת ישראל (ניתן ביום 23.6.15) - במסגרתו הושתו 65 חודשי מאסר לריצוי בפועל; ע""פ 7268/11 גרבאן נ' מדינת ישראל (ניתן ביום 8.8.12) - במסגרתו הושתו  80 חודשי מאסר לריצוי בפועל.
אעיר בנקודה זו, כי ימים ספורים עובר לכתיבת שורות אלו יצא מלפני בית המשפט העליון פסק דין שעניינו, בין היתר, בעבירת נשיאת נשק שלא כדין - ע""פ 5602/22 מדינת ישראל נ' פלוני (ניתן ביום 14.9.22).  במסגרתו של פסק דין הנ""ל הדגיש כב' השופט א' שטיין את הדברים להלן -","למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 2033/20 אבו זיאד נ' מדינת ישראל (ניתן ביום 24.10.21 ) – במסגרתו הושתו על שני הנאשמים (בעלי עבר פלילי מכביד אשר סחרו באופן שיטתי בנשק) 10 שנות מאסר ו - 8.5 שנות מאסר לריצוי בפועל, בהתאמה;",1
"ע""פ 971/19","לא זו אף זו, אך לאחרונה סבר המחוקק כי הגיעה שעת ההחמרה בענישה בכל הנוגע לאלו המורשעים בעבירות נשק. לפיכך, במסגרתו של תיקון מס' 140 לחוק העונשין (תיקון מס' 140 - הוראת שעה), התשפ""ב-2021, ס""ח 2938) עוגנו עונשים מזעריים בכל הנוגע לעבירות שעניינן החזקה, הובלה או סחר בנשק שלא כדין. בתיקון נקבע, כי העונש שיוטל על העבריין במקרים אלו ""לא יפחת עונשו מרבע העונש המרבי שנקבע לאותה עבירה, אלא אם כן החליט בית המשפט, מטעמים מיוחדים שיירשמו, להקל בעונשו; ..."".  (הוראה זו נכנסה לתוקפה ביום 8.12.21, מספר חודשים מועט לאחר ביצוען של העבירות מושא האישומים דכאן ולפיכך איננה חלה על עניינו של הנאשם). תיקון החוק הנ""ל אמנם אינו חל על ענייננו, אולם לשיטתי, אין להתעלם מרוח המחוקק הנושבת ממנו והעולה מתכלית חקיקתו; מדובר בנדבך נוסף ומשמעותי במערכה למיגור תופעת ההחזקה המפושטת של נשק בלתי חוקי והשימוש בו. התיקון מבקש לשקף את החומרה אותה יש לייחס לתופעה בה עסקינן ואת צורך המובהק לאסור על עבירות הנשק, הפוגעות בכל חלקה טובה בארצנו, מלחמת חורמה בלתי מתפשרת.
ואכן, מגמת ההחמרה בענישה הבאה לידי ביטוי בפסיקת הערכאות השונות בגין עבירות בנשק ניכרת היטב. עם זאת,  ברי כי העונש שנגזר בסופו של יום תלוי לא רק בנסיבות ביצוע העבירה אלא גם בעברו הפלילי של הנאשם ובנסיבותיו האישיות. כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 2033/20 אבו זיאד נ' מדינת ישראל (ניתן ביום 24.10.21 ) – במסגרתו הושתו על שני הנאשמים (בעלי עבר פלילי מכביד אשר סחרו באופן שיטתי בנשק) 10 שנות מאסר ו - 8.5 שנות מאסר לריצוי בפועל, בהתאמה; ע""פ 971/19 מדינת ישראל נ' געביס (ניתן ביום 11.7.19) – במסגרתו הושתו 50 חודשי מאסר לריצוי בפועל (בגין שלושה אישומים של סחר בנשק);  ע""פ 1944/20 אמארה נ' מדינת ישראל (ניתן ביום 2.9.20) – במסגרתו הושתו 6 שנות מאסר לריצוי בפועל;  ע""פ 4456/21 מדינת ישראל נ' אבו עבסה (ניתן ביום 23.1.22) – במסגרתו הושתו 72 חודשי מאסר לריצוי בפועל; ע""פ 5643/14 עיסא נ' מדינת ישראל (ניתן ביום 23.6.15) - במסגרתו הושתו 65 חודשי מאסר לריצוי בפועל; ע""פ 7268/11 גרבאן נ' מדינת ישראל (ניתן ביום 8.8.12) - במסגרתו הושתו  80 חודשי מאסר לריצוי בפועל.
אעיר בנקודה זו, כי ימים ספורים עובר לכתיבת שורות אלו יצא מלפני בית המשפט העליון פסק דין שעניינו, בין היתר, בעבירת נשיאת נשק שלא כדין - ע""פ 5602/22 מדינת ישראל נ' פלוני (ניתן ביום 14.9.22).  במסגרתו של פסק דין הנ""ל הדגיש כב' השופט א' שטיין את הדברים להלן -","  ראו:  ע""פ 971/19 מדינת ישראל נ' געביס (ניתן ביום 11.7.19) – במסגרתו הושתו 50 חודשי מאסר לריצוי בפועל (בגין שלושה אישומים של סחר בנשק);",1
"ע""פ 1944/20","לא זו אף זו, אך לאחרונה סבר המחוקק כי הגיעה שעת ההחמרה בענישה בכל הנוגע לאלו המורשעים בעבירות נשק. לפיכך, במסגרתו של תיקון מס' 140 לחוק העונשין (תיקון מס' 140 - הוראת שעה), התשפ""ב-2021, ס""ח 2938) עוגנו עונשים מזעריים בכל הנוגע לעבירות שעניינן החזקה, הובלה או סחר בנשק שלא כדין. בתיקון נקבע, כי העונש שיוטל על העבריין במקרים אלו ""לא יפחת עונשו מרבע העונש המרבי שנקבע לאותה עבירה, אלא אם כן החליט בית המשפט, מטעמים מיוחדים שיירשמו, להקל בעונשו; ..."".  (הוראה זו נכנסה לתוקפה ביום 8.12.21, מספר חודשים מועט לאחר ביצוען של העבירות מושא האישומים דכאן ולפיכך איננה חלה על עניינו של הנאשם). תיקון החוק הנ""ל אמנם אינו חל על ענייננו, אולם לשיטתי, אין להתעלם מרוח המחוקק הנושבת ממנו והעולה מתכלית חקיקתו; מדובר בנדבך נוסף ומשמעותי במערכה למיגור תופעת ההחזקה המפושטת של נשק בלתי חוקי והשימוש בו. התיקון מבקש לשקף את החומרה אותה יש לייחס לתופעה בה עסקינן ואת צורך המובהק לאסור על עבירות הנשק, הפוגעות בכל חלקה טובה בארצנו, מלחמת חורמה בלתי מתפשרת.
ואכן, מגמת ההחמרה בענישה הבאה לידי ביטוי בפסיקת הערכאות השונות בגין עבירות בנשק ניכרת היטב. עם זאת,  ברי כי העונש שנגזר בסופו של יום תלוי לא רק בנסיבות ביצוע העבירה אלא גם בעברו הפלילי של הנאשם ובנסיבותיו האישיות. כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 2033/20 אבו זיאד נ' מדינת ישראל (ניתן ביום 24.10.21 ) – במסגרתו הושתו על שני הנאשמים (בעלי עבר פלילי מכביד אשר סחרו באופן שיטתי בנשק) 10 שנות מאסר ו - 8.5 שנות מאסר לריצוי בפועל, בהתאמה; ע""פ 971/19 מדינת ישראל נ' געביס (ניתן ביום 11.7.19) – במסגרתו הושתו 50 חודשי מאסר לריצוי בפועל (בגין שלושה אישומים של סחר בנשק);  ע""פ 1944/20 אמארה נ' מדינת ישראל (ניתן ביום 2.9.20) – במסגרתו הושתו 6 שנות מאסר לריצוי בפועל;  ע""פ 4456/21 מדינת ישראל נ' אבו עבסה (ניתן ביום 23.1.22) – במסגרתו הושתו 72 חודשי מאסר לריצוי בפועל; ע""פ 5643/14 עיסא נ' מדינת ישראל (ניתן ביום 23.6.15) - במסגרתו הושתו 65 חודשי מאסר לריצוי בפועל; ע""פ 7268/11 גרבאן נ' מדינת ישראל (ניתן ביום 8.8.12) - במסגרתו הושתו  80 חודשי מאסר לריצוי בפועל.
אעיר בנקודה זו, כי ימים ספורים עובר לכתיבת שורות אלו יצא מלפני בית המשפט העליון פסק דין שעניינו, בין היתר, בעבירת נשיאת נשק שלא כדין - ע""פ 5602/22 מדינת ישראל נ' פלוני (ניתן ביום 14.9.22).  במסגרתו של פסק דין הנ""ל הדגיש כב' השופט א' שטיין את הדברים להלן -","כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 1944/20 אמארה נ' מדינת ישראל (ניתן ביום 2.9.20) – במסגרתו הושתו 6 שנות מאסר לריצוי בפועל;",1
"ע""פ 4456/21","לא זו אף זו, אך לאחרונה סבר המחוקק כי הגיעה שעת ההחמרה בענישה בכל הנוגע לאלו המורשעים בעבירות נשק. לפיכך, במסגרתו של תיקון מס' 140 לחוק העונשין (תיקון מס' 140 - הוראת שעה), התשפ""ב-2021, ס""ח 2938) עוגנו עונשים מזעריים בכל הנוגע לעבירות שעניינן החזקה, הובלה או סחר בנשק שלא כדין. בתיקון נקבע, כי העונש שיוטל על העבריין במקרים אלו ""לא יפחת עונשו מרבע העונש המרבי שנקבע לאותה עבירה, אלא אם כן החליט בית המשפט, מטעמים מיוחדים שיירשמו, להקל בעונשו; ..."".  (הוראה זו נכנסה לתוקפה ביום 8.12.21, מספר חודשים מועט לאחר ביצוען של העבירות מושא האישומים דכאן ולפיכך איננה חלה על עניינו של הנאשם). תיקון החוק הנ""ל אמנם אינו חל על ענייננו, אולם לשיטתי, אין להתעלם מרוח המחוקק הנושבת ממנו והעולה מתכלית חקיקתו; מדובר בנדבך נוסף ומשמעותי במערכה למיגור תופעת ההחזקה המפושטת של נשק בלתי חוקי והשימוש בו. התיקון מבקש לשקף את החומרה אותה יש לייחס לתופעה בה עסקינן ואת צורך המובהק לאסור על עבירות הנשק, הפוגעות בכל חלקה טובה בארצנו, מלחמת חורמה בלתי מתפשרת.
ואכן, מגמת ההחמרה בענישה הבאה לידי ביטוי בפסיקת הערכאות השונות בגין עבירות בנשק ניכרת היטב. עם זאת,  ברי כי העונש שנגזר בסופו של יום תלוי לא רק בנסיבות ביצוע העבירה אלא גם בעברו הפלילי של הנאשם ובנסיבותיו האישיות. כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 2033/20 אבו זיאד נ' מדינת ישראל (ניתן ביום 24.10.21 ) – במסגרתו הושתו על שני הנאשמים (בעלי עבר פלילי מכביד אשר סחרו באופן שיטתי בנשק) 10 שנות מאסר ו - 8.5 שנות מאסר לריצוי בפועל, בהתאמה; ע""פ 971/19 מדינת ישראל נ' געביס (ניתן ביום 11.7.19) – במסגרתו הושתו 50 חודשי מאסר לריצוי בפועל (בגין שלושה אישומים של סחר בנשק);  ע""פ 1944/20 אמארה נ' מדינת ישראל (ניתן ביום 2.9.20) – במסגרתו הושתו 6 שנות מאסר לריצוי בפועל;  ע""פ 4456/21 מדינת ישראל נ' אבו עבסה (ניתן ביום 23.1.22) – במסגרתו הושתו 72 חודשי מאסר לריצוי בפועל; ע""פ 5643/14 עיסא נ' מדינת ישראל (ניתן ביום 23.6.15) - במסגרתו הושתו 65 חודשי מאסר לריצוי בפועל; ע""פ 7268/11 גרבאן נ' מדינת ישראל (ניתן ביום 8.8.12) - במסגרתו הושתו  80 חודשי מאסר לריצוי בפועל.
אעיר בנקודה זו, כי ימים ספורים עובר לכתיבת שורות אלו יצא מלפני בית המשפט העליון פסק דין שעניינו, בין היתר, בעבירת נשיאת נשק שלא כדין - ע""פ 5602/22 מדינת ישראל נ' פלוני (ניתן ביום 14.9.22).  במסגרתו של פסק דין הנ""ל הדגיש כב' השופט א' שטיין את הדברים להלן -","ע""פ 4456/21 מדינת ישראל נ' אבו עבסה (ניתן ביום 23.1.22) – במסגרתו הושתו 72 חודשי מאסר לריצוי בפועל;",1
"ע""פ 5643/14","לא זו אף זו, אך לאחרונה סבר המחוקק כי הגיעה שעת ההחמרה בענישה בכל הנוגע לאלו המורשעים בעבירות נשק. לפיכך, במסגרתו של תיקון מס' 140 לחוק העונשין (תיקון מס' 140 - הוראת שעה), התשפ""ב-2021, ס""ח 2938) עוגנו עונשים מזעריים בכל הנוגע לעבירות שעניינן החזקה, הובלה או סחר בנשק שלא כדין. בתיקון נקבע, כי העונש שיוטל על העבריין במקרים אלו ""לא יפחת עונשו מרבע העונש המרבי שנקבע לאותה עבירה, אלא אם כן החליט בית המשפט, מטעמים מיוחדים שיירשמו, להקל בעונשו; ..."".  (הוראה זו נכנסה לתוקפה ביום 8.12.21, מספר חודשים מועט לאחר ביצוען של העבירות מושא האישומים דכאן ולפיכך איננה חלה על עניינו של הנאשם). תיקון החוק הנ""ל אמנם אינו חל על ענייננו, אולם לשיטתי, אין להתעלם מרוח המחוקק הנושבת ממנו והעולה מתכלית חקיקתו; מדובר בנדבך נוסף ומשמעותי במערכה למיגור תופעת ההחזקה המפושטת של נשק בלתי חוקי והשימוש בו. התיקון מבקש לשקף את החומרה אותה יש לייחס לתופעה בה עסקינן ואת צורך המובהק לאסור על עבירות הנשק, הפוגעות בכל חלקה טובה בארצנו, מלחמת חורמה בלתי מתפשרת.
ואכן, מגמת ההחמרה בענישה הבאה לידי ביטוי בפסיקת הערכאות השונות בגין עבירות בנשק ניכרת היטב. עם זאת,  ברי כי העונש שנגזר בסופו של יום תלוי לא רק בנסיבות ביצוע העבירה אלא גם בעברו הפלילי של הנאשם ובנסיבותיו האישיות. כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 2033/20 אבו זיאד נ' מדינת ישראל (ניתן ביום 24.10.21 ) – במסגרתו הושתו על שני הנאשמים (בעלי עבר פלילי מכביד אשר סחרו באופן שיטתי בנשק) 10 שנות מאסר ו - 8.5 שנות מאסר לריצוי בפועל, בהתאמה; ע""פ 971/19 מדינת ישראל נ' געביס (ניתן ביום 11.7.19) – במסגרתו הושתו 50 חודשי מאסר לריצוי בפועל (בגין שלושה אישומים של סחר בנשק);  ע""פ 1944/20 אמארה נ' מדינת ישראל (ניתן ביום 2.9.20) – במסגרתו הושתו 6 שנות מאסר לריצוי בפועל;  ע""פ 4456/21 מדינת ישראל נ' אבו עבסה (ניתן ביום 23.1.22) – במסגרתו הושתו 72 חודשי מאסר לריצוי בפועל; ע""פ 5643/14 עיסא נ' מדינת ישראל (ניתן ביום 23.6.15) - במסגרתו הושתו 65 חודשי מאסר לריצוי בפועל; ע""פ 7268/11 גרבאן נ' מדינת ישראל (ניתן ביום 8.8.12) - במסגרתו הושתו  80 חודשי מאסר לריצוי בפועל.
אעיר בנקודה זו, כי ימים ספורים עובר לכתיבת שורות אלו יצא מלפני בית המשפט העליון פסק דין שעניינו, בין היתר, בעבירת נשיאת נשק שלא כדין - ע""פ 5602/22 מדינת ישראל נ' פלוני (ניתן ביום 14.9.22).  במסגרתו של פסק דין הנ""ל הדגיש כב' השופט א' שטיין את הדברים להלן -","מדיניות הענישה בגין עבירות סחר בנשק, ראו: ...; ע""פ 5643/14 עיסא נ' מדינת ישראל (ניתן ביום 23.6.15) - במסגרתו הושתו 65 חודשי מאסר לריצוי בפועל; ...",1
"ע""פ 7268/11","לא זו אף זו, אך לאחרונה סבר המחוקק כי הגיעה שעת ההחמרה בענישה בכל הנוגע לאלו המורשעים בעבירות נשק. לפיכך, במסגרתו של תיקון מס' 140 לחוק העונשין (תיקון מס' 140 - הוראת שעה), התשפ""ב-2021, ס""ח 2938) עוגנו עונשים מזעריים בכל הנוגע לעבירות שעניינן החזקה, הובלה או סחר בנשק שלא כדין. בתיקון נקבע, כי העונש שיוטל על העבריין במקרים אלו ""לא יפחת עונשו מרבע העונש המרבי שנקבע לאותה עבירה, אלא אם כן החליט בית המשפט, מטעמים מיוחדים שיירשמו, להקל בעונשו; ..."".  (הוראה זו נכנסה לתוקפה ביום 8.12.21, מספר חודשים מועט לאחר ביצוען של העבירות מושא האישומים דכאן ולפיכך איננה חלה על עניינו של הנאשם). תיקון החוק הנ""ל אמנם אינו חל על ענייננו, אולם לשיטתי, אין להתעלם מרוח המחוקק הנושבת ממנו והעולה מתכלית חקיקתו; מדובר בנדבך נוסף ומשמעותי במערכה למיגור תופעת ההחזקה המפושטת של נשק בלתי חוקי והשימוש בו. התיקון מבקש לשקף את החומרה אותה יש לייחס לתופעה בה עסקינן ואת צורך המובהק לאסור על עבירות הנשק, הפוגעות בכל חלקה טובה בארצנו, מלחמת חורמה בלתי מתפשרת.
ואכן, מגמת ההחמרה בענישה הבאה לידי ביטוי בפסיקת הערכאות השונות בגין עבירות בנשק ניכרת היטב. עם זאת,  ברי כי העונש שנגזר בסופו של יום תלוי לא רק בנסיבות ביצוע העבירה אלא גם בעברו הפלילי של הנאשם ובנסיבותיו האישיות. כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 2033/20 אבו זיאד נ' מדינת ישראל (ניתן ביום 24.10.21 ) – במסגרתו הושתו על שני הנאשמים (בעלי עבר פלילי מכביד אשר סחרו באופן שיטתי בנשק) 10 שנות מאסר ו - 8.5 שנות מאסר לריצוי בפועל, בהתאמה; ע""פ 971/19 מדינת ישראל נ' געביס (ניתן ביום 11.7.19) – במסגרתו הושתו 50 חודשי מאסר לריצוי בפועל (בגין שלושה אישומים של סחר בנשק);  ע""פ 1944/20 אמארה נ' מדינת ישראל (ניתן ביום 2.9.20) – במסגרתו הושתו 6 שנות מאסר לריצוי בפועל;  ע""פ 4456/21 מדינת ישראל נ' אבו עבסה (ניתן ביום 23.1.22) – במסגרתו הושתו 72 חודשי מאסר לריצוי בפועל; ע""פ 5643/14 עיסא נ' מדינת ישראל (ניתן ביום 23.6.15) - במסגרתו הושתו 65 חודשי מאסר לריצוי בפועל; ע""פ 7268/11 גרבאן נ' מדינת ישראל (ניתן ביום 8.8.12) - במסגרתו הושתו  80 חודשי מאסר לריצוי בפועל.
אעיר בנקודה זו, כי ימים ספורים עובר לכתיבת שורות אלו יצא מלפני בית המשפט העליון פסק דין שעניינו, בין היתר, בעבירת נשיאת נשק שלא כדין - ע""פ 5602/22 מדינת ישראל נ' פלוני (ניתן ביום 14.9.22).  במסגרתו של פסק דין הנ""ל הדגיש כב' השופט א' שטיין את הדברים להלן -","כך למשל,  למדיניות הענישה בגין עבירות סחר בנשק, ראו:  ע""פ 7268/11 גרבאן נ' מדינת ישראל (ניתן ביום 8.8.12) - במסגרתו הושתו  80 חודשי מאסר לריצוי בפועל.",1
