citation,context_text,extracted_text,predicted_label
"ע""פ 1676/08","צא ולמד אפוא כי הנאשמים הגיעו למקום לאחר תכנון מוקדם, כשהם מצוידים באקדח היינו בכלי נשק קטלני ובאלות, פעלו כחבורה בצוותא חדא, עד להגשמת מטרתם העבריינית - הפגיעה במתלונן, שנורה, נפצע ונחבל במהלך האירוע כתוצאה מן הירי לעברו, והכל על רקע אותו סכסוך בין המשפחות.
4.	מכל האמור לעיל מתחייבת ענישה ממשית ומוחשית, אשר יהא בה כדי להלום את חומרת המעשים, את העובדה כי במהלך האירוע נעשה שימוש באקדח במקום מגורים, את העובדה שהיריות פגעו במתלונן וגרמו לו לאותה פציעה, גם אם למרבה המזל בסופו של יום הפגיעה לא הייתה חמורה מאוד. וכך נאמר למשל בע""פ 1676/08 אבו האני נ' מדינת ישראל (לא פורסם, 1.6.09):
""אכן, המערערים עשו שימוש בנשק חם, בלב אזור מגורים, בדרך אשר הפכה, כפי שציין בית המשפט קמא, מקובלת ליישוב סכסוכים בחלק מן החברה בה מדובר. דומה כי אין מנוס מהכבדת היד, ותוך נקיטת מדיניות ענישה מחמירה בכגון דא, הכוללת תקופה משמעותית של מאסר מאחורי סורג ובריח, גם לאנשים בעלי רקע נורמטיבי...""","וכך נאמר למשל בע""פ 1676/08 אבו האני נ' מדינת ישראל (לא פורסם, 1.6.09):
""אכן, המערערים עשו שימוש בנשק חם, בלב אזור מגורים, בדרך אשר הפכה, כפי שציין בית המשפט קמא, מקובלת ליישוב סכסוכים בחלק מן החברה בה מדובר. דומה כי אין מנוס מהכבדת היד, ותוך נקיטת מדיניות ענישה מחמירה בכגון דא, הכוללת תקופה משמעותית של מאסר מאחורי סורג ובריח, גם לאנשים בעלי רקע נורמטיווי...""",0
"ע""פ 9630/09","""אכן, המערערים עשו שימוש בנשק חם, בלב אזור מגורים, בדרך אשר הפכה, כפי שציין בית המשפט קמא, מקובלת ליישוב סכסוכים בחלק מן החברה בה מדובר. דומה כי אין מנוס מהכבדת היד, ותוך נקיטת מדיניות ענישה מחמירה בכגון דא, הכוללת תקופה משמעותית של מאסר מאחורי סורג ובריח, גם לאנשים בעלי רקע נורמטיבי...""
5.	קיים אינטרס ציבורי מובהק וברור בהרתעת היחיד והרבים, מפני נקיטת אלימות כדרך בלתי נאותה לפתרון סכסוכים, אשר אך מתעצם כאשר האלימות נעשתה תוך שימוש בנשק חם. יפים לענייננו הדברים שנאמרו בע""פ 9630/09 רותם זוהר נ' מדינת ישראל (לא פורסם, מיום 20.7.10), כאשר שם דובר על  שימוש בנשק קר-סכין, אך הדברים יפים מקל וחומר אף לענייננו:
""כמעט ולא יעבור יום שלא נשמע בו על מעשה אלימות נוראי בו אדם תקף את רעהו, ופעמים רבות תוך שימוש בכלי נשק קר, כסכין. מעשי האלימות היו כמגפה הפושטת במדינתנו ומותירה אחריה חללים ופצועים ונראה כי אין יכולת לעמוד בפניה. על כן על בתי המשפט להרים תרומה לעצירת מגפת האלימות הנוראית. תרומה זו פירושה הוא הטלת עונשים חמורים על מי שנמצאו מדביקים אחרים ומסייעים למגפה להוסיף ולהתפשט"".","יניים שנאמרו בע""פ 9630/09 רותם זוהר נ' מדינת ישראל (לא פורסם, מיום 20.7.10), כאשר שם דובר על  שימוש בנשק קר-סכין, אך הדברים יפים מקל וחומר אף לענייננו:
""כמעט ולא יעבור יום שלא נשמע בו על מעשה אלימות נוראי בו אדם תקף את רעהו, ופעמים רבות תוך שימוש בכלי נשק קר, כסכין. מעשי האלימות היו כמגפה הפושטת במדינתנו ומותירה אחריה חללים ופצועים ונראה כי אין יכולת לעמוד בפניה. על כן על בתי המשפט להרים תרומה לעצירת מגפת האלימות הנוראה. תרומה זו פירושה הוא הטלת עונשים חמורים על מי שנמצאו מדביקים אחרים ומסייעים למגפה להוסיף ולהתפשט"".",0
"ע""פ 3573/09","""כמעט ולא יעבור יום שלא נשמע בו על מעשה אלימות נוראי בו אדם תקף את רעהו, ופעמים רבות תוך שימוש בכלי נשק קר, כסכין. מעשי האלימות היו כמגפה הפושטת במדינתנו ומותירה אחריה חללים ופצועים ונראה כי אין יכולת לעמוד בפניה. על כן על בתי המשפט להרים תרומה לעצירת מגפת האלימות הנוראית. תרומה זו פירושה הוא הטלת עונשים חמורים על מי שנמצאו מדביקים אחרים ומסייעים למגפה להוסיף ולהתפשט"".
מכאן חזרה הפסיקה והדגישה כי יש מקום בעבירות מסוג זה ובמיוחד כשמדובר בעבירה של חבלה בכוונה מחמירה, בהשתת עונשי מאסר ממושכים ומשמעותיים מאחורי סורג ובריח, על מנת שיהא בעונשים אלו כדי להרתיע ולצמצם לכל הפחות, את כמות המעשים והשימוש באלימות בכלל, וכדרך בלתי לגיטימית של פתרון סכסוכים, בפרט. (ראה לדוגמא ע""פ 3573/09 עודה עוודראה ואחרים נגד מ""י (לא פורסם, מיום 13.4.10).
6.	בענייננו, הנאשמים פעלו יחד כמבצעים בצוותא, כשכל אחד מהם תורם את חלקו למעשה העברייני, גם אם בפועל לא ביצעו את אותן פעולות, שכן הירי בוצע על ידי נאשם 7, אשר הוא שאחז באקדח וירה במתלונן. חלקם של יתר הנאשמים התבטא ראש וראשית בכך שלקחו חלק בתכנית העבריינית, הגיעו למקום יחד ומכאן ברור כי פעלו כגוף אחד, ועצם נוכחותם במסגרת אותו תכנון וקשר וכחלק מאותה חבורה, כמו גם האלות שנשאו עימם, מהווה את תרומתם, כשכל אחד מהם מחזק את האחר. יתרה מכך, הנאשמים רדפו אחרי המתלונן יחד עם נאשם 7, כשהם מחזיקים באלות ומכאן ברור שנטלו חלק פעיל באותו אירוע.","מכאן חזרה הפסיקה והדגישה כי יש מקום בעבירות מסוג זה ובמיוחד כשמדובר בעבירה של חבלה בכוונה מחמירה, בהשתת עונשי מאסר ממושכים ומשמעותיים מאחורי סורג ובריח, על מנת שיהא בעונשים אלו כדי להרתיע ולצמצם לכל הפחות, את כמות המעשים והשימוש באלימות בכלל, וכדרך בלתי לגיטימית של פתרון סכסוכים, בפרט. (ראה לדוגמא ע""פ 3573/09 עודה עוודראה ואחרים נגד מ""י (לא פורסם, מיום 13.4.10).",0
"ע""פ 9792/06","7.	עם זאת, ברי כי חלקם של הנאשמים אינו זהה, ויש לאבחן בין נאשם 7, שהוא שביצע את הירי, לבין יתר הנאשמים. נאשם 7 הוא שהיה מצויד בנשק חם-אקדח, בו אף עשה שימוש, ראשית כשעצר את המתלונן ופנה אליו בדרישה האמורה כשהוא מפנה כלפיו את האקדח ולאחר מכן משירה במתלונן מספר פעמים, כשאחת היריות פגעה במתלונן ופצעה אותו. חלקו של נאשם 7 אפוא הינו משמעותי יותר מחלקם של יתר הנאשמים, דבר שאף צריך לבוא לידי ביטוי באבחנה ביניהם לעניין העונש, כפי שציינו אף הצדדים.
בעניין זה נפסק כי כאשר קיים פער בין נאשמים שותפים לעבירה, לרבות שוני בחלקם בביצוע העבירה או שוני בנסיבות אישיות, יש בכך כדי להצדיק יצירת מדרג ביניהם לעניין העונש (ראה למשל ע""פ 9792/06 סומוד עאוני חמוד נ' מדינת ישראל (לא פורסם, 1.4.07).
לאור האמור, עונשם של יתר הנאשמים ייגזר בהתאם וביחס לעונש שיושת על נאשם 7, כאשר  עונשו צריך להיות חמור יותר מעונשם של נאשמים 1, 8, ו-9.","בעניין זה נפסק כי כאשר קיים פער בין נאשמים שותפים לעבירה, לרבות שוני בחלקם בביצוע העבירה או שוני בנסיבות אישיות, יש בכך כדי להצדיק יצירת מדרג ביניהם לעניין העונש (ראה למשל ע""פ 9792/06 סומוד עאוני חמוד נ' מדינת ישראל (לא פורסם, 1.4.07).",0
"ע""פ 8164/02","לאור האמור, עונשם של יתר הנאשמים ייגזר בהתאם וביחס לעונש שיושת על נאשם 7, כאשר  עונשו צריך להיות חמור יותר מעונשם של נאשמים 1, 8, ו-9.
8.	עם זאת מושכלות יסוד הן כי הענישה לעולם הינה אינדיבידואלית ועל בית המשפט לבחון כל מקרה לגופו, תוך שקילת נסיבותיו האישיות של כל נאשם ונאשם ובחינת כל מקרה לגופו. יפים לעניין זה דברי כב' הנשיא ברק בע""פ 8164/02 פלוני ואח' נ' מדינת ישראל פ""ד נח(3), 577:
""הקשה בתפקידי השופט הוא בגזירת עונשו של נאשם. השיקולים שרשאי, וחייב, השופט לשקול הם רבים ומגוונים, והם כוללים בחובם הן שיקולים כלליים הן שיקולים שהם אינדיווידואליים לנאשם העומד לדין... במסגרת שיקולי הענישה עלינו לשקול את חומרת העבירה ואת מהותה ואת הצורך בהרתעתם של אחרים מפני ביצועה. עלינו להגשים מטרות שיקומיות הטמונות בהליך הענישה... יש להתחשב בנסיבותיו האישיות של העבריין שבאים לגזור את עונשו. שיקולים אלה לרוב מוליכים לכיוונים נוגדים, ועל בית-המשפט ליתן להם משקל ולאזן ביניהם. כמובן, כל נאשם ונסיבותיו הוא, כל נאשם והשקלול של הרכיבים השונים לגביו. זהו עקרון הענישה האינדיווידואלית ( ע""פ 433/89 אטיאס נ' מדינת ישראל [3], בעמ' 175).""","יפה לעניין זה דברי כב' הנשיא ברק בע""פ 8164/02 פלוני ואח' נ' מדינת ישראל פ""ד נח(3), 577:  
""הקשה בתפקידי השופט הוא בגזירת עונשו של נאשם. השיקולים שרשאי, וחייב, השופט לשקול הם רבים ומגוונים, והם כוללים בחובם הן שיקולים כלליים הן שיקולים שהם אינדיווידואליים לנאשם העומד לדין... במסגרת שיקולי הענישה עלינו לשקול את חומרת העבירה ואת מהותה ואת הצורך בהרתעתם של אחרים מפני ביצועה. עלינו להגשים מטרות שיקומיות הטמונות בהליך הענישה... יש להתחשב בנסיבותיו האישיות של העבריין שבאים לגזור את עונשו. שיקולים אלה לרוב מוליכים לכיוונים נוגדים, ועל בית-המשפט ליתן להם משקל ולאזן ביניהם. כמובן, כל נאשם ונסיבותיו הוא, כל נאשם והשקלול של הרכיבים השונים לגביו. זהו עקרון הענישה האינדיווידואלית (ע""פ 433/89 אטיאס נ' מדינת ישראל [3], בעמ' 175).""",0
"ע""פ 433/89","8.	עם זאת מושכלות יסוד הן כי הענישה לעולם הינה אינדיבידואלית ועל בית המשפט לבחון כל מקרה לגופו, תוך שקילת נסיבותיו האישיות של כל נאשם ונאשם ובחינת כל מקרה לגופו. יפים לעניין זה דברי כב' הנשיא ברק בע""פ 8164/02 פלוני ואח' נ' מדינת ישראל פ""ד נח(3), 577:
""הקשה בתפקידי השופט הוא בגזירת עונשו של נאשם. השיקולים שרשאי, וחייב, השופט לשקול הם רבים ומגוונים, והם כוללים בחובם הן שיקולים כלליים הן שיקולים שהם אינדיווידואליים לנאשם העומד לדין... במסגרת שיקולי הענישה עלינו לשקול את חומרת העבירה ואת מהותה ואת הצורך בהרתעתם של אחרים מפני ביצועה. עלינו להגשים מטרות שיקומיות הטמונות בהליך הענישה... יש להתחשב בנסיבותיו האישיות של העבריין שבאים לגזור את עונשו. שיקולים אלה לרוב מוליכים לכיוונים נוגדים, ועל בית-המשפט ליתן להם משקל ולאזן ביניהם. כמובן, כל נאשם ונסיבותיו הוא, כל נאשם והשקלול של הרכיבים השונים לגביו. זהו עקרון הענישה האינדיווידואלית ( ע""פ 433/89 אטיאס נ' מדינת ישראל [3], בעמ' 175).""
9.	בענייננו יש לבחון את נסיבותיהם של כל אחד מן הנאשמים, זאת אל מול המעשים ונסיבות ביצועם. מעדויות שהובאו בפני בית המשפט עלה כי לנאשמים 7, 8 ו-9 אין כל עבר פלילי, הם אנשים נורמטיביים, עובדים ומנהלים אורח חיים תקין, כאשר כל הנאשמים הינם ללא עבר של אלימות כלשהי, ומכאן האירוע בענייננו חריג במובן מסוים להתנהלותם. ביחס לנאשם 1 אכן הוא הורשע בעבר בעבירה של מגע עם סוכן זר, ואף נידון לעונש מאסר, כאשר המדובר במעשים שבוצעו בעודו קטין, ובעבירה שונה בתכלית. עוד יצוין כי מאז ביצוע העבירות – תקופה של כשנתיים, לא הסתבכו הנאשמים בפלילים ואף לא הייתה כל אינדיקציה כי הטרידו או ניסו לפגוע במתלונן או במי ממשפחתו.","""זהו עקרון הענישה האינדיווידואלית ( ע""פ 433/89 אטיאס נ' מדינת ישראל [3], בעמ' 175).""",0
"ע""פ 13991/91","9.	בענייננו יש לבחון את נסיבותיהם של כל אחד מן הנאשמים, זאת אל מול המעשים ונסיבות ביצועם. מעדויות שהובאו בפני בית המשפט עלה כי לנאשמים 7, 8 ו-9 אין כל עבר פלילי, הם אנשים נורמטיביים, עובדים ומנהלים אורח חיים תקין, כאשר כל הנאשמים הינם ללא עבר של אלימות כלשהי, ומכאן האירוע בענייננו חריג במובן מסוים להתנהלותם. ביחס לנאשם 1 אכן הוא הורשע בעבר בעבירה של מגע עם סוכן זר, ואף נידון לעונש מאסר, כאשר המדובר במעשים שבוצעו בעודו קטין, ובעבירה שונה בתכלית. עוד יצוין כי מאז ביצוע העבירות – תקופה של כשנתיים, לא הסתבכו הנאשמים בפלילים ואף לא הייתה כל אינדיקציה כי הטרידו או ניסו לפגוע במתלונן או במי ממשפחתו.
10.	במקרה זה קיימים שיקולי ענישה שונים, הפועלים בכיוונים שונים ונוגדים, כאשר מן העבר האחד מצויים השיקולים בדבר השתת עונש שיהלום את חומרת המעשים ונסיבות ביצועם, החשיבות בהרתעת היחיד והרבים, האינטרס הציבורי הכללי בהרתעת עבריינים, ועקרון הגמול, כל אלו מחייבים החמרה ממשית; ומן העבר האחר ניצבות נסיבותיהם האישיות של הנאשמים שבפני, שיקולי שיקום ושיקולים הקשורים לעולמו של העבריין, עברו ועתידו (ראה לדוגמא ע""פ 13991/91 רוני ליבוביץ נגד מ""י פד""י מז(1), 177). על בית המשפט לבצע את השקלא והטריא המורכבים והקשים, ולבצע שקלול של כל אחד מאותם גורמים בגזירת עונשם של הנאשמים.
11.	אתייחס תחילה לנסיבותיו האישיות של נאשם 7 ולמכלול השיקולים הנוגעים לו, ולאחר מכן ליתר הנאשמים. בשים לב לחלקו המשמעותי יותר במעשים, אפנה ראשית לבחינת עניינו, בשל מדרג הענישה כאמור. ביחס לנאשם זה הוצגו בפני נסיבות אישיות לא פשוטות, ניתן אף לומר קשות, ובכלל זה מצבו הנפשי בעת ששהה במעצר בתיק זה ומצב נפשי המצריך טיפול אף היום.","ראה לדוגמא ע""פ 13991/91 רוני ליבוביץ נגד מ""י פד""י מז(1), 177",0
"ע""פ 291/81","14.	מכל שצוין לעיל, עולה כי עונש מאסר בפועל לנאשם 7 הינו קשה במיוחד, וכי ענישה מסוג זה עלולה להחמיר את מצבו הנפשי ולהחריף את המצב המשברי בו הוא נתון. נראה כי שיקול זה הינו שיקול שיש ליתן לו משקל, כשהוא נשזר בתמונה החיובית המצטיירת ביחס לנאשם 7, הן מהאמור בתסקיר והן מעדויות האופי, מהן עולה כי הנאשם מתפקד באופן נורמטיבי וחיובי בעבודה וביחסיו עם הזולת ותורם לחברה. אכן תסקיר שירות המבחן הינו חיובי ביותר וניתן לומר שהינו מעט חריג בנוף התסקירים המוגשים לבית המשפט, במיוחד כאשר מדובר בנאשם שאינו מודה או לוקח אחריות למעשיו. עם זאת, לא מצאתי כי יש למקום לאמץ המלצת שירות המבחן, זאת נוכח חומרת העבירה ונסיבות האירוע, ובמיוחד העובדה שהנאשם תכנן האירוע מראש, הגיע מצויד בנשק חם-אקדח, ואף עשה בו שימוש, תוך שהוא יורה במתלונן בשעה שזה בורח ממנו, עד שלבסוף פגע בו אחד הקליעים.
15.	נראה כי גם בהינתן נסיבותיו האישיות של הנאשם ואף לאחר שנתתי דעתי להמלצת שירות המבחן וכל האמור בתסקיר, ובכלל זה מצבו הנפשי, אין להסתפק בענישה שלא תכלול מאסר לריצוי בפועל ממש, כמתחייב מחומרת העבירות ונסיבות ביצוען. בעניין זה כבר נפסק כי ככל שהעבירה ונסיבות ביצועה חמורים יותר, כך יפחת משקלן של נסיבותיו האישיות של הנאשם (ראה ע""פ 291/81 פלוני נ' מדינת ישראל, פ""ד לה(4), 438). יפים לעניין זה אף הדברים שנאמרו בע""פ 2163/05 אלייב נ' מדינת ישראל (לא פורסם, 12.12.05):
""הענישה הספציפית היא כמובן אינדיבידואלית, בכל מקרה לגופו ולנסיבותיו; לא אחת הנאשמים באים עצמם מרקע קשה המצדיק התחשבות; אך המחוקק והפסיקה רואים לנגד עיניהם גם את הקרבנות, קרבנות בפועל וקרבנות פוטנציאליים, את היחיד שאיתרע מזלו להיות קרבן, ואת כלל החברה החוששת כי ירבו קרבנות... גזירת הדין היא מן הקשות שבמטלות השיפוטיות, כי עניינה דיני נפשות לנאשמים - אך דיני נפשות הם גם לקרבנות וזולתם"".","בעניין זה כבר נפסק כי ככל שהעבירה ונסיבות ביצועה חמורים יותר, כך יפחת משקלן של נסיבותיו האישיות של הנאשם (ראה ע""פ 291/81 פלוני נ' מדינת ישראל, פ""ד לה(4), 438).",0
"ע""פ 2163/05","14.	מכל שצוין לעיל, עולה כי עונש מאסר בפועל לנאשם 7 הינו קשה במיוחד, וכי ענישה מסוג זה עלולה להחמיר את מצבו הנפשי ולהחריף את המצב המשברי בו הוא נתון. נראה כי שיקול זה הינו שיקול שיש ליתן לו משקל, כשהוא נשזר בתמונה החיובית המצטיירת ביחס לנאשם 7, הן מהאמור בתסקיר והן מעדויות האופי, מהן עולה כי הנאשם מתפקד באופן נורמטיבי וחיובי בעבודה וביחסיו עם הזולת ותורם לחברה. אכן תסקיר שירות המבחן הינו חיובי ביותר וניתן לומר שהינו מעט חריג בנוף התסקירים המוגשים לבית המשפט, במיוחד כאשר מדובר בנאשם שאינו מודה או לוקח אחריות למעשיו. עם זאת, לא מצאתי כי יש למקום לאמץ המלצת שירות המבחן, זאת נוכח חומרת העבירה ונסיבות האירוע, ובמיוחד העובדה שהנאשם תכנן האירוע מראש, הגיע מצויד בנשק חם-אקדח, ואף עשה בו שימוש, תוך שהוא יורה במתלונן בשעה שזה בורח ממנו, עד שלבסוף פגע בו אחד הקליעים.
15.	נראה כי גם בהינתן נסיבותיו האישיות של הנאשם ואף לאחר שנתתי דעתי להמלצת שירות המבחן וכל האמור בתסקיר, ובכלל זה מצבו הנפשי, אין להסתפק בענישה שלא תכלול מאסר לריצוי בפועל ממש, כמתחייב מחומרת העבירות ונסיבות ביצוען. בעניין זה כבר נפסק כי ככל שהעבירה ונסיבות ביצועה חמורים יותר, כך יפחת משקלן של נסיבותיו האישיות של הנאשם (ראה ע""פ 291/81 פלוני נ' מדינת ישראל, פ""ד לה(4), 438). יפים לעניין זה אף הדברים שנאמרו בע""פ 2163/05 אלייב נ' מדינת ישראל (לא פורסם, 12.12.05):
""הענישה הספציפית היא כמובן אינדיבידואלית, בכל מקרה לגופו ולנסיבותיו; לא אחת הנאשמים באים עצמם מרקע קשה המצדיק התחשבות; אך המחוקק והפסיקה רואים לנגד עיניהם גם את הקרבנות, קרבנות בפועל וקרבנות פוטנציאליים, את היחיד שאיתרע מזלו להיות קרבן, ואת כלל החברה החוששת כי ירבו קרבנות... גזירת הדין היא מן הקשות שבמטלות השיפוטיות, כי עניינה דיני נפשות לנאשמים - אך דיני נפשות הם גם לקרבנות וזולתם"".","יפים לעניין זה אף הדברים שנאמרו בע""פ 2163/05 אלייב נ' מדינת ישראל (לא פורסם, 12.12.05):
""הענישה הספציפית היא כמובן אינדיבידואלית, בכל מקרה לגופו ולנסיבותיו; לא אחת הנאשמים באים עצמם מרקע קשה המצדיק התחשבות; אך המחוקק והפסיקה רואים לנגד עיניהם גם את הקרבנות, קרבנות בפועל וקרבנות פוטנציאליים, את היחיד שאיתרע מזלו להיות קרבן, ואת כלל החברה החוששת כי ירבו קרבנות... גזירת הדין היא מן הקשות שבמטלות השיפוטיות, כי עניינה דיני נפשות לנאשמים - אך דיני נפשות הם גם לקרבנות וזולתם"".",0
"ע""פ 635/05","""הענישה הספציפית היא כמובן אינדיבידואלית, בכל מקרה לגופו ולנסיבותיו; לא אחת הנאשמים באים עצמם מרקע קשה המצדיק התחשבות; אך המחוקק והפסיקה רואים לנגד עיניהם גם את הקרבנות, קרבנות בפועל וקרבנות פוטנציאליים, את היחיד שאיתרע מזלו להיות קרבן, ואת כלל החברה החוששת כי ירבו קרבנות... גזירת הדין היא מן הקשות שבמטלות השיפוטיות, כי עניינה דיני נפשות לנאשמים - אך דיני נפשות הם גם לקרבנות וזולתם"".
16.	ביחס למצבו הנפשי של הנאשם, הרי נפסק כבר כי גם מי שמאסר עלול לגרום לו לנזק גופני או נפשי, אין בכך כדי להביא לשחרורו מעונש של מאסר. ראה ע""פ 635/05 דענא נ' מדינת ישראל (לא פורסם, 26.11.07). עם זאת, שיקול זה, יחד עם יתר הנסיבות האישיות ביחס לנאשם זה, יינתן לו משקל ממשי, בבואי לשקול מהי תקופת המאסר שיש להשית על הנאשם 7 ועל יתר הנאשמים. האיזון בין מכלול השיקולים מובילים למסקנה כי יש להשית עונש מאסר אשר מחד יהא בו כדי להוות תגובה עונשית הולמת למעשים ולחומרתם ומאידך ייתן משקל אף לאינטרס השיקום, היינו שתהא זו תקופת מאסר לא ממושכת מאוד, שניתן יהיה לצפות בסופה אפשרות של שיקומם של הנאשמים בעתיד וחזרתם לתפקד באופן  נורמטיבי, כאשר אינטרס השיקום של הנאשם הינו אינטרס ציבורי ממעלה ראשונה.
17.	עניין נוסף שעלה בטיעוני ב""כ הנאשמים הוא העובדה כי בין משפחת הנאשמים למשפחת המתלונן קיימת סולחה במשך זמן לא מבוטל, כאשר המאשימה טענה מנגד כי דווקא בתיק זה מלמדות הנסיבות שהסולחה אינה מהווה פתרון אמיתי לסכסוך, לאחר שבין הצדדים כבר הייתה סולחה בעבר, אשר לא מנעה את האירוע בענייננו.","ביחס למצבו הנפשי של הנאשם, הרי נפסק כבר כי גם מי שמאסר עלול לגרום לו לנזק גופני או נפשי, אין בכך כדי להביא לשחרורו מעונש של מאסר. ראה ע""פ 635/05 דענא נ' מדינת ישראל (לא פורסם, 26.11.07).",0
