citation,context_text,extracted_text,predicted_label
"ע""פ 9349/07","כאשר מביאים בחשבון את חומרת המעשים, התמשכותם ופוטנציאל הפגיעה שבהם, את החובה להגן על תושבי ישראל ולשלוח מסר חד-משמעי ונוקב כי מי אשר פועל נגד ישראל יקבל כגמולו במלוא חומרת הדין, ומנגד את הנסיבות לקולא שפורטו, ובפרט את ההודאה, ושיתוף הפעולה בחקירה, ובפרט את הענישה במקרים דומים, אנו סבורים כי יש מקום להקלה מסוימת בעונשו של המערער. אנו מעמידים אפוא את עונשו של המערער על 17 שנות מאסר בפועל. עונש המאסר המותנה יישאר על כנו.""
בעניין אחר בו חבר הנאשם לארגוני טרור, ונתן ידו להטמנת מטען חבלה בגבול ישראל – עזה, במטרה להביא לפגיעה בחיי חיילים, צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ע""פ 1220/08 פלוני נ' מדינת ישראל 31.1.2010; ע""פ 5640/10 חילס נ' מדינת 1.6.2010; ע""פ 9349/07 חאמד נ' מדינת ישראל 23.6.2008; ע""פ 7403/07 נג'אר נ' מדינת ישראל  30.3.2008). מנגד, באת כוח המערער הגישה פסיקה שבה הוטלו עונשים קלים יותר (השוו: ע""פ 3015/09 מדינת ישראל נ' קדיח 20.7.2010), ע""פ 5778/08 אבו סינמה נ' מדינת ישראל 1.3.2010)).""
באותו מקרה הוקל העונש, ברוב דעות, תוך הפחתתו משתים עשרה שנות מאסר שנגזרו על ידי בית המשפט המחוזי, לעשר שנות מאסר (ע""פ 6005/10 פלוני נ. מ""י, ניתן ביום 7.3.2012, להלן: ענין פלוני).
עוד נקבע בסעיף 40יג, כי אם הורשע הנאשם בכמה עבירות, המהוות אירוע אחד ""יקבע מתחם עונש הולם כאמור בסעיף 40ג(א) לאירוע כולו, ויגזור עונש כולל לכל העבירות בשל אותו אירוע"". הרשיע בית המשפט ב""כמה עבירות המהוות כמה אירועים, יקבע מתחם עונש הולם כאמור בסעיף 40ג(א) לכל אירוע בנפרד, ולאחר מכן רשאי הוא לגזור עונש נפרד לכל אירוע או עונש כולל לכל האירועים; גזר בית המשפט עונש נפרד לכל אירוע, יקבע את מידת החפיפה בין העונשים או הצטברותם"", הכל תוך שמירה ""על יחס הולם בין חומרת מכלול המעשים ומידת אשמו של הנאשם לבין סוג העונש, ואם גזר עונש מאסר – לבין תקופת המאסר שעל הנאשם לשאת.""
הפסיקה המושרשת בעבירות נגד הביטחון, המתווה את ""מדיניות הענישה הנהוגה"", והמפרטת את הערך החברתי שנפגע בעבירות כגון אלה שביצע הנאשם, קובעת, כי במסגרת ענישת מעשים אלה יש ליתן משקל בכורה לצורכי ההגנה על הציבור בישראל וכוחות הביטחון. בע""פ 9349/07 איסמעיל חאמד נ' מדינת ישראל  (לא פורסם, 23.6.2008, להלן: עניין חאמד), נאמר בעניין זה: ""מעשי טרור המכוונים לפגוע בחיי ישראלים – חיילים או אזרחים – מחייבים ענישה מחמירה במיוחד, אשר תטמיע את מסר הגמול וההרתעה כלפי כל מי שמעורב בפעילות בלתי חוקית המסכנת חיים..."".
בע""פ 2651/10 ‏אבו ואדי שריף נ' מדינת ישראל, (ניתן ביום 28.2.2011, להלן: עניין שריף), צויין כי ""....שיקול משמעותי בגזירת העונש בגין עבירות נגד בטחון המדינה הוא השיקול של הרתעת היחיד והרתעת הרבים, כמו-גם גמול...""","הפסיקה המושרשת בעבירות נגד הביטחון, המתווה את ""מדיניות הענישה הנהוגה"", והמפרטת את הערך החברתי שנפגע בעבירות כגון אלה שביצע הנאשם, קובעת, כי במסגרת ענישת מעשים אלה יש ליתן משקל בכורה לצורכי ההגנה על הציבור בישראל וכוחות הביטחון. בע""פ 9349/07 איסמעיל חאמד נ' מדינת ישראל  (לא פורסם, 23.6.2008, להלן: עניין חאמד), נאמר בעניין זה: ""מעשי טרור המכוונים לפגוע בחיי ישראלים – חיילים או אזרחים – מחייבים ענישה מחמירה במיוחד, אשר תטמיע את מסר הגמול וההרתעה כלפי כל מי שמעורב בפעילות בלתי חוקית המסכנת חיים..."".",0
"ע""פ 2651/10","הפסיקה המושרשת בעבירות נגד הביטחון, המתווה את ""מדיניות הענישה הנהוגה"", והמפרטת את הערך החברתי שנפגע בעבירות כגון אלה שביצע הנאשם, קובעת, כי במסגרת ענישת מעשים אלה יש ליתן משקל בכורה לצורכי ההגנה על הציבור בישראל וכוחות הביטחון. בע""פ 9349/07 איסמעיל חאמד נ' מדינת ישראל  (לא פורסם, 23.6.2008, להלן: עניין חאמד), נאמר בעניין זה: ""מעשי טרור המכוונים לפגוע בחיי ישראלים – חיילים או אזרחים – מחייבים ענישה מחמירה במיוחד, אשר תטמיע את מסר הגמול וההרתעה כלפי כל מי שמעורב בפעילות בלתי חוקית המסכנת חיים..."".
בע""פ 2651/10 ‏אבו ואדי שריף נ' מדינת ישראל, (ניתן ביום 28.2.2011, להלן: עניין שריף), צויין כי ""....שיקול משמעותי בגזירת העונש בגין עבירות נגד בטחון המדינה הוא השיקול של הרתעת היחיד והרתעת הרבים, כמו-גם גמול...""
ובמקרה אחר: ""בית משפט זה נקט החמרה בעבירות בתחום פעילותם של ארגוני טרור; כל מקרה לגופו, אך המשותף להם הוא עבירות שהצטברותן מורה על מחויבות לפגיעה בישראל... העושה כאלה, נוטל עליו סיכון של ענישה מחמירה, שמטרתה הן הרחקת העבריין מן האפשרות לעבור עבירות כאלה בעתיד, והן הרתעת הרבים"" (ע""פ 9198/09 ראג'י עבד רבו נ. מ""י, ניתן ביום 5.4.2011, להלן: ענין עבד רבו).","בע""פ 2651/10 ‏אבו ואדי שריף נ' מדינת ישראל, (ניתן ביום 28.2.2011, להלן: עניין שריף), צויין כי ""....שיקול משמעותי בגזירת העונש בגין עבירות נגד בטחון המדינה הוא השיקול של הרתעת היחיד והרתעת הרבים, כמו-גם גמול...""",0
"ע""פ 9198/09","בע""פ 2651/10 ‏אבו ואדי שריף נ' מדינת ישראל, (ניתן ביום 28.2.2011, להלן: עניין שריף), צויין כי ""....שיקול משמעותי בגזירת העונש בגין עבירות נגד בטחון המדינה הוא השיקול של הרתעת היחיד והרתעת הרבים, כמו-גם גמול...""
ובמקרה אחר: ""בית משפט זה נקט החמרה בעבירות בתחום פעילותם של ארגוני טרור; כל מקרה לגופו, אך המשותף להם הוא עבירות שהצטברותן מורה על מחויבות לפגיעה בישראל... העושה כאלה, נוטל עליו סיכון של ענישה מחמירה, שמטרתה הן הרחקת העבריין מן האפשרות לעבור עבירות כאלה בעתיד, והן הרתעת הרבים"" (ע""פ 9198/09 ראג'י עבד רבו נ. מ""י, ניתן ביום 5.4.2011, להלן: ענין עבד רבו).
באשר לנסיבותיהם האישיות של הנותנים ידם למעשי טרור, הודגש בעניין חאמד כי ""בסוג זה של עבירות הנסיבות האישיות של הנאשם מתגמדות במשקלן לנוכח חומרת המעשים והסיכונים הטמונים בהם, למען יידע כל גורם עוין למדינה ולתושביה כי הוא צפוי לעונש חמור ביותר אם יימצא מעורב בפעולות טרור שנועדו לפגוע בביטחון אזרחי ישראל, ולקטול חיים"".","ובמקרה אחר: ""בית משפט זה נקט החמרה בעבירות בתחום פעילותם של ארגוני טרור; כל מקרה לגופו, אך המשותף להם הוא עבירות שהצטברותן מורה על מחויבות לפגיעה בישראל... העושה כאלה, נוטל עליו סיכון של ענישה מחמירה, שמטרתה הן הרחקת העבריין מן האפשרות לעבור עבירות כאלה בעתיד, והן הרתעת הרבים"" (ע""פ 9198/09 ראג'י עבד רבו נ. מ""י, ניתן ביום 5.4.2011, להלן: ענין עבד רבו).",0
"ע""פ 3834/07","באשר לנסיבותיהם האישיות של הנותנים ידם למעשי טרור, הודגש בעניין חאמד כי ""בסוג זה של עבירות הנסיבות האישיות של הנאשם מתגמדות במשקלן לנוכח חומרת המעשים והסיכונים הטמונים בהם, למען יידע כל גורם עוין למדינה ולתושביה כי הוא צפוי לעונש חמור ביותר אם יימצא מעורב בפעולות טרור שנועדו לפגוע בביטחון אזרחי ישראל, ולקטול חיים"".
עם זאת, ציין בית המשפט העליון באחד המקרים, כי חרף שקולי ההרתעה וההגנה על שלום הציבור, אין מתעלמים משיקולי קולא הקשורים בנסיבות אישיות: ""בית משפט זה עמד לא אחת על החומרה הרבה שגלומה במעשים הקשורים בפעילות טרור ועל כך שמעשים כאמור מחייבים מתן משקל מוגבר לשיקולי הגמול וההרתעה על פני נסיבותיו האישיות של הנאשם... ואולם, יש לבחון כל מקרה לגופו ואין להתעלם לחלוטין מן הנסיבות המיוחדות האופפות אותו..."" (ע""פ 3834/07 מוחמד אבו שלוף נ. מ""י, ניתן ביום 29.3.2009). יש לציין, כי כיום, לאחר התיקון לחוק, השיקולים הקשורים בנסיבות האישיות של הנאשם, יילקחו בחשבון בקביעת העונש בתוך מתחם העונש ההולם שייקבע, שהרי המתחם ייקבע על פי הערך החברתי שנפגע, כמפורט לעיל, מידת הפגיעה בערך החברתי, מדיניות הענישה ונסיבות העבירה.
פעילותו של הנאשם במסגרת ארגון הטרור אינה ייחודית. לא אחת מובאים בפנינו נאשמים העוברים ""מסלול"" דומה לזה שעבר הנאשם, החל מגיוס לארגון -  לא אחת בגיל צעיר יחסית, ואף בעת קטינות, מתן שירותים לארגון, השתלבות בחוליה צבאית של הארגון לאחר אימונים בנשק ובאמצעי חבלה שונים, וכלה בפעילות ""הקשה"" יותר, של ירי בכלי נשק, שיגור טילים, והטמנת מטעני חבלה. ככל שאין מקרה אחד דומה למשנהו, הרי שקיים ביטוי בפסיקה לרמת הענישה הראוייה הנוגעת למעשי העבירה השונים נגד הביטחון.","עם זאת, ציין בית המשפט העליון באחד המקרים, כי חרף שקולי ההרתעה וההגנה על שלום הציבור, אין מתעלמים משיקולי קולא הקשורים בנסיבות אישיות: ""בית משפט זה עמד לא אחת על החומרה הרבה שגלומה במעשים הקשורים בפעילות טרור ועל כך שמעשים כאמור מחייבים מתן משקל מוגבר לשיקולי הגמול וההרתעה על פני נסיבותיו האישיות של הנאשם... ואולם, יש לבחון כל מקרה לגופו ואין להתעלם לחלוטין מן הנסיבות המיוחדות האופפות אותו..."" (ע""פ 3834/07 מוחמד אבו שלוף נ. מ""י, ניתן ביום 29.3.2009).",0
"ע""פ 1244/08","פעילותו של הנאשם במסגרת ארגון הטרור אינה ייחודית. לא אחת מובאים בפנינו נאשמים העוברים ""מסלול"" דומה לזה שעבר הנאשם, החל מגיוס לארגון -  לא אחת בגיל צעיר יחסית, ואף בעת קטינות, מתן שירותים לארגון, השתלבות בחוליה צבאית של הארגון לאחר אימונים בנשק ובאמצעי חבלה שונים, וכלה בפעילות ""הקשה"" יותר, של ירי בכלי נשק, שיגור טילים, והטמנת מטעני חבלה. ככל שאין מקרה אחד דומה למשנהו, הרי שקיים ביטוי בפסיקה לרמת הענישה הראוייה הנוגעת למעשי העבירה השונים נגד הביטחון.
כך נקבע, כי יש להטיל עונשים משמעותיים גם בגין עבירות ""מסגרת"" של חברות ופעילות בארגון טרור, ונטילת חלק באימונים צבאיים במסגרת הארגון. בע""פ 1244/08 ‏מדינת ישראל נ' סאמר עוידאת, (ניתן ביום 18.6.2008), נדון ערעורה של המדינה על קולת העונש שהוטל על המשיב שם - שלוש שנות מאסר לריצוי ממשי. על פי העובדות שהתבררו ""הצטרף המשיב...לארגון... השתתף...באימונים צבאיים, שכללו ירי בנשק ובטילים נגד טנקים. כמו כן, השתתף...בתהלוכות שערכו אנשי הארגון, תצפת לעבר תנועת מסוקים, ודיווח על כך לאחרים"". בית המשפט העליון קבע כי יש להכפיל העונש שהוטל על ידי הערכאה הדיונית, ולהעמידו על שש שנות מאסר, וזאת בלא למצות צרכי ענישה, נוכח ההחמרה בידי ערכאת הערעור. צויין כי חרף גילו הצעיר של הנאשם ונסיבות אישיות, הרי ""שמעשיו היו ראויים לעונש חמור פי כמה נוכח הסכנה הנשקפת מהם לציבור בישראל, בכלל, ולכוחות הביטחון, בפרט, אלא שרמת הענישה בה נקט בית-משפט קמא, אף חורגת מרמת הענישה הנוהגת ועלולה להתפרש באופן שגוי על ידי אלה החורשים מזימות כנגד מדינת ישראל ואוכלוסייתה.""
פסקי דין אחרים נוגעים לחומרה הייחודית ורמת הענישה הנוהגת בעבירות של שיגור טילים והנחת מטענים. מן הראוי לזכור כי רמת הענישה שנקבעה בעבר כבר נותנת ביטוי לנסיבות אישיות של הנאשמים במקרים שנדונו, כך שמתחם הענישה שייקבע – בהתבסס על הפגיעה הקשה בביטחון  המדינה ואזרחיה נוכח מעשים מעין אלה שבפנינו, וכאשר השיקולים הקשורים בנאשם אינם נבחנים בשלב הראשון - עשוי להיות גבוה יותר ממה שנפסק בעבר.","בע""פ 1244/08 ‏מדינת ישראל נ' סאמר עוידאת, (ניתן ביום 18.6.2008), נדון ערעורה של המדינה על קולת העונש שהוטל על המשיב שם - שלוש שנות מאסר לריצוי ממשי. על פי העובדות שהתבררו ""הצטרף המשיב...לארגון... השתתף...באימונים צבאיים, שכללו ירי בנשק ובטילים נגד טנקים. כמו כן, השתתף...בתהלוכות שערכו אנשי הארגון, תצפת לעבר תנועת מסוקים, ודיווח על כך לאחרים"". בית המשפט העליון קבע כי יש להכפיל העונש שהוטל על ידי הערכאה הדיונית, ולהעמידו על שש שנות מאסר, וזאת בלא למצות צרכי ענישה, נוכח ההחמרה בידי ערכאת הערעור. צויין כי חרף גילו הצעיר של הנאשם ונסיבות אישיות, הרי ""שמעשיו היו ראויים לעונש חמור פי כמה נוכח הסכנה הנשקפת מהם לציבור בישראל, בכלל, ולכוחות הביטחון, בפרט, אלא שרמת הענישה בה נקט בית-משפט קמא, אף חורגת מרמת הענישה הנוהגת ועלולה להתפרש באופן שגוי על ידי אלה החורשים מזימות כנגד מדינת ישראל ואוכלוסייתה.""",1
"ע""פ 5269/11","פסקי דין אחרים נוגעים לחומרה הייחודית ורמת הענישה הנוהגת בעבירות של שיגור טילים והנחת מטענים. מן הראוי לזכור כי רמת הענישה שנקבעה בעבר כבר נותנת ביטוי לנסיבות אישיות של הנאשמים במקרים שנדונו, כך שמתחם הענישה שייקבע – בהתבסס על הפגיעה הקשה בביטחון  המדינה ואזרחיה נוכח מעשים מעין אלה שבפנינו, וכאשר השיקולים הקשורים בנאשם אינם נבחנים בשלב הראשון - עשוי להיות גבוה יותר ממה שנפסק בעבר.
באחד המקרים שנדונו, נקבע, כי ""אין צורך להכביר מילים בהתייחס לסכנה הנשקפת מרקטות וטילים המשוגרים על ידי ארגוני הטרור מרצועת עזה לכיוון ישראל כדי לפגוע באזרחי המדינה.... הלכה היא כי דרושה ענישה מחמירה בגין עבירות שעיקרן סיוע לטרור, זאת גם שעה שהמעשים לא נשאו פרי [ראו למשל: ע""פ 5269/11 אג'באריה נ' מדינת ישראל..."" (עפ 2359/11 ‏ ‏ עימאד חמד נ' מדינת ישראל, ניתן ביום 28.6.2012). עוד צויין כי הטענה בדבר ""לגיטימיות"" המלחמה הטרוריסטית נגד צה""ל, נשללת על פניה משמדובר בשיגור טילים, שכן ""העובדה שחלק ניכר ומרכזי מפעילותם היא פגיעות מכוונות באזרחים באמצעות טילים ובדרכים אחרות, שהביאו לא אחת לאבדן הנפש והרכוש, קרי, פשעי מלחמה, יש בה כדי להשמיט את הקרקע תחת טיעון זה. הארגונים הללו מאוחדים במטרה אחת, פגיעה במדינת ישראל, בקיומה ובתושביה; והם גם מממשים חלק מתכלית קיומם על-ידי הפגיעה באזרחים, בפשעי מלחמה כאמור. אין סיבה להקל עם פעיליהם."" (ענין עבד רבו).
בעניין שריף נדון עניינו של פעיל ארגון טרור, שעסק בפעולות שמירה במשך ארבע שנים באחד מאיזורי עזה, כשהוא חמוש, ובאחד המקרים היה מצוייד במטען חבלה, כדי למנוע כניסת חיילים לאיזור; בשלושה מקרים אחרים, נטל חלק בשיגור טילים לעבר ישראל.","""אין צורך להכביר מילים בהתייחס לסכנה הנשקפת מרקטות וטילים המשוגרים על ידי ארגוני הטרור מרצועת עזה לכיוון ישראל כדי לפגוע באזרחי המדינה.... הלכה היא כי דרושה ענישה מחמירה בגין עבירות שעיקרן סיוע לטרור, זאת גם שעה שהמעשים לא נשאו פרי [ראו למשל: ע""פ 5269/11 אג'באריה נ' מדינת ישראל...""",0
"ע""פ 1220/08","כאשר מביאים בחשבון את חומרת המעשים, התמשכותם ופוטנציאל הפגיעה שבהם, את החובה להגן על תושבי ישראל ולשלוח מסר חד-משמעי ונוקב כי מי אשר פועל נגד ישראל יקבל כגמולו במלוא חומרת הדין, ומנגד את הנסיבות לקולא שפורטו, ובפרט את ההודאה, ושיתוף הפעולה בחקירה, ובפרט את הענישה במקרים דומים, אנו סבורים כי יש מקום להקלה מסוימת בעונשו של המערער. אנו מעמידים אפוא את עונשו של המערער על 17 שנות מאסר בפועל. עונש המאסר המותנה יישאר על כנו.""
בעניין אחר בו חבר הנאשם לארגוני טרור, ונתן ידו להטמנת מטען חבלה בגבול ישראל – עזה, במטרה להביא לפגיעה בחיי חיילים, צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ע""פ 1220/08 פלוני נ' מדינת ישראל 31.1.2010; ע""פ 5640/10 חילס נ' מדינת 1.6.2010; ע""פ 9349/07 חאמד נ' מדינת ישראל 23.6.2008; ע""פ 7403/07 נג'אר נ' מדינת ישראל  30.3.2008). מנגד, באת כוח המערער הגישה פסיקה שבה הוטלו עונשים קלים יותר (השוו: ע""פ 3015/09 מדינת ישראל נ' קדיח 20.7.2010), ע""פ 5778/08 אבו סינמה נ' מדינת ישראל 1.3.2010)).""
באותו מקרה הוקל העונש, ברוב דעות, תוך הפחתתו משתים עשרה שנות מאסר שנגזרו על ידי בית המשפט המחוזי, לעשר שנות מאסר (ע""פ 6005/10 פלוני נ. מ""י, ניתן ביום 7.3.2012, להלן: ענין פלוני).","""צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ע""פ 1220/08 פלוני נ' מדינת ישראל 31.1.2010""",1
"ע""פ 5640/10","כאשר מביאים בחשבון את חומרת המעשים, התמשכותם ופוטנציאל הפגיעה שבהם, את החובה להגן על תושבי ישראל ולשלוח מסר חד-משמעי ונוקב כי מי אשר פועל נגד ישראל יקבל כגמולו במלוא חומרת הדין, ומנגד את הנסיבות לקולא שפורטו, ובפרט את ההודאה, ושיתוף הפעולה בחקירה, ובפרט את הענישה במקרים דומים, אנו סבורים כי יש מקום להקלה מסוימת בעונשו של המערער. אנו מעמידים אפוא את עונשו של המערער על 17 שנות מאסר בפועל. עונש המאסר המותנה יישאר על כנו.""
בעניין אחר בו חבר הנאשם לארגוני טרור, ונתן ידו להטמנת מטען חבלה בגבול ישראל – עזה, במטרה להביא לפגיעה בחיי חיילים, צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ע""פ 1220/08 פלוני נ' מדינת ישראל 31.1.2010; ע""פ 5640/10 חילס נ' מדינת 1.6.2010; ע""פ 9349/07 חאמד נ' מדינת ישראל 23.6.2008; ע""פ 7403/07 נג'אר נ' מדינת ישראל  30.3.2008). מנגד, באת כוח המערער הגישה פסיקה שבה הוטלו עונשים קלים יותר (השוו: ע""פ 3015/09 מדינת ישראל נ' קדיח 20.7.2010), ע""פ 5778/08 אבו סינמה נ' מדינת ישראל 1.3.2010)).""
באותו מקרה הוקל העונש, ברוב דעות, תוך הפחתתו משתים עשרה שנות מאסר שנגזרו על ידי בית המשפט המחוזי, לעשר שנות מאסר (ע""פ 6005/10 פלוני נ. מ""י, ניתן ביום 7.3.2012, להלן: ענין פלוני).","כאשר מביאים בחשבון את חומרת המעשים, התמשכותם ופוטנציאל הפגיעה שבהם, את החובה להגן על תושבי ישראל ולשלוח מסר חד-משמעי ונוקב כי מי אשר פועל נגד ישראל יקבל כגמולו במלוא חומרת הדין, ומנגד את הנסיבות לקולא שפורטו, ובפרט את ההודאה, ושיתוף הפעולה בחקירה, ובפרט את הענישה במקרים דומים, אנו סבורים כי יש מקום להקלה מסוימת בעונשו של המערער. אנו מעמידים אפוא את עונשו של המערער על 17 שנות מאסר בפועל. עונש המאסר המותנה יישאר על כנו.""  
בעניין אחר בו חבר הנאשם לארגוני טרור, ונתן ידו להטמנת מטען חבלה בגבול ישראל – עזה, במטרה להביא לפגיעה בחיי חיילים, צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ע""פ 5640/10 חילס נ' מדינת 1.6.2010;).""",0
"ע""פ 9349/07","כאשר מביאים בחשבון את חומרת המעשים, התמשכותם ופוטנציאל הפגיעה שבהם, את החובה להגן על תושבי ישראל ולשלוח מסר חד-משמעי ונוקב כי מי אשר פועל נגד ישראל יקבל כגמולו במלוא חומרת הדין, ומנגד את הנסיבות לקולא שפורטו, ובפרט את ההודאה, ושיתוף הפעולה בחקירה, ובפרט את הענישה במקרים דומים, אנו סבורים כי יש מקום להקלה מסוימת בעונשו של המערער. אנו מעמידים אפוא את עונשו של המערער על 17 שנות מאסר בפועל. עונש המאסר המותנה יישאר על כנו.""
בעניין אחר בו חבר הנאשם לארגוני טרור, ונתן ידו להטמנת מטען חבלה בגבול ישראל – עזה, במטרה להביא לפגיעה בחיי חיילים, צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ע""פ 1220/08 פלוני נ' מדינת ישראל 31.1.2010; ע""פ 5640/10 חילס נ' מדינת 1.6.2010; ע""פ 9349/07 חאמד נ' מדינת ישראל 23.6.2008; ע""פ 7403/07 נג'אר נ' מדינת ישראל  30.3.2008). מנגד, באת כוח המערער הגישה פסיקה שבה הוטלו עונשים קלים יותר (השוו: ע""פ 3015/09 מדינת ישראל נ' קדיח 20.7.2010), ע""פ 5778/08 אבו סינמה נ' מדינת ישראל 1.3.2010)).""
באותו מקרה הוקל העונש, ברוב דעות, תוך הפחתתו משתים עשרה שנות מאסר שנגזרו על ידי בית המשפט המחוזי, לעשר שנות מאסר (ע""פ 6005/10 פלוני נ. מ""י, ניתן ביום 7.3.2012, להלן: ענין פלוני).
עוד נקבע בסעיף 40יג, כי אם הורשע הנאשם בכמה עבירות, המהוות אירוע אחד ""יקבע מתחם עונש הולם כאמור בסעיף 40ג(א) לאירוע כולו, ויגזור עונש כולל לכל העבירות בשל אותו אירוע"". הרשיע בית המשפט ב""כמה עבירות המהוות כמה אירועים, יקבע מתחם עונש הולם כאמור בסעיף 40ג(א) לכל אירוע בנפרד, ולאחר מכן רשאי הוא לגזור עונש נפרד לכל אירוע או עונש כולל לכל האירועים; גזר בית המשפט עונש נפרד לכל אירוע, יקבע את מידת החפיפה בין העונשים או הצטברותם"", הכל תוך שמירה ""על יחס הולם בין חומרת מכלול המעשים ומידת אשמו של הנאשם לבין סוג העונש, ואם גזר עונש מאסר – לבין תקופת המאסר שעל הנאשם לשאת.""
הפסיקה המושרשת בעבירות נגד הביטחון, המתווה את ""מדיניות הענישה הנהוגה"", והמפרטת את הערך החברתי שנפגע בעבירות כגון אלה שביצע הנאשם, קובעת, כי במסגרת ענישת מעשים אלה יש ליתן משקל בכורה לצורכי ההגנה על הציבור בישראל וכוחות הביטחון. בע""פ 9349/07 איסמעיל חאמד נ' מדינת ישראל  (לא פורסם, 23.6.2008, להלן: עניין חאמד), נאמר בעניין זה: ""מעשי טרור המכוונים לפגוע בחיי ישראלים – חיילים או אזרחים – מחייבים ענישה מחמירה במיוחד, אשר תטמיע את מסר הגמול וההרתעה כלפי כל מי שמעורב בפעילות בלתי חוקית המסכנת חיים..."".
בע""פ 2651/10 ‏אבו ואדי שריף נ' מדינת ישראל, (ניתן ביום 28.2.2011, להלן: עניין שריף), צויין כי ""....שיקול משמעותי בגזירת העונש בגין עבירות נגד בטחון המדינה הוא השיקול של הרתעת היחיד והרתעת הרבים, כמו-גם גמול...""","בע""פ 9349/07 איסמעיל חאמד נ' מדינת ישראל  (לא פורסם, 23.6.2008, להלן: עניין חאמד), נאמר בעניין זה: ""מעשי טרור המכוונים לפגוע בחיי ישראלים – חיילים או אזרחים – מחייבים ענישה מחמירה במיוחד, אשר תטמיע את מסר הגמול וההרתעה כלפי כל מי שמעורב בפעילות בלתי חוקית המסכנת חיים..."".",0
"ע""פ 7403/07","כאשר מביאים בחשבון את חומרת המעשים, התמשכותם ופוטנציאל הפגיעה שבהם, את החובה להגן על תושבי ישראל ולשלוח מסר חד-משמעי ונוקב כי מי אשר פועל נגד ישראל יקבל כגמולו במלוא חומרת הדין, ומנגד את הנסיבות לקולא שפורטו, ובפרט את ההודאה, ושיתוף הפעולה בחקירה, ובפרט את הענישה במקרים דומים, אנו סבורים כי יש מקום להקלה מסוימת בעונשו של המערער. אנו מעמידים אפוא את עונשו של המערער על 17 שנות מאסר בפועל. עונש המאסר המותנה יישאר על כנו.""
בעניין אחר בו חבר הנאשם לארגוני טרור, ונתן ידו להטמנת מטען חבלה בגבול ישראל – עזה, במטרה להביא לפגיעה בחיי חיילים, צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ע""פ 1220/08 פלוני נ' מדינת ישראל 31.1.2010; ע""פ 5640/10 חילס נ' מדינת 1.6.2010; ע""פ 9349/07 חאמד נ' מדינת ישראל 23.6.2008; ע""פ 7403/07 נג'אר נ' מדינת ישראל  30.3.2008). מנגד, באת כוח המערער הגישה פסיקה שבה הוטלו עונשים קלים יותר (השוו: ע""פ 3015/09 מדינת ישראל נ' קדיח 20.7.2010), ע""פ 5778/08 אבו סינמה נ' מדינת ישראל 1.3.2010)).""
באותו מקרה הוקל העונש, ברוב דעות, תוך הפחתתו משתים עשרה שנות מאסר שנגזרו על ידי בית המשפט המחוזי, לעשר שנות מאסר (ע""פ 6005/10 פלוני נ. מ""י, ניתן ביום 7.3.2012, להלן: ענין פלוני).","בעניין אחר בו חבר הנאשם לארגוני טרור, ונתן ידו להטמנת מטען חבלה בגבול ישראל – עזה, במטרה להביא לפגיעה בחיי חיילים, צויין כי ""המשיבה הגישה פסקי דין מהם עלה כי במקרים שבהם הוטמנו מטעני חבלה המכוונים לפגוע בכוחות צה""ל, אף אם לא נגרם כל נזק בפועל מהטמנת המטענים, הוטלו בין עשר לשלוש עשרה שנות מאסר בפועל (ראו והשוו: ... ע""פ 7403/07 נג'אר נ' מדינת ישראל  30.3.2008).",1
