citation,context_text,extracted_text,predicted_label
"ע""פ 4910/13","20.	גזירת עונשו של נאשם בגיר מחייבת קביעת מתחם העונש ההולם, בהתאם לעיקרון המנחה, וקביעת העונש המתאים לנאשם בתוך המתחם. במקרים יוצאי דופן, ניתן לסטות מן המתחם לקולא בהסתמך על שיקולי שיקום (סעיף 40ד' לחוק העונשין), או לחומרא, בשל שיקולי הגנה על שלום הציבור (סעיף 40ה' לחוק העונשין).
21.	כשמדובר במי שהורשע בריבוי עבירות, הליך גזירת הדין כולל שלושה שלבים. בשלב הראשון על בית המשפט לקבוע בהתאם לסעיף 40יג לחוק העונשין, האם עבירות אלה מהוות אירוע אחד או כמה אירועים, על פי מבחן ""הקשר ההדוק"" שהתפתח בפסיקה (ע""פ 4910/13 ג'אבר נ. מדינת ישראל [פורסם בנבו] (29.10.2014) וכן ע""פ 1127/13 גברזגיי נ. מדינת ישראל [פורסם בנבו] (15.01.2014) וע""פ 4702/15 עביד נ. מדינת ישראל [פורסם בנבו] (20.04.2016)). אם מדובר בכמה עבירות המהוות אירוע אחד, יקבע בית המשפט מתחם עונש הולם לאירוע כולו , ויגזור עונש כולל לכל העבירות בשל אותו אירוע.
בענייננו, אין חולק כי מדובר במספר עבירות, המהוות אירוע אחד לצורך קביעת המתחם ויש לקבוע לגביהן מתחם אחד.","ע""פ 4910/13 ג'אבר נ. מדינת ישראל [פורסם בנבו] (29.10.2014)",0
"ע""פ 1127/13","20.	גזירת עונשו של נאשם בגיר מחייבת קביעת מתחם העונש ההולם, בהתאם לעיקרון המנחה, וקביעת העונש המתאים לנאשם בתוך המתחם. במקרים יוצאי דופן, ניתן לסטות מן המתחם לקולא בהסתמך על שיקולי שיקום (סעיף 40ד' לחוק העונשין), או לחומרא, בשל שיקולי הגנה על שלום הציבור (סעיף 40ה' לחוק העונשין).
21.	כשמדובר במי שהורשע בריבוי עבירות, הליך גזירת הדין כולל שלושה שלבים. בשלב הראשון על בית המשפט לקבוע בהתאם לסעיף 40יג לחוק העונשין, האם עבירות אלה מהוות אירוע אחד או כמה אירועים, על פי מבחן ""הקשר ההדוק"" שהתפתח בפסיקה (ע""פ 4910/13 ג'אבר נ. מדינת ישראל [פורסם בנבו] (29.10.2014) וכן ע""פ 1127/13 גברזגיי נ. מדינת ישראל [פורסם בנבו] (15.01.2014) וע""פ 4702/15 עביד נ. מדינת ישראל [פורסם בנבו] (20.04.2016)). אם מדובר בכמה עבירות המהוות אירוע אחד, יקבע בית המשפט מתחם עונש הולם לאירוע כולו , ויגזור עונש כולל לכל העבירות בשל אותו אירוע.
בענייננו, אין חולק כי מדובר במספר עבירות, המהוות אירוע אחד לצורך קביעת המתחם ויש לקבוע לגביהן מתחם אחד.","כשמדובר במי שהורשע בריבוי עבירות, הליך גזירת הדין כולל שלושה שלבים. בשלב הראשון על בית המשפט לקבוע בהתאם לסעיף 40יג לחוק העונשין, האם עבירות אלה מהוות אירוע אחד או כמה אירועים, על פי מבחן ""הקשר ההדוק"" שהתפתח בפסיקה (ע""פ 1127/13 גברזגיי נ. מדינת ישראל [פורסם בנבו] (15.01.2014))",0
"ע""פ 4702/15","20.	גזירת עונשו של נאשם בגיר מחייבת קביעת מתחם העונש ההולם, בהתאם לעיקרון המנחה, וקביעת העונש המתאים לנאשם בתוך המתחם. במקרים יוצאי דופן, ניתן לסטות מן המתחם לקולא בהסתמך על שיקולי שיקום (סעיף 40ד' לחוק העונשין), או לחומרא, בשל שיקולי הגנה על שלום הציבור (סעיף 40ה' לחוק העונשין).
21.	כשמדובר במי שהורשע בריבוי עבירות, הליך גזירת הדין כולל שלושה שלבים. בשלב הראשון על בית המשפט לקבוע בהתאם לסעיף 40יג לחוק העונשין, האם עבירות אלה מהוות אירוע אחד או כמה אירועים, על פי מבחן ""הקשר ההדוק"" שהתפתח בפסיקה (ע""פ 4910/13 ג'אבר נ. מדינת ישראל [פורסם בנבו] (29.10.2014) וכן ע""פ 1127/13 גברזגיי נ. מדינת ישראל [פורסם בנבו] (15.01.2014) וע""פ 4702/15 עביד נ. מדינת ישראל [פורסם בנבו] (20.04.2016)). אם מדובר בכמה עבירות המהוות אירוע אחד, יקבע בית המשפט מתחם עונש הולם לאירוע כולו , ויגזור עונש כולל לכל העבירות בשל אותו אירוע.
בענייננו, אין חולק כי מדובר במספר עבירות, המהוות אירוע אחד לצורך קביעת המתחם ויש לקבוע לגביהן מתחם אחד.","כשהמדובר במי שהורשע בריבוי עבירות, הליך גזירת הדין כולל שלושה שלבים. בשלב הראשון על בית המשפט לקבוע בהתאם לסעיף 40יג לחוק העונשין, האם עבירות אלה מהוות אירוע אחד או כמה אירועים, על פי מבחן ""הקשר ההדוק"" שהתפתח בפסיקה (ע""פ 4702/15 עביד נ. מדינת ישראל [פורסם בנבו] (20.04.2016)).",0
"ע""פ 5982/15","23.	 נאשמים 2 ו- 3 היו קטינים בעת ביצוע העבירות ומשכך חל עליהם חוק הנוער (שפיטה, ענישה ודרכי טיפול), התשל""א-1971. יחד עם זאת, קובע סעיף 40טו(ב) לחוק העונשין, כי  בית המשפט רשאי גם בעניינם של קטינים, להתחשב בעקרונות ובשיקולים המנחים בענישה המנויים בפרק הבניית שיקול הדעת בענישה,  תוך התאמתם לענישת הקטין , ככל שסבר שראוי לתת להם משקל בנסיבות המקרה.
נפסק כי ""ככל שקטין קרוב לבגירות בעת ביצוע המעשים, כך משקלם של השיקולים הקבועים בחוק העונשין - ובעיקרם עיקרון ההלימה בין חומרת המעשה ומידת האשם לבין חומרת העונש - גובר"" (ע""פ 5982/15 מדינת ישראל נ.  פלוני  [פורסם בנבו] (24.07.2016)).
הקטינים ביצעו את העבירות בהיותם בסמיכות לגיל הבגירות, לאחר שחברו לבגיר, שאך לא מזמן חצה את גבול הקטינות. השלושה רקמו יחד קשר לבצע מעשה מן החמורים שבספר החוקים. בנסיבות אלה, נכון יהא לתת משקל לעקרונות ולשיקולים שבפרק הבניית שיקול הדעת בענישה, אף לצורך ענישתם של הקטינים, תוך התאמתם לעקרונות הענישה הייחודיים לקטינים.","נפסק כי ""ככל שקטין קרוב לבגירות בעת ביצוע המעשים, כך משקלם של השיקולים הקבועים בחוק העונשין - ובעיקרם עיקרון ההלימה בין חומרת המעשה ומידת האשם לבין חומרת העונש - גובר"" (ע""פ 5982/15 מדינת ישראל נ.  פלוני  [פורסם בנבו] (24.07.2016)).",0
"ע""פ 2826/15","הגם שבמהלך הזמן בו שוטטו בעפולה, לא עשו ניסיון לפגוע באיש, יש לקחת בחשבון את העובדה כי הנאשמים לא השליכו את הסכינים, אלא רק לאחר שהשוטרים פנו אליהם, והם הבינו כי עוררו את חשדם. למרבה המזל, עם זאת, לא נגרמה בפועל כל פגיעה לסובבים.
בין הנסיבות הקשורות בביצוע העבירה, יש לזקוף לחומרה את המניע האידיאולוגי לביצוע העבירה. ע""פ 2826/15 עביד נ. מדינת ישראל [פורסם בנבו] (07.06.2016). הנאשמים הושפעו, לטענתם, מהלך הרוחות בסביבתם  ומדברי הסתה ברשתות החברתיות ובתקשורת. על רקע זה, ולמרות שנכנסו לישראל על מנת לעבוד, ובפועל אכן הועסקו בעבודות ניקיון באום אלפחם, הם יצאו לעפולה, מצוידים בסכינים, לשם מימוש הקשר שקשרו.
בעת קביעת המתחם על בית המשפט להתייחס למידת יכולתו  של הנאשם להבין את אשר הוא עושה, את הפסול שבמעשהו או את משמעות מעשה,  לרבות בשל גילו (סעיף 40ט(א)(6) לחוק העונשין). בהקשר לקבוצת הגיל המכונה ""בגירים צעירים"" נפסק (בע""פ 2420/15 אברהם נ' מדינת ישראל, [פורסם בנבו] (29/11/2015) 'כי הקלה בעונשו של בגיר צעיר לא תיעשה, אלא אם בית המשפט השתכנע על יסוד החומר המונח בפניו, כי מתקיימות בבגיר כי מתקיימות בבגיר הצעיר הספציפי אותן נסיבות מיוחדות העשויות להצדיק מתן הקלה מסוימת בעונשו. בענייננו, לא נטען ולא הוכחו מאפיינים מיוחדים, המצדיקים קביעת מתחם מקל לנאשם מס'1 רק בשל גילו הצעיר. כאמור לעיל, עניינם של הנאשמים הקטינים הינו שונה, והחוק עצמו מתווה כי תינתן הדעת לגילם ומשקל משמעותי יותר לסיכויי השיקום שלהם. זאת, על אף, שבפועל, כפי שנטען בפנינו, הפרש הגילאים בין הבגיר לקטינים איננו רב.
כאשר עבירות אלה מבוצעות על רקע אידיאולוגי -לאומני, נוסף להם נופך של חומרה, ונקבע כי בדרך כלל נדחים  יתר שיקולי הענישה , מפני השיקולים הנעוצים באינטרס הציבורי:
""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).
בשל הסיכון החמור לשלום הציבור ובטחונו, בעבירות בעלות רקע אידיאולוגי-לאומני, נפסק כי על בית המשפט להעביר מסר הרתעתי חד משמעי באמצעות ענישה קשה (ע""פ 2460/15 ג'בארין נ. מדינת ישראל,  [פורסם בנבו] (04.05.2016)).","בין הנסיבות הקשורות בביצוע העבירה, יש לזקוף לחומרה את המניע האידיאולוגי לביצוע העבירה. ע""פ 2826/15 עביד נ. מדינת ישראל [פורסם בנבו] (07.06.2016). הנאשמים הושפעו, לטענתם, מהלך הרוחות בסביבתם  ומדברי הסתה ברשתות החברתיות ובתקשורת. על רקע זה, ולמרות שנכנסו לישראל על מנת לעבוד, ובפועל אכן הועסקו בעבודות ניקיון באום אלפחם, הם יצאו לעפולה, מצוידים בסכינים, לשם מימוש הקשר שקשרו.  
""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).",0
"ע""פ 2420/15","בין הנסיבות הקשורות בביצוע העבירה, יש לזקוף לחומרה את המניע האידיאולוגי לביצוע העבירה. ע""פ 2826/15 עביד נ. מדינת ישראל [פורסם בנבו] (07.06.2016). הנאשמים הושפעו, לטענתם, מהלך הרוחות בסביבתם  ומדברי הסתה ברשתות החברתיות ובתקשורת. על רקע זה, ולמרות שנכנסו לישראל על מנת לעבוד, ובפועל אכן הועסקו בעבודות ניקיון באום אלפחם, הם יצאו לעפולה, מצוידים בסכינים, לשם מימוש הקשר שקשרו.
בעת קביעת המתחם על בית המשפט להתייחס למידת יכולתו  של הנאשם להבין את אשר הוא עושה, את הפסול שבמעשהו או את משמעות מעשה,  לרבות בשל גילו (סעיף 40ט(א)(6) לחוק העונשין). בהקשר לקבוצת הגיל המכונה ""בגירים צעירים"" נפסק (בע""פ 2420/15 אברהם נ' מדינת ישראל, [פורסם בנבו] (29/11/2015) 'כי הקלה בעונשו של בגיר צעיר לא תיעשה, אלא אם בית המשפט השתכנע על יסוד החומר המונח בפניו, כי מתקיימות בבגיר כי מתקיימות בבגיר הצעיר הספציפי אותן נסיבות מיוחדות העשויות להצדיק מתן הקלה מסוימת בעונשו. בענייננו, לא נטען ולא הוכחו מאפיינים מיוחדים, המצדיקים קביעת מתחם מקל לנאשם מס'1 רק בשל גילו הצעיר. כאמור לעיל, עניינם של הנאשמים הקטינים הינו שונה, והחוק עצמו מתווה כי תינתן הדעת לגילם ומשקל משמעותי יותר לסיכויי השיקום שלהם. זאת, על אף, שבפועל, כפי שנטען בפנינו, הפרש הגילאים בין הבגיר לקטינים איננו רב.
27.	מדיניות הענישה בעבירות קשירת קשר למעשי אלימות, בפרט אלה הכרוכות בשימוש בסכין ומתוך מטרה לפגוע בחיי אדם, מחייבת הטלת עונשים מרתיעים, ואין צורך לחזור על הנימוקים לכך.","בהקשר לקבוצת הגיל המכונה ""בגירים צעירים"" נפסק (בע""פ 2420/15 אברהם נ' מדינת ישראל, [פורסם בנבו] (29/11/2015) 'כי הקלה בעונשו של בגיר צעיר לא תיעשה, אלא אם בית המשפט השתכנע על יסוד החומר המונח בפניו, כי מתקיימות בבגיר כי מתקיימות בבגיר הצעיר הספציפי אותן נסיבות מיוחדות העשויות להצדיק מתן הקלה מסוימת בעונשו. בענייננו, לא נטען ולא הוכחו מאפיינים מיוחדים, המצדיקים קביעת מתחם מקל לנאשם מס'1 רק בשל גילו הצעיר. כאמור לעיל, עניינם של הנאשמים הקטינים הינו שונה, והחוק עצמו מתווה כי תינתן הדעת לגילם ומשקל משמעותי יותר לסיכויי השיקום שלהם. זאת, על אף, שבפועל, כפי שנטען בפנינו, הפרש הגילאים בין הבגיר לקטינים איננו רב.",0
"ע""פ 2460/15","""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).
בשל הסיכון החמור לשלום הציבור ובטחונו, בעבירות בעלות רקע אידיאולוגי-לאומני, נפסק כי על בית המשפט להעביר מסר הרתעתי חד משמעי באמצעות ענישה קשה (ע""פ 2460/15 ג'בארין נ. מדינת ישראל,  [פורסם בנבו] (04.05.2016)).
כל צד הפנה לפסיקה, ממנה ביקש ללמוד מהי מדיניות הענישה הנוהגת בעבירות שביצעו הנאשמים בנסיבותיהן.
כאשר עבירות אלה מבוצעות על רקע אידיאולוגי -לאומני, נוסף להם נופך של חומרה, ונקבע כי בדרך כלל נדחים  יתר שיקולי הענישה , מפני השיקולים הנעוצים באינטרס הציבורי:
""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).
בשל הסיכון החמור לשלום הציבור ובטחונו, בעבירות בעלות רקע אידיאולוגי-לאומני, נפסק כי על בית המשפט להעביר מסר הרתעתי חד משמעי באמצעות ענישה קשה (ע""פ 2460/15 ג'בארין נ. מדינת ישראל,  [פורסם בנבו] (04.05.2016)).","""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016)).  
בשל הסיכון החמור לשלום הציבור ובטחונו, בעבירות בעלות רקע אידיאולוגי-לאומני, נפסק כי על בית המשפט להעביר מסר הרתעתי חד משמעי באמצעות ענישה קשה (ע""פ 2460/15 ג'בארין נ. מדינת ישראל,  [פורסם בנבו] (04.05.2016)).""",0
"ע""פ 7517/15","כאשר עבירות אלה מבוצעות על רקע אידיאולוגי -לאומני, נוסף להם נופך של חומרה, ונקבע כי בדרך כלל נדחים  יתר שיקולי הענישה , מפני השיקולים הנעוצים באינטרס הציבורי:
""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).
בשל הסיכון החמור לשלום הציבור ובטחונו, בעבירות בעלות רקע אידיאולוגי-לאומני, נפסק כי על בית המשפט להעביר מסר הרתעתי חד משמעי באמצעות ענישה קשה (ע""פ 2460/15 ג'בארין נ. מדינת ישראל,  [פורסם בנבו] (04.05.2016)).","""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ... ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016) ...).""",0
"ע""פ 1163/07","כאשר עבירות אלה מבוצעות על רקע אידיאולוגי -לאומני, נוסף להם נופך של חומרה, ונקבע כי בדרך כלל נדחים  יתר שיקולי הענישה , מפני השיקולים הנעוצים באינטרס הציבורי:
""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).
בשל הסיכון החמור לשלום הציבור ובטחונו, בעבירות בעלות רקע אידיאולוגי-לאומני, נפסק כי על בית המשפט להעביר מסר הרתעתי חד משמעי באמצעות ענישה קשה (ע""פ 2460/15 ג'בארין נ. מדינת ישראל,  [פורסם בנבו] (04.05.2016)).","""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007))"".",0
"ע""פ 2826/15","הגם שבמהלך הזמן בו שוטטו בעפולה, לא עשו ניסיון לפגוע באיש, יש לקחת בחשבון את העובדה כי הנאשמים לא השליכו את הסכינים, אלא רק לאחר שהשוטרים פנו אליהם, והם הבינו כי עוררו את חשדם. למרבה המזל, עם זאת, לא נגרמה בפועל כל פגיעה לסובבים.
בין הנסיבות הקשורות בביצוע העבירה, יש לזקוף לחומרה את המניע האידיאולוגי לביצוע העבירה. ע""פ 2826/15 עביד נ. מדינת ישראל [פורסם בנבו] (07.06.2016). הנאשמים הושפעו, לטענתם, מהלך הרוחות בסביבתם  ומדברי הסתה ברשתות החברתיות ובתקשורת. על רקע זה, ולמרות שנכנסו לישראל על מנת לעבוד, ובפועל אכן הועסקו בעבודות ניקיון באום אלפחם, הם יצאו לעפולה, מצוידים בסכינים, לשם מימוש הקשר שקשרו.
בעת קביעת המתחם על בית המשפט להתייחס למידת יכולתו  של הנאשם להבין את אשר הוא עושה, את הפסול שבמעשהו או את משמעות מעשה,  לרבות בשל גילו (סעיף 40ט(א)(6) לחוק העונשין). בהקשר לקבוצת הגיל המכונה ""בגירים צעירים"" נפסק (בע""פ 2420/15 אברהם נ' מדינת ישראל, [פורסם בנבו] (29/11/2015) 'כי הקלה בעונשו של בגיר צעיר לא תיעשה, אלא אם בית המשפט השתכנע על יסוד החומר המונח בפניו, כי מתקיימות בבגיר כי מתקיימות בבגיר הצעיר הספציפי אותן נסיבות מיוחדות העשויות להצדיק מתן הקלה מסוימת בעונשו. בענייננו, לא נטען ולא הוכחו מאפיינים מיוחדים, המצדיקים קביעת מתחם מקל לנאשם מס'1 רק בשל גילו הצעיר. כאמור לעיל, עניינם של הנאשמים הקטינים הינו שונה, והחוק עצמו מתווה כי תינתן הדעת לגילם ומשקל משמעותי יותר לסיכויי השיקום שלהם. זאת, על אף, שבפועל, כפי שנטען בפנינו, הפרש הגילאים בין הבגיר לקטינים איננו רב.
כאשר עבירות אלה מבוצעות על רקע אידיאולוגי -לאומני, נוסף להם נופך של חומרה, ונקבע כי בדרך כלל נדחים  יתר שיקולי הענישה , מפני השיקולים הנעוצים באינטרס הציבורי:
""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).
בשל הסיכון החמור לשלום הציבור ובטחונו, בעבירות בעלות רקע אידיאולוגי-לאומני, נפסק כי על בית המשפט להעביר מסר הרתעתי חד משמעי באמצעות ענישה קשה (ע""פ 2460/15 ג'בארין נ. מדינת ישראל,  [פורסם בנבו] (04.05.2016)).","בין הנסיבות הקשורות בביצוע העבירה, יש לזקוף לחומרה את המניע האידיאולוגי לביצוע העבירה. ע""פ 2826/15 עביד נ. מדינת ישראל [פורסם בנבו] (07.06.2016). הנאשמים הושפעו, לטענתם, מהלך הרוחות בסביבתם  ומדברי הסתה ברשתות החברתיות ובתקשורת. על רקע זה, ולמרות שנכנסו לישראל על מנת לעבוד, ובפועל אכן הועסקו בעבודות ניקיון באום אלפחם, הם יצאו לעפולה, מצוידים בסכינים, לשם מימוש הקשר שקשרו.
""כפי שנקבע בפסיקתו של בית משפט זה, כאשר עסקינן בעבריינות המתבצעת על רקע אידיאולוגי, נדחים, ככלל, שיקולי ענישה אחרים, ובהם האינטרס השיקומי, מפני שיקול ההגנה על שלומו וביטחונו של הציבור, והרתעת עבריינים בכוח מפני ביצוע מעשים דומים (ראו: ע""פ 2460/15  ג'בארין נ' מדינת ישראל  [פורסם בנבו] (4.5.2016); ע""פ 7517/15  מדינת ישראל נ' עביד  [פורסם בנבו] (9.3.2016); ע""פ 1163/07  אבו ח'דיר נ' מדינת ישראל  [פורסם בנבו] (29.3.2007)). עוד יש להדגיש, כי במציאות הנוכחית, שבה נתרבו פיגועי הדקירה כלפי יהודים באשר הם, מתחייבת התייחסות עונשית הולמת."" (ע""פ 2826/15 עביד נ. מדינת ישראל ( 07.06.2016)).",0
