verdict,text,part
"ת""פ (חי') 269∕82",בבית-המשפט המחוזי בחיפה ,nothing
"ת""פ (חי') 269∕82","בפני השופט ד""ר ד' ביין",nothing
"ת""פ (חי') 269∕82","    ת""פ (חי') 269/82",nothing
"ת""פ (חי') 269∕82",המאשימה:נ מדינת ישראל,nothing
"ת""פ (חי') 269∕82",הנאשמים:ב .1יחיאל בן אלברט אברג'יל,נגד
"ת""פ (חי') 269∕82",.2צבי בן ראובן חסיד,נגד
"ת""פ (חי') 269∕82","ראיות - הודאת נאשם מחוץ לכתלי בית-המשפט - משקלה של ההודאה - הודאה שלא נחתמה על-ידי הנאשם וזכרון דברים שרשם החוקר לאחר סיום החקירה - הצורך ב""דבר-מה"" - משקלו וטיבו של ה""דבר-מה"" - הודאת ה""נאשם-עמו"" כ""דבר-מה"" - המצב המשפטי בעקבות סעיף 10א לפקודת הראיות.",נגד
"ת""פ (חי') 269∕82","הנאשמים הועמדו לדין על שתי עבירות:ו גניבה לפי סעיף 384לחוק העונשין והחזקת נשק שלא כדין, לפי סעיף 144לחוק.",נגד
"ת""פ (חי') 269∕82",בית-המשפט מצא חומר ראיות מספיק להרשעתו של נאשם 2ואילו ביחס לנאשם 1נמצא שחומר הראיות היחיד נגדו הוא זכרון דברים שנרשם על-ידי החוקר המשטרתי בדבר שיחה שקיים עם הנאשם וכן הודאה שנרשמה מפי הנאשם בחקירתו כאשר שני המסמכים אינם חתומים על-ידי הנאשם.,נגד
"ת""פ (חי') 269∕82",בית-המשפט זיכה את הנאשם 1ופסק:נ,נגד
"ת""פ (חי') 269∕82",". 1א. כעקרון, אין מניעה לסמוך הרשעה על ראיות בדבר הודאה שמסר נאשם מחוץ לכתלי בית-המשפט, גם אם המסמכים בהם כלולה אותה הודאה אינם חתומים על-ידי הנאשם, וגם כאשר לא קיימים מסמכים כלל ותוכנה של ההודאה נמסר בעדות בעל-פה של עד ששמע אותה.",נגד
