verdict,text,part
"ת""פ (ירושלים) 1127∕01","חוק העונשין, תשל""ז-1977: סע'  144(ב), 329, 332.2",חקיקה שאוזכרה: 
"ת""פ (ירושלים) 1127∕01","הנאשם הורשע על- פי הודאתו בעבירות הקשורות בנשק, לפי סעיפים 144(ב) רישא וסיפא לחוק העונשין, תשל""ז- 1977, שעניינן נשיאה והובלה של רובה ציד מסוג Remington מודל 870, מס' V604778V וכן 16 כדורי רובה, כל זאת במהלך חודש מאי 2001 (הכל כמפורט בכתב האישום).",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","לנאשם 7 הרשעות קודמות, בכללן עבירה של גרימת חבלה בכוונה מחמירה וסיכון חיי אדם במזיד בנתיב תחבורה, לפי סעיפים 329 ו- 332(3) לחוק העונשין, תשל""ז- 1977, בגינן נדון בביהמ""ש המחוזי בתל- אביב ביום 12.10.94 (בת""פ 437/93) למאסר בפועל לתקופה של חמש שנים וחצי. את העבירות הנוכחיות עבר הנאשם מספר חודשים לאחר שחרורו מן המאסר הנ""ל.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","בנוסף להרשעה הנ""ל, יש לנאשם הרשעות קודמות נוספות גם בעבירות של אלימות, ובכללן כנגד שוטר (הכל כאמור בגיליון ההרשעות הקודמות – ת/1).",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","באמרתו במשטרה (ת/3, עמ' 2, ש' 38) הודה הנאשם, כי אחד מן הכדורים שנתפסו היה בתוך קנה הרובה.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","בין הצדדים הושג הסדר טיעון. בגדרו הודה הנאשם  והורשע בעבירות הנ""ל, והמאשימה הגבילה את עצמה לעתור לעונש מאסר בפועל שלא יעלה על שלוש שנים.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01",בפני הסניגור לא הוצב רף תחתון לענישה. לנאשם הודע כי בית המשפט אינו כבול להסדר הטיעון לעונש.,השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","אין תימה, אפוא, כי בא- כוחה המלומד של המאשימה ביקש להחמיר עם הנאשם בדינו ולגזור עליו עונש מאסר בפועל לתקופה המקסימלית לפי הסדר הטיעון.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","מנגד לכך, את קולר עתירתו שלא להחמיר בדינו של הנאשם ולא להשית עליו את העונש אותו מבקשת המאשימה, אלא להקל עמו במידת האפשר, ביקש הסניגור המלומד לתלות במצבו הכמעט בלתי אפשרי של הנאשם, שהוא אב לחמישה ילדים, המתגורר בישוב הר ברכה הסמוך לעיר שכם. על- פי הסברו, בפני הנאשם הוצבה לאחרונה דילמה מן הקשות ביותר בהן עומד אדם בחייו, וזאת לאור המצב הבטחוני השורר בתקופה זו במדינה בכלל, ובאזור מגוריו בפרט, כאשר הנסיעה בדרכים מהישוב הר ברכה למרכז הארץ ולירושלים, מקום בו לומד הנאשם ועובד כקבלן שיפוצים, גובה מחיר דמים יקר בגין יריות מנשק חם ויידוי אבנים כלפי הנוסעים בדרך, כך שאין המדובר בסכנה תיאורטית בלבד, אלא בסכנה מוחשית. הסניגור המלומד מפנה את חיצי ביקורותו למצב שנוצר כלפי רשויות השלטון, אשר אינן מסוגלות לספק לנאשם בטחון סביר, ומעמידות אותו בפני אותה דילמה בלתי אפשרית, לפיה עליו לנקוט בדרך שתבטיח, אם יקום הצורך בכך, את האפשרות להגנה עצמית, כל זאת שעה שבשל עברו הפלילי, אין הנאשם רשאי לקבל רשיון לנשק.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","זאת לדעת, שהנאשם, על- אף עברו הפלילי, עובד כיום לאחר שחרורו מן המאסר בצורה מסודרת, ומשתדל לפרנס משפחה בת 7 נפשות. ניכרים אצלו, כך לדברי בא- כוחו המלומד, הרצון והמאמץ להגיף את חלון עברו המעיק ולעלות על דרך חיים חיובית ונורמטיבית. ברם, הנסיבות הביטחוניות מחד- גיסא, וחוסר האפשרות לקבל היתר כדין לשאת נשק מאידך- גיסא, מונחות כריחיים על צווארו ומכבידות מאוד על יכולתו להגן על עצמו בנסיעה בודדת באותם כבישים מסוכנים.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","אין חולק, כי הנשק שנתפס היה מונח ברכבו של הנאשם, כאשר לא נעשה בו כל שימוש, והמידע אודותיו שהגיע אל המשטרה, הוא שהוליך בסופו של דבר לתפיסת הנשק ולמעצרו של הנאשם ששהה אותה עת במקום עבודתו.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","אכן, בגדרו של הליך קביעת מדרג הענישה יש להתחשב גם בנתונים המיוחדים של הנאשם הנמצא לפני ביהמ""ש, על כל נסיבותיו האישיות, שהרי ככלות הכל, ""ענישתו היא ענישה אינדיבידואלית של כל עבריין באשר הוא שם"" (ע""פ 291/81 פלוני נ' מ""י פ""ד לה(4) 438, 442 מול ו'- ז'1; וראו גם: ע""פ 433/89 אטיאס נ' מ""י פ""ד מג(4) 170, 174- 175; ע""פ 344/81 מ""י נ' סגל פ""ד לה(4) 313, 319 מול ג'; ע""פ 1399/91 ליבוביץ נ' מ""י פ""ד מז(1) 177, 183- 186).",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","אודה ולא אבוש, כי התלבטות קשה ליוותני לעת גיבוש החלטתי בדבר העונש לו ראוי הנאשם. מחד- גיסא, אין לכחד כי מדובר בעבירה חמורה, ועל בתי המשפט לעשות כל אשר לאל ידם כדי למנוע תופעה חמורה זו של נשיאת נשק שלא כדין.",השופט צבי סגל:
"ת""פ (ירושלים) 1127∕01","משמעות נשיאת הנשק, על- אף ההסבר שניתן לה, איננה יכולה להיחשב בעיני כמטרה כשרה, שעה שהיא אסורה על- פי דין. נכון הוא ,שבנסיבות מסוימות אכן יכולה להיווצר אצל הנאשם סיטואציה של הגנה עצמית, אולם להגנה זו יש תנאים גם בחוק, שאחד מהם הוא העדר האפשרות למנוע תוצאות בדרך אחרת, זולת מעשים שברגיל עולים הם כדי עבירה. מאידך, בידוע הוא, כי נשיאה והובלה של נשק עלולה לגרום למצבים קשים, לתוצאות חמורות, לעתים קטלניות, ובית המשפט רואה ושומע על אירועים כאלה לא אחת. חומרה יתרה יש כמובן לעובדה שאין לנאשם היתר לשאת נשק כלשהו. שיקולים אלה, על רקע הרשעותיו הקודמות של הנאשם, לרבות בעבירה חמורה ביותר של חבלה בכוונה מחמירה באמצעות ירי בנשק חם מסוג תמ""ק ""עוזי"" לעבר נער בו חשד שהוא עומד להשליך לעברו אבנים, כאשר הכדור שירה לעברו חדר לבטנו של אותו נער ויצא מגבו, ואשר בעקבות מעשה זה הורשע הנאשם ונידון כאמור למאסר בפועל לתקופה של חמש שנים וחצי, מלמדים על רקע של שימוש אלים במיוחד בכלי- נשק, עובדה שאמורה היתה ללמדו לקח ולא להוסיף את ביצוע העבירה הנוכחית לפשע הקודם, במרווח הזמן הכה קצר מאז שחרורו מן המאסר.",צבי סגל 54678313-1127/01
"ת""פ (ירושלים) 1127∕01","מנגד לכך, דברי הסניגור המלומד לעונש הדגישו לא רק את מצבו האישי של הנאשם, אשר בשל הנסיבות המפורטות לעיל גם מערכת היחסים הזוגית שלו עם רעייתו נקלעה לקשיים, אלא גם את המעשה, עליו ורק עליו, יש לדעתו לדון אותו, ואשר התמצה כאמור, ועל כך אין מחלוקת, אך ורק בהחזקת הנשק מבלי לעשות בו כל שימוש.",צבי סגל 54678313-1127/01
"ת""פ (ירושלים) 1127∕01","בסופה של שקלא וטריא, באזני את השיקולים לכאן ולכאן, ולאחר שהבאתי בחשבון לקולא גם את הודאתו של הנאשם, על נסיבותיו המיוחדות כמתואר לעיל, ובגדר הסדר הטיעון אותו אני מאמץ מבלי לחרוג הימנו, אני דן את הנאשם לעונשים כדלקמן:",צבי סגל 54678313-1127/01
"ת""פ (ירושלים) 1127∕01","למאסר של 48 חודשים, מתוכם 30 חודשים לריצוי בפועל, החל מיום מעצרו 30.5.01 ויתרתם (18 חודשים) על תנאי. התנאי הוא, שלא יעבור תוך 3 שנים מיום שחרורו מן המאסר הנוכחי על איזו מהוראות החיקוק שבהן הורשע, שהן בגדר עבירה מסוג פשע.",54678313
"ת""פ (ירושלים) 1127∕01",זכות ערעור לבית המשפט העליון תו 45 יום.,54678313
"ת""פ (ירושלים) 1127∕01","ניתן היום, י' בתמוז תשס""א (1 ביולי 2001) במעמד הצדדים.",54678313
"ת""פ (ירושלים) 1127∕01",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,54678313
"ת""פ (ירושלים) 1127∕01","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן",54678313
