verdict,text,part
"ת""פ (כפר- סבא) 2081∕02","הנאשם הורשע, על פי הודאתו, ובמסגרת הסדר טיעון חלקי, בעבירה של החזקת נשק שלא כדין – עבירה לפי סעיף 144(א) לחוק העונשין.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","בנסיבותיו המיוחדות והמקילות של תיק זה, אשר יפורטו להלן, עתרה התביעה ל- 6 חודשי מאסר בפועל, שירוצו, לפי האפשר, בעבודות שירות, מע""ת וקנס קספי.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","לעומתה, עתר הסניגור לענישת מאסר, שתרוצה בעבודות שירות הגם שבהיקף מינימלי.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","הנאשם, על פי הודאתו, אכן חטא בכך שהחזיק בנשק – שאילו נפל לידי גורם פלילי או עוין, היה ניתן להיעשות בו שימוש מקפח חיי אדם.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","על כן, וברגיל, היה מקום להשית על נאשם זה ענישה מחמירה.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","אלא, שבמקרה דנן מצאתי – כאמור – נסיבות של ממש לקולא:",גזר- דין
"ת""פ (כפר- סבא) 2081∕02",המדובר בנאשם ללא כל עבר פלילי.,גזר- דין
"ת""פ (כפר- סבא) 2081∕02","זו אף זו, שהמדובר בעבירה ממאי 2001, אשר כתב האישום בעטיה הוגש למעלה משנה לאחר ביצועה.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","עוד לציין, כי הנאשם שיתף פעולה עם חוקרי המשטרה, ומסר גירסה מלאה, אשר על פיה נוסח כתב האישום – כך התובעת.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","עם זאת, יודגש: לולא גירסתו זו, של הנאשם במשטרה, ספק אם ניתן היה להגיש כתב אישום כנגדו, שכן הנשק לא אותר.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","כמו כן: המדובר בנאשם צעיר ונורמטיבי בדרך כלל – אשר מכתבה של מנהלת המרפ""ד, הוא המרכז לפיתוח סגלי הוראה, כמו גם מכתבו של ראש עירית טייבה, נ/1 – מעידים, כי הינו אזרח חיובי, התורם לחברה.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","למותר לציין, כי הענישה במקומותינו הינה אינדיבידואלית, וככל שבדרך כלל על הקול היוצא מלפני ביהמ""ש, בעבירות בנשק, צריך צלול ומרתיע, יש לראות את התיק דנן על רקע נסיבותיו המיוחדות, והנאשם העומד בפני.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","אשר על כן, ובהשוואה בין עבירות אחרות בנשק לבין המקרה דנן, יש להתחשב בנסיבות המיוחדות לקולא:",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","יתר על כן, הנאשם הודה מיד, הביע חרטה, נטל אחריות, ובכך חסך גם מזמנם של ביהמ""ש, התביעה ועדיה – וזאת יש לזקוף לזכותו.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","לאור האמור, ומבלי להפחית בחומרתה של העבירה, אך תוך העמדתה בפרופורציה הראויה, ולפי התרשמותי, בנסיבות דנן, כי המדובר במעידה חד פעמית, בגינה מביע הנאשם צער וחרטת אמת – שהרי הוא עצמו, בהודאתו, היה המקור להעמדתו לדין, ולא איתור הנשק – לא אחמיר עימו – בזו הפעם – מעבר למידה הראויה.",גזר- דין
"ת""פ (כפר- סבא) 2081∕02","בהתחשב בנסיבות, ולאחר ששקלתי את כלל הנסיבות לקולא ולחומרא, אני דן את הנאשם לעונשים הבאים:",גזר- דין
