verdict,text,part
"ת""פ 1289-07","האשם הורשע על פי הודאתו בעבירות מסחר ועותקים מפרים, והפרת סימן מסחרי רשום. כאמור בכתב האישום, הנאשם בטיילת באילת ביום 10.04.06 הציע למכירה העתקי ספרים של תקליטורים, כמפורט בכתב האישום, ובכך הפר זכויות היוצרים של אחר.",גזר דין
"ת""פ 1289-07","הצדדים טענו במשותף לקבל את המלצת שירות המבחן, כאשר התסקיר בא בהמלצה להאריך מאסר מותנה הקיים כנגד הנאשם, וכן להטיל עליו של""צ – 150 שעות.",גזר דין
"ת""פ 1289-07","לאור המלצת שירות המבחן, העובדה כי הנאשם הודה, ולאור העובדה כי מדובר בעבירה ישנה, אני מקבל את עתירת הצדדים וגוזר על הנאשם את העונשים הבאים:",גזר דין
"ת""פ 1289-07","מורה על הארכת מאסר מותנה בן 7 חודשים לשנתיים נוספות החל מהיום, שהוטל על הנאשם בתיק פ 547/05 של בית משפט שלום באשדוד, גזר דין מיום 30.11.05.",גזר דין
"ת""פ 1289-07","הנאשם יבצע של""צ בהיקף של 150 שעות בהתאם להנחיות שירות המבחן, תחת המפקח בבית התמחוי ברמלה. הובהר לנאשם כי היה ולא יבצע את השל""צ כפי שנדרש וכפי שהתחייב, יוחזר לגזירת עונשו מחדש.",גזר דין
"ת""פ 1289-07","ככל שיהיה צורך בשינוי מקום ההשמה, ניתן לעשות זאת, הדבר יעשה על פי החלטתו של שירות המבחן, בהתאם לשיקול דעתו.",גזר דין
"ת""פ 1289-07","ניתנה והודעה היום ד' חשון תשע""א, 12/10/2010 במעמד הנוכחים.   ",<#4#>
"ת""פ 1289-07",הוקלד על ידי: שני פרידמן,"אלון רום, שופט"
"ת""פ 1289-07",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,"אלון רום, שופט"
"ת""פ 1289-07","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן","אלון רום, שופט"
