verdict,text,part
ת.פ 24817-06-10,               ת.פ 24817-06-10,"בפני: כב' ס. הנשיא השופטת רויטל יפה-כ""ץ"
ת.פ 24817-06-10,"        על ידי ב""כ עו""ד בן-יהודה","סאלם אלטורי, ת.ז. 036001634"
ת.פ 24817-06-10,"פריד אלטורי, ת.ז. 300127883    - נדון","מורשי אלטורי, ת.ז. 032487217  - נדון"
ת.פ 24817-06-10,"במסגרת הסדר טיעון שנערך בין הצדדים, תוקן כתב האישום המקורי שהוגש כנגד הנאשמים, הם הודו בעובדות שבכתב האישום המתוקן והורשעו בהתאם. הסדר הטיעון כלל גם הסכמה עונשית לגבי הנאשמים 2 עד 4, ועניינם הופרד ונגזר דינם. בעניינו של הנאשם 1 (להלן: ""הנאשם""), שגזר דין זה מתייחס אליו, הייתה אך הסכמה לקבלת תסקיר מטעם שירות המבחן בעניינו, כשכל צד יוכל לטעון באופן חופשי לעונש הראוי בעיניו.",בעניינו של הנאשם 1
ת.פ 24817-06-10,"מעובדות האישום הראשון שבכתב האישום המתוקן בו הודו הנאשם ושותפיו, ושעניינו הנאשמים כולם, עולה, כי בין משפחת הנאשמים לבין משפחתו של אשרף אלטללקה (להלן: ""המתלונן"") המתגוררת ברהט, יש סכסוך.",בעניינו של הנאשם 1
ת.פ 24817-06-10,"במועד שאינו ידוע במדוייק למאשימה, אך לפני האירועים נשוא כתב האישום, קשרו הנאשמים קשר עם אדם נוסף, שזהותו אינה ידועה למאשימה (להלן: ""האחר""), לעשות פשע, היינו – לירות במתלונן בכוונה להטיל בו מום או נכות או לגרום לו חבלה חמורה.",בעניינו של הנאשם 1
ת.פ 24817-06-10,"הנאשמים הודו, כי בצוותא חדא קשרו קשר לבצע פשע וכי הנאשם 3 הפריע לשוטרים במילוי תפקידם כשסירב להיענות לקריאתם, ועל כן הורשעו בעבירה של קשירת קשר לביצוע פשע לפי סעיף 499(א)(1) לחוק העונשין, תשל""ז-1977.",בעניינו של הנאשם 1
ת.פ 24817-06-10,"יצויין, כי בעקבות הסדר הטיעון נדונו הנאשמים 2 ו-3 בגין מעשיהם נשוא אישום זה למאסר מותנה של 3 חודשים ולקנס בסך 3,000 ₪. הנאשם 4 נדון למאסר בפועל בן חודש ימים שירוצה בדרך של עבודות שירות ולקנס בשיעור 3,000 ₪.",בעניינו של הנאשם 1
ת.פ 24817-06-10,"הנאשם נשוא גז""ד זה הורשע עוד, במסגרת האישום השני של כתב האישום המתוקן, המיוחס אך לו, גם בעבירה של החזקת נשק לפי סעיף 144(ג) לחוק העונשין, לאחר שהודה, כי בתאריך 03/06/10, בסמוך לשעה 13:30, הגיע לביתו של הנאשם 2 שברהט, ומסר לידי רעייתו אקדח FN שמספרו c88699 וכן 2 מחסניות לאקדח ובהן כדורים 9 מ""מ, וביקש ממנה לאחסן את הנשק בביתה. הנאשם הודה, כי במעשיו אלה החזיק בנשק מבלי שהייתה לו רשות על פי דין לעשות כן.",בעניינו של הנאשם 1
ת.פ 24817-06-10,"בהתאם להסדר הטיעון, הוגשו תסקירים מטעם שירות המבחן על הנאשם. מתסקירים אלה עולה, כי הנאשם כבן 33, נשוי ואב לשלושה ילדים. הוא מתגורר ברהט, נמצא כעת בתנאים מגבילים ועובד בעבודות שונות. הוא תומך באמו, המרותקת לכסא גלגלים מאז אירוע מוחי שחוותה לפני כ-14 שנים, ובדודתו החולנית והסובלת מעיוורון. אביו נפטר לפני כארבע שנים ממחלת ריאות.",בעניינו של הנאשם 1
ת.פ 24817-06-10,"תחילה כפר הנאשם בפני שירות המבחן במיוחס לו באישום הראשון, דבר שהוסבר על ידי הסנגור כאי הבנה, ואף הנאשם חזר בו מדבריו אלה בתסקיר הנוסף שהוגש עליו. הפעם הודה, כי קשר קשר עם אחרים לפגוע במתלונן בשל סכסוך בין המשפחות, אם כי התקשה לבחון את הדינמיקה המקדימה לקשירת הקשר, ונמנע מלבחון לעומק את אופי וטיב קשריו עם האחרים, את התכנון והיוזמה, ואת עצם קשירת הקשר. ובאשר לעבירת החזקת הנשק נשוא האישום השני, טען הנאשם, כי מדובר בנשק אשר היה שייך לאביו, ללא היתר, אך התקשה להסביר את נסיבות החזקת הנשק ברשותו. הוא טען, כי במועד המצויין באישום השני, לקח את הנשק למקום עבודתו וכן לביתו, ולאחר מכן העביר אותו לאשת בן דודו על מנת שתשגיח עליו, ואז נתפס על ידי השוטרים, אשר הגיעו לביתם. שירות המבחן ציין, כי ""בתיאורו את העבירות התקשה לבחון את התנהגותו במסגרתן במונחים של אחריות אישית. עוד התרשם 	שירות המבחן, כי הנאשם משתמש במנגנוני הגנה של טשטוש והימנעות, והוא בעל קושי משמעותי בבחינה עצמית בהקשר להתנהגותו פורצת הגבולות; וכן מתקשה להסביר את הפער בין מעורבותו הפלילית לבין הצגתו כאדם בעל מערכת ערכים נורמטיבית ותפיסה מחייבת כלפי מערכת החוק. הוא גם התקשה להביע אמפתיה כלפי המתלונן.",בעניינו של הנאשם 1
