verdict,text,part
"תו""ב 51975-05-10","תו""ב 51975-05-10 ועדה מקומית לתכנון ובניה חבל מודיעין נ' כל נעל סנטר בע""מ ואח'",בית משפט השלום ברמלה
"תו""ב 51975-05-10",על פי הודיית נאשמים 1 ו-3 הנני מרשיעם בעבירות שמפורטות בכתב האישום כדלקמן:,הכרעת דין לגבי נאשמים 1 ו-3
"תו""ב 51975-05-10","ביצעו שימוש חורג במקרקעין ללא היתר לפי סעיפים 145(א)(3) , 204(א), 208 ו-253 לחוק התכנון והבנייה, התשכ""ה- 1965 וכן תקנה 1(1) לתקנות התכנון והבנייה (עבודה ושימוש הטעונים היתר), התשכ""ז- 1967.",הכרעת דין לגבי נאשמים 1 ו-3
"תו""ב 51975-05-10","עבירה של אי קיום צו בית משפט לפי סעיף 210 לחוק התכנון והבנייה, התשכ""ה- 1965.",הכרעת דין לגבי נאשמים 1 ו-3
"תו""ב 51975-05-10","ניתנה והודעה היום י""ז סיון תשע""א, 19/06/2011 במעמד הנוכחים. ",<#4#>
"תו""ב 51975-05-10",הנאשמים הורשעו על פי הודייתם בעבירות המפורטות בכתב האישום. ,גזר דין לנאשמים 1 ו-3
"תו""ב 51975-05-10","נאשמת 1 תשלם קנס בסך של 32,000 ₪. הקנס ישולם בתשלום אחד עד ליום 15.07.11. נאשם 3 ישלם קנס בסך של 6,000 ₪, או 12 ימי מאסר תמורתו. הקנס ישולם בתשלום אחד עד ליום 15.07.11.",לפיכך הנני משית על הנאשמים את העונשים הבאים:
"תו""ב 51975-05-10","כל אחד מהנאשמים יחתום על התחייבות כספית בסך של 20,000 ₪, להימנע במשך 3 שנים מהיום מביצוע עבירה לפי חוק התכנון והבנייה, התשכ""ה- 1965 והתקנות שלפיו. ההתחייבות תיחתם עוד היום במזכירות בית המשפט. היה ונאשם 3 לא יחתום על התחייבות אזי ייאסר למשך 40 ימים.",לפיכך הנני משית על הנאשמים את העונשים הבאים:
"תו""ב 51975-05-10",ניתן בזאת צו איסור שימוש מידי לבנייה נשוא כתב האישום.,לפיכך הנני משית על הנאשמים את העונשים הבאים:
"תו""ב 51975-05-10","ניתנה והודעה היום י""ז סיון תשע""א, 19/06/2011 במעמד הנוכחים. ",<#6#>
"תו""ב 51975-05-10",הדיון בעניינה של נאשמת 2 יידחה לתזכורת תביעה ליום 11.09.11 שעה 08:30.,החלטה לגבי נאשמת 2 
"תו""ב 51975-05-10",נאשמת 2 פטורה מהתייצבות.,החלטה לגבי נאשמת 2 
"תו""ב 51975-05-10","ניתנה והודעה היום י""ז סיון תשע""א, 19/06/2011 במעמד הנוכחים.   ",<#8#>
"תו""ב 51975-05-10",הישאם אבו שחאדה 54678313,5129371
"תו""ב 51975-05-10",הוקלד על ידי: עינת אדטו,"הישאם אבו שחאדה, שופט"
"תו""ב 51975-05-10",נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,"הישאם אבו שחאדה, שופט"
"תו""ב 51975-05-10","בעניין עריכה ושינויים במסמכי פסיקה, חקיקה ועוד באתר נבו – הקש כאן","הישאם אבו שחאדה, שופט"
