verdict,text,part
תפ (אש') 3023∕00,בית משפט השלום אשקלון,בתי המשפט 
תפ (אש') 3023∕00,בית משפט השלום אשקלון,בתי המשפט 
תפ (אש') 3023∕00,פ  003023/00 +003650/00,בתי המשפט 
תפ (אש') 3023∕00,פ  003023/00 +003650/00,בתי המשפט 
תפ (אש') 3023∕00,בית משפט השלום אשקלון,בתי המשפט 
תפ (אש') 3023∕00,בית משפט השלום אשקלון,בתי המשפט 
תפ (אש') 3023∕00,שופט: בן-יוסף רענן,בפני:
תפ (אש') 3023∕00,"הנאשם אדרי יצחק יליד 1960 הורשע לאחר שמיעת ראיות בעבירת הסגת גבול בניגוד לסעיף 447 (א) (1) לחוק העונשין תשל""ז-1977 (להלן: ""חוק העונשין"") בת.פ. 3023/00 ובת.פ. 3650/00 הורשע על פי הודאתו בכתב אישום מתוקן בעבירות בניגוד לסעיף 287 לחוק העונשין הפרת הוראה חוקית, החזקת נשק ותחמושת בניגוד לסעיף 144 (א) + ג (1) רישא וסיפא והחזקת רכוש חשוד כגנוב בניגוד לסעיף 413 לחוק העונשין. ",גזר דין
תפ (אש') 3023∕00,"העבירות כולן נעברו בחודשים יוני ואוקטובר שנת 2000 והחל מיום 10/10/00 הנאשם במעצר ואח""כ עד תום ההליכים המשפטיים. במסגרת הטיעון לעונש קיבל ביהמ""ש תסקיר קצין מבחן בעניינו. התסקיר מגלה כי הנאשם לאחר תקופת גמילה מסמים שערכה כשלוש שנים חזר בשנה האחרונה לצרוך סמים קשים הירואין. ",גזר דין
תפ (אש') 3023∕00,"החל  משרותו הצבאי לפני כ- 20 שנים ריצה תקופות מאסר ממושכות  ועל פי דו""ח שירות המבחן עסקינן באדם הפועל על פי דפוסי התנהגות עברייניים מושרשים.",גזר דין
תפ (אש') 3023∕00,"5129371לחובתו של הנאשם הרשעות קודמות בדין 18 במספר בעשרות עבירות רכוש, סמים, אלימות ואחרות.",גזר דין
תפ (אש') 3023∕00,בהקשר זה יצויין שאכן כדברי סנגוריתו של הנאשם הרשעותיו הקודמות של הנאשם האחרונה הינה בשל עבירה בשנת 92 אלא שרק בשנת 96 שוחרר ממאסר.,גזר דין
תפ (אש') 3023∕00,"לזכותו של הנאשם ניתן לאמר כי ברוב העבירות בהן הוא נותן  הדין היום הודה וחסך מזמנו של ביהמ""ש וכן כי הוא נשוי, אב לחמישה ילדים ושלאחר מאסרו האחרון ניסה לשקם חייו, חדל ל-3 שנים להשתמש בסמים ואף השתלב כשנתיים וחצי בעבודה.",גזר דין
