verdict,text,part
"תפ (ב""ש) 2458∕07","חוק העונשין, תשל""ז-1977",חקיקה שאוזכרה: 
"תפ (ב""ש) 2458∕07","הנאשם הורשע, במסגרת הסדר טיעון, על פי הודאתו בעובדות כתב האישום המתוקן, בביצוע 2 עבירות בנשק בכך שבתאריך 26.06.07 החזיק רובה מסוג קלצ'ניקוב, מוסלק תחת ערימת מזרונים וכן החזיק במקומות שונים בביתו מחסנית של רובה ובה שני קליעים.",גזר דין
"תפ (ב""ש) 2458∕07",טרם הטיעונים לעונש התבקש תסקיר בעניינו של הנאשם.,גזר דין
"תפ (ב""ש) 2458∕07","מתסקיר שהוגש ביום 19.01.09 עולה כי הנאשם בן 62, נשוי בשנית, אב ל-9 ילדים, חולה לב וסוכרת, עבר שלושה התקפי לב וארבעה צינטורים, מתקיים מקצבת נכות.",גזר דין
"תפ (ב""ש) 2458∕07",עוד עולה מהתסקיר כי הנאשם שירת שירות צבאי מלא וכן עבד במהלך חייו עד להחרפה במצבו הרפואי.,גזר דין
"תפ (ב""ש) 2458∕07","בשיחה עם שירות המבחן, שלל הנאשם כוונות פליליות בכל הנוגע לעבירות נשוא כתב האישום, טען כי מצא את כלי הנשק והתחמושת וכי היה בכוונתו למסרם למשטרה. נראה היה כי חשוב לנאשם להבהיר שהוא אדם נורמטיבי, שומר חוק, נאמן למדינה ותרם לה רבות.",גזר דין
"תפ (ב""ש) 2458∕07","שירות המבחן התרשם כי הנאשם חש כקורבן אשר נעשה לו עוול ע""י הממסד המתעלם מתרומתו למדינה ומתייחס אליו כעבריין.",גזר דין
"תפ (ב""ש) 2458∕07","מאחר והנאשם לא העלה בעייתיות הדורשת התערבות טיפולית ולאור עמדותיו ביחס לעבירה שביצע, גילו ומצבו הרפואי, נמנע השירות מהמלצה טיפולית או שיקומית בעניינו.",גזר דין
"תפ (ב""ש) 2458∕07","במסגרת הטיעונים לעונש עתרה ב""כ המאשימה להשית על הנאשם מאסר בפועל וכן מאסר על תנאי. נטען כי על אף עברו הנקי של הנאשם, יש להחמיר עימו וזאת לאור חומרת העבירות ומדיניות הענישה שננקטה בנוגע לעבירות הנשק.",גזר דין
"תפ (ב""ש) 2458∕07","ב""כ המאשימה הגישה לעיוני פסיקה רלוונטית – רע""פ 2718/04 וע""פ 6583/06, רע""פ 2070/08.",גזר דין
