verdict,text,part
תפ (חד') 5000∕00,"הנאשם הורשע לאחר שמיעת ראיות בעבירה של החזקת נשק שלא כדין, לפי סעיף 144 (א) רישא לחוק העונשין, התשל""ז-1977 (להלן: חוק העונשין).",גזר - דין
תפ (חד') 5000∕00,נסיבות ביצוע העבירה תוארו בהרחבה בהכרעת הדין ואינני רואה לחזור עליהן.,גזר - דין
תפ (חד') 5000∕00,הנאשם החזיק נשק כדלקמן:,גזר - דין
תפ (חד') 5000∕00,"5129371אקדחF.N. מס' 339832 T עם מחסנית, אקדח F.N. מס' 43236 L עם מחסנית, אקדח הזנקה 6 מ""מ מס' 744060 ו- 9 יח' זיקוקים, 50 כדורים מסוגים שונים, מחסנית המכילה כדורים, 49 כדורים 9 מ""מ, 4 כדורים 9 מ""מ הולופוינט, כדור 7.65 מ""מ, 13 כדורים 0.22 מ""מ, מחסנית עוזי עם כדור אחד. נ",גזר - דין
תפ (חד') 5000∕00,"מדובר בעבירה מסוג פשע, עבירה חמורה ונפוצה שיש לשרשה.ב",גזר - דין
תפ (חד') 5000∕00,"חומרת העבירות מקבלת משנה תוקף בתקופה זו בה הטרור והפשיעה שולטים ברחובות, ולפיכך יש להילחם ככל האפשר הן בעבירות הנשק העלולות לפגוע בביטחון המדינה ובביטחון הציבור והן בעבירות הרכב, וזאת באמצעות ענישה הולמת ומרתיעה. נ",גזר - דין
תפ (חד') 5000∕00,"""אין אנו יכולים להתעלם מהעובדה, שהחזקת נשק שלא כדין היא עבירה נפוצה, אשר מסכנת את ביטחון הציבור במידה רצינית והדברים ידועים. חשוב שתחדור לתודעת כל תושבי המדינה הידיעה, שמי שביודעין מקבל לרשותו כלי נשק שלא כדין, צפוי בגין עבירה זו לעונש מכאיב, אפילו אין הוא מתכוון אישית לבצע פשע מסוים ומוגדר בעזרת הנשק האמור"".(ע""פ 910/85 איברהים קונדוס ואח' נ' מדינת ישראל, דינים עליון, כרך ב, 807)."" (ראה: ת.פ (חי') 238/01 מדינת ישראל נ' חאלד ווליד אבו עומר, דינים מחוזי, כרך לג(3), 208).ב","עמד על כך ביהמ""ש העליון עוד לפני למעלה מעשור:"
תפ (חד') 5000∕00,"""אחזקת כדורים בכמות כזו מעלה חשש למסוכנות מה עוד שהדבר נעשה בהסתרה, וזאת במיוחד בימים אלה כאשר אלימות מסוגים שונים היא מנת חלקנו ואחזקת נשק באופן בלתי חוקי יש בה כדי לסכן את שלום הציבור ובטחונו"". (ראה: בש""פ 8724/02 אלעביד ריזק נ' מדינת ישראל, טרם פורסם).ו","עמד על כך ביהמ""ש העליון עוד לפני למעלה מעשור:"
תפ (חד') 5000∕00,"בע""פ 698/86 התייחס כב' הנשיא שמגר למדיניות הרצויה בענישה בעבירות נשק:","עמד על כך ביהמ""ש העליון עוד לפני למעלה מעשור:"
תפ (חד') 5000∕00,"""אכן היו מקרים בהם נקטה הערכאה השיפוטית שטיפלה בעניין, גישה מקלה יותר  כפי שהיו מקרים בה ננקטה גישה מחמירה, שהרי כל מקרה נבדק לפי נסיבותיו,  ואולם, מעבר לכך, יש מקום למסקנה כי השימוש המתרחב בכלי נשק קטלניים גם מחייב נקיטת אמצעי ענישה מרתיעים יותר"". (ע""פ 698/86 נסאסרה ואח' נ' מ""י, דינים עליון, כרך ה', 476). ","עמד על כך ביהמ""ש העליון עוד לפני למעלה מעשור:"
תפ (חד') 5000∕00,"""ענישה בגין החזקת נשק ו/או הובלתו ללא היתר, חייבת לשקף את פוטנציאל הסכנה ואת זרע הפורענות, הטמון בעבירות אלה ואין לראות בהן עבירות של מה בכך"" (ת.פ.230/01, מ""י נ' מוחמד בדראן ואח', דינים מחוזי, כרך לג' (3), 210). ","עמד על כך ביהמ""ש העליון עוד לפני למעלה מעשור:"
