verdict,text,part
"תפ (כ""ס) 1712∕04","פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973: סע'  7.א., 7.ג","חוק העונשין, תשל""ז-1977: סע'  144 (א)"
"תפ (כ""ס) 1712∕04","הנאשם הורשע, עפ""י הודאתו, ובמסגרת הסדר טיעון חלקי, בשתי עבירות:",גזר דין
"תפ (כ""ס) 1712∕04",עבירה של החזקת נשק שלא כדין -  עבירה לפי סע' 144 (א) לחוק העונשין.,גזר דין
"תפ (כ""ס) 1712∕04",עבירה של החזקת סמים מסוכנים לצריכה עצמית - עבירה לפי סע' 7 (א) + (ג) סיפא לפקודת הסמים המסוכנים. נ,51293715129371
"תפ (כ""ס) 1712∕04","ביום 15.5.04, נמצא הנאשם בצומת טייבה, כשהוא מחזיק אקדח מסוג ברטה, ובו מחסנית המכילה 8 כדורים, וזאת מבלי שיש לו רשות עפ""י דין להחזיקם. ב",51293715129371
"תפ (כ""ס) 1712∕04","לציין, שהמדובר בנשק אשר נגנב מבעליו בחודש ינואר 2002.ו",51293715129371
"תפ (כ""ס) 1712∕04","כן, החזיק הנאשם באותה עת, בכיס מכנסיו, 2 טבליות של סם מסוכן מסוג MDMA, ובנוסף, החזיק ברכבו,  11.9 גרם סם מסוכן, מסוג קנבוס. נ",51293715129371
"תפ (כ""ס) 1712∕04","אין ספק בדבר חומרת העבירה בנשק, בעיקר בצוק העיתים הבטחוני דהיום, לפי שהנשק עלול היה להגיע לידי גורם פלילי או עוין  ( לעניין זה ראה ע""פ 339/88 – מ""י נ' גל ניצן).ב",51293715129371
"תפ (כ""ס) 1712∕04","יודגש: העבירות בנשק הפכו לנגע ההולך ומרחיב בחברה הישראלית, בייחוד באיזור בו בית משפט זה יושב בדין – והדבר ברור ( ראה- ע""פ 356/87 תופיק נ' מ""י, ע""פ 277/88 חלבאני נ' מ""י, ע""פ 8540/02 חמזה זטאם נ' מ""י,ע""פ 1332/04 מ""י נ' יצחק פס ומתתיהו שבו).ו",51293715129371
"תפ (כ""ס) 1712∕04","הוסף לכך את השילוב שבין שתי העבירות, ונקל לשער מה הסכנה הטמונה בהחזקה בנשק טעון תחמושת תחת השפעת סם מסוכן, הגם שבפועל לא בוצע באקדח שימוש עברייני. נ",51293715129371
"תפ (כ""ס) 1712∕04","ודאי שהדברים יפים, כאשר מדובר בנאשם, שלו גיליון הרשעות בעבירה דומה –בגין נשיאת נשק שלא כדין וגרימת מוות ברשלנות – ת/1 - של גיסתו (!) , כתוצאה משמוש רשלני בנשק זה, ועל כך נדון ל-18 חודשי מאסר בפועל – ת/2.ב",51293715129371
"תפ (כ""ס) 1712∕04","צא ולמד: הנאשם לא למד את לקחו, ולא הפנים כי הוא מחזיק בידיו, ושלא כדין,  כלי משחית. ו",51293715129371
"תפ (כ""ס) 1712∕04","בגזר הדין האמור – ת/2 – זכה הנאשם לענישה מקילה, לאור מחלתו, נסיבותיו הקשות, והרקע לביצוע העבירה – סכסוך המשפחות בו היה מצוי.",51293715129371
"תפ (כ""ס) 1712∕04","עם זאת, עשיית דין עצמי, אין בה בכדי לפתור סכסוכים מעין אלו, נהפוך הוא.",51293715129371
"תפ (כ""ס) 1712∕04","לציין: נתתי דעתי גם לע""פ 70283/04 (מחוזי ת""א), שם השית בית המשפט שנת מאסר בפועל, על עבירה של החזקת נשק.נ",51293715129371
"תפ (כ""ס) 1712∕04","אלא ששם, המדובר היה בתמ""ק, (לאמור: נשק אוטומטי),בעוד שבמקרה דנן, עסקינן באקדח – הגם שטעון.",51293715129371
"תפ (כ""ס) 1712∕04","יודגש: אף שהענישה במקומותינו היא אינדיבידואלית, ואין מקרה אחד דומה למשנהו, נסיבותיו של המקרה דכאן חמורות לא פחות,  שכן, נאשם זה כבר גרם, תוך רשלנות בשמוש בנשק, למות אדם,  והנה בידיו נמצא כלי משחית שכזה, בשנית, ושוב ללא רשיון כדין.",51293715129371
