verdict,text,part
"תפ (כ""ס) 2420∕05","פקודת הסמים המסוכנים [נוסח חדש], תשל""ג-1973","חוק העונשין, תשל""ז-1977: סע'  144 (א)"
"תפ (כ""ס) 2420∕05","הנאשם הורשע, עפ""י הודאתו, בעבירה של החזקת חלקי נשק שלא כדין,  עבירה לפי סעיף 144 (א) סיפא לחוק העונשין, ובעבירה של החזקת סם מסוכן שלא  לצריכה עצמית.",גזר דין
"תפ (כ""ס) 2420∕05","לפי עובדות כתב האישום – בחודש מרץ 04, נתפס הנאשם, כאשר במכוניתו נמצאו מספר פריטים, היכולים לשמש חלקי נשק,  לפי הפירוט להלן:",גזר דין
"תפ (כ""ס) 2420∕05","- צינור מתכתי, באורך של כ- 20 ס""מ, היכל לשמש כקנה ובית בליעה.",גזר דין
"תפ (כ""ס) 2420∕05","- מוט מתכתי באורך של כ- 30 ס""מ, היכל לשמש כנוקר.",גזר דין
"תפ (כ""ס) 2420∕05",- צינור מתכתי היכל לשמש כקת וידית אחיזה. ,גזר דין
"תפ (כ""ס) 2420∕05","- שרוך גומי, היכל לשמש כקפיץ מחזיר לנוקר.",גזר דין
"תפ (כ""ס) 2420∕05","שלושה מתאמים מנחושת: אחד מהם יכל לשמש להובלת הנוקר, השני כקנה, והשלישי לסיומת לקת.",גזר דין
"תפ (כ""ס) 2420∕05","בנוסף, החזיק הנאשם על גופו סם מסוכן מסוג מריחואנה,  במשקל 25.1 ג' נטו, בתוך שקית.",גזר דין
"תפ (כ""ס) 2420∕05","אין ספק בדבר חומרת העבירות, המתעצמת נוכח שילובן, הגם שבפועל לא נעשה שימוש עברייני בכלי מאולתר זה.",גזר דין
"תפ (כ""ס) 2420∕05","בנסיבות אלה, עתרה התביעה להשית על הנאשם מאסר בפועל. ",גזר דין
"תפ (כ""ס) 2420∕05","לציין, כי התביעה קיבלה חוו""ד של מומחה מז""פ – ת/1 - אשר חיבר את החלקים המתכתיים הנ""ל לשרוך הגומי, ובדקם בירי תרמילים – אולם ללא קליעים, וללא אבק שריפה (מסיבות בטיחותיות).",גזר דין
"תפ (כ""ס) 2420∕05","אומר מייד: הנאשם הודה במשטרה  - הודעה ת/2  (שורות 13-14, 22-23) – כי הכלי המאולתר (עד מאוד – הכולל שרוך גומי להפעלתו)  מסוגל לירות, בהיותו מיועד לצייד עופות. משנשאל הנאשם, אם הינו מודע לכך, שהנשק מסוגל להרוג, השיב בחיוב. על כן גם הורשע הנאשם - עפ""י הודאתו – בעבירה בנשק.",גזר דין
"תפ (כ""ס) 2420∕05","מאידך, ביקש הסניגור להתחשב בתיקונו לקולא של כתב האישום, כאשר כתב האישום המקורי התייחס לעבירה של החזקת נשק, ואילו כתב האישום המתוקן מדבר בעבירה של החזקת חלקי נשק בלבד.",גזר דין
"תפ (כ""ס) 2420∕05","הסניגור אינו כופר בכך, שהמדובר באביזרים (מאולתרים) לנשק.",גזר דין
"תפ (כ""ס) 2420∕05","בנוסף, פירט הסניגור את נסיבותיו האישיות של הנאשם, כמו גם את אורח חייו הנורמטיבי בדר""כ (בעל עסק לחמרי בנין) , גילו הצעיר, היותו נעדר עבר פלילי, וללא תיקים נוספים כלשהם.",גזר דין
"תפ (כ""ס) 2420∕05","לדידו, המדובר במעידה חד פעמית, עליה קיבל הנאשם אחריות מיידית במשטרה.",גזר דין
