verdict,text,part
תפ (נצ') 1111∕04,"ביום 26.10.04 הורשע הנאשם, על פי הודאתו, בעבירות שיוחסו לו בכתב האישום המתוקן, עבירות בנשק (רכישה, החזקה ונשיאה) עבירה לפי סעיף 144(א) רישא וסיפא + (ב) רישא וסיפא לחוק העונשין, התשל""ז – 1977 (להלן:""חוק העונשין""), תקיפת שוטר, עבירה לפי סעיף 273 לחוק העונשין ונסיון לתקיפת שוטרים, עבירה לפי סעיף 273 בצירוף לסעיף 25 לחוק העונשין.",גזר דין
תפ (נצ') 1111∕04,"הנאשם רכש, שלא כדין, אקדח ומחסנית עם כדורים, לפחות שנתיים לפני הגשת כתב האישום.",גזר דין
תפ (נצ') 1111∕04,"5129371את האקדח והתחמושת נשא עימו לחורשה, שם ניסה את הנשק בכך שירה מספר יריות ולאחר מכן נשא את הנשק והתחמושת אל איזור מגרש הכדורגל ביפיע, שם הטמינם.",גזר דין
תפ (נצ') 1111∕04,"במהלך חודש יוני 2004 או בסמוך לכך, הוציא הנאשם את הנשק והתחמושת ממקום מחבואם והעבירם אל חנות מכולת ביפיע, בה הוא עובד והנמצאת בהחזקתו.",גזר דין
תפ (נצ') 1111∕04,"בחנות המכולת החזיק הנאשם את האקדח כשהוא טעון, וזאת על מנת לירות במי שיאיים עליו.",גזר דין
תפ (נצ') 1111∕04,"אין חולק כי הנאשם פעל כפי שפעל על רקע סכסוך בין משפחתו ומשפחה אחרת, שבמהלכו נרצח ב – 20.6.04 אחד מבני המשפחה היריבה על ידי בן דודו של הנאשם.",גזר דין
תפ (נצ') 1111∕04,"בתאריך 15.7.04 הגיעו לחנות שוטרים על מנת לערוך בה חיפוש, כשהם מצויידים בצו חיפוש. במהלך החיפוש נמצא הנשק הטעון ועם מציאתו הודע לנאשם כי הוא עצור בגין החזקת נשק שלא כדין.",גזר דין
תפ (נצ') 1111∕04,"הנאשם החל להשתולל, לקלל את אנשי המשטרה כשהוא מנסה לתקוף את השוטרים במכות אגרוף. כאשר ניגש אליו אחד השוטרים להרגיעו, סטר לו הנאשם על פניו, הפילו ארצה והמשיך לתקוף אותו. כאשר ניסו השוטרים האחרים לכבול את הנאשם, המשיך זה להשתולל עד שהצליחו השוטרים להתגבר עליו ולכבלו.",גזר דין
תפ (נצ') 1111∕04,"הפסיקה התייחסה לא אחת לסכנה הרבה הטמונה בעבירות של החזקת, כל שכן נשיאת נשק שלא כדין, ומדיניות הענישה הראויה בעקבות כך.",גזר דין
תפ (נצ') 1111∕04,"""מעבר לנדרש, יוער כי הסכנה הטמונה בעבירה החמורה של החזקת נשק מצדיקה הטלת עונשי מאסר לריצוי בפועל גם על מי שזו עבירתו הראשונה. בבוא בית-המשפט לשקול את הענישה בעבירות מסוג זה, עליו לתת משקל נכבד יותר לאינטרס הציבורי ולצורך להרתיע עבריינים בכוח מלבצע עבירות דומות, על פני הנסיבות האישיות של העבריין. (ראו והשוו ע""פ 5066/98 מדינת ישראל נ' ניעמן דחלה ואח', תק-על 99(3), 1574)"".נ",גזר דין
תפ (נצ') 1111∕04,"(רע""פ 2718/04 - פואד אבו דאחל נ' מדינת ישראל, תק-על 2004(1), 3401 ,עמ' 3402).ב",גזר דין
תפ (נצ') 1111∕04,"כרגיל, חומרת העבירה והעונש הראוי נגזרים מנסיבות ביצוע העבירה ונסיבותיו האישיות האינדיבידואליות של הנאשם. בנוגע לעבירות הנשק נפסק כי קיים מדרג של חומרה, הנגזר מהמטרה לה נועד הנשק, והמשליך על מידת הסיכון הצפויה מן הנאשם בשיקולי בית המשפט האם לעוצרו עד תום ההליכים. ו",גזר דין
תפ (נצ') 1111∕04,"(בש""פ 9126/04 - עבדאללה חוסייני נ' מדינת ישראל, תק-על 2004(4), 715, עמ' 717).נ",גזר דין
תפ (נצ') 1111∕04,"המטרה לשמה הוחזק הנשק, יחד עם שיקולים נוספים, מהווה גם אחד מן השיקולים לקביעת מידת העונש. ב",גזר דין
תפ (נצ') 1111∕04,"""כבר נאמר לא אחת בפסיקתנו כי מידת העונש המוטל בגין עבירות המבוצעות בנשק מושפעת מפוטנציאל הסיכון הרב הטמון בנשק המוחזק שלא כדין, ומהעברתו מיד ליד ללא פיקוח. בבוא בית המשפט לגזור את הדין בעבירה של החזקה ונשיאה של נשק, עליו להתחשב בנסיבות בהן באה לידי ביטוי החומרה המיוחדת שבעבירה. בין היתר, יתן בית המשפט דעתו לסוג הנשק המוחזק שלא כדין, לכמותו, לתכלית שלשמה הוא מוחזק ולסכנה המוחשית שיעשה בו שימוש (השוו: ב""ש 625/82 חלמי אבו מוך נ' מדינת ישראל (לא פורסם)). כאשר מדובר בנשק שעל-פי טיבו אינו מיועד להגנה עצמית וכל כולו נשק התקפי רב עוצמה אשר השימוש בו יכול להביא להרג ללא הבחנה, יש בעבירת ההחזקה והנשיאה של אותו נשק חומרה מיוחדת"".ו",גזר דין
תפ (נצ') 1111∕04,"(ע""פ 1332/04 - מדינת ישראל נ' יצחק רפאל פס ואח', תק-על 2004(2), 228, עמ' ",גזר דין
תפ (נצ') 1111∕04,"על אף שנשיאת נשק להגנה עצמית נמצאת במדרג נמוך יותר של חומרה, אין לשלול את חומרת התופעה ואת הסכנה הצפויה ממנה לשלום הציבור ולסדר הציבורי. אין בקביעת המדרג כדי להכשיר או לעודד עשיית דין עצמי, ויש ממש בטענות המאשימה כי החזקת הנשק על רקע סכסוך בין המשפחות עלולה להביא להסלמה והחרפת הסכסוך, מה גם שנשק המוחזק שלא כדין עלול למצוא דרכו בסופו של דבר לידיהם של מי שיעשו בו שימוש פלילי או כאמצעי לעבירה ביטחונית. ב",.נ
תפ (נצ') 1111∕04,"(באשר לחומרה היתרה בה יש להתייחס לעבירה של נשיאת נשק על רקע סכסוך דמים בין חמולות ראה ע""פ 2486/02 - איברהים עודתללה נ' מדינת ישראל, תק-על 2002(2), 1863).ו",.נ
תפ (נצ') 1111∕04,"ב""כ הנאשם פרס בפני בית המשפט פסיקה עניפה שבה הסתפקו בתי המשפט בגוזרם את הדין בגין עבירות נשק דומות לאלו בהן הורשע הנאשם, בעונשים של מאסר על תנאי, או תקופות מאסר בפועל שהומרו בעבודות שירות.",.נ
תפ (נצ') 1111∕04,"בין היתר הופנה בית המשפט לפסק דינו של כב' השופט י' כהן בת.פ. (נצרת) 1167/02 מדינת ישראל נ' קאסם דהאמשה  (ניתן ביום 14.4.03) אשר נסיבותיו דומות לענייננו. שם הורשע הנאשם בעבירה על סעיף 144 (א) ו – (ב) לחוק העונשין בלבד, ונגזרו עליו 24 חודשי מאסר בפועל, מתוכם 6 חודשים לריצוי בפועל, אשר הומרו בעבודות שירות. להבדיל מענייננו – מדובר היה באדם נורמטיבי, חסר כל הרשעות קודמות, תיפקד כרופא והותיר רושם חיובי, אשר פרט להרשעתו בעבירות הנשק, לגביהן נטען כי בוצעו על רקע של חשש ולשם הגנה עצמית, לא ביצע כל עבירה נוספת. ",.נ
תפ (נצ') 1111∕04,"אל מול הפסיקה המקילה יחסית שהובאה בטיעוני הסניגור, ניתן לאזכר את פסקי הדין שניתנו לאחרונה, לדוגמא:",.נ
תפ (נצ') 1111∕04,"ביום 14.6.04 במסגרת ת.פ. 417/03 גזר בית המשפט המחוזי בחיפה על נאשם, 20 חודש מאסר בפועל ו – 12 עשר חודשי מאסר על תנאי, בגין עבירות בנשק והפרעה לשוטר במילוי תפקידו. ערעורו של הנאשם על גזר הדין תלוי ועומד, אך בקשתו לעיכוב ביצועו של גזר הדין נדחה על ידי בית המשפט העליון (ע""פ 6906/04 - דני מרציאנו נ' מדינת ישראל  , תק-על 2004(3), 1427).נ",.נ
תפ (נצ') 1111∕04,"בע""פ 3289/03 - אבשלום קוממי נ' מדינת ישראל  , (תק-על 2003(4), 78), נדון ערעורו של נאשם שהורשע בעבירות של החזקת נשק ונשיאתו שלא כדין. על הנאשם נגזרו בבית משפט קמא 6 חודשי מאסר לריצוי בפועל, ונדחתה בקשתו לאפשר לו לבצעם בעבודות שירות. למערער היה עבר פלילי, אך הוא טען כי 5 שנים קודם לכן חזר בתשובה ושינה אורחות חייו. עוד טען להגנתו כי הוא מתגורר בישוב ספר והנשק הוחזק להגנתו. ",.נ
תפ (נצ') 1111∕04,"בית המשפט העליון דחה את ערעורו של הנאשם, תוך הדגשת החומרה שיש לייחס לעבירות הנשק, וקבע כי לולא שקל בית המשפט קמא את נסיבותיו האישיות של המערער לקולא יש להניח כי העונש לא היה כה מתון.",.נ
