verdict,text,part
תפ (קריות) 262∕03,"ב""כ הנאשם מספר 2 – עו""ד בנדל – ביקש דחייה",הנאשם מספר 1 – לא הופיע
תפ (קריות) 262∕03,"כנגד הנאשם הוגש כתב אישום בו יוחסו לו 8 עבירות של שימוש במסמך מזוייף והתחזות כאדם אחר, 7 עבירות של קבלת דבר במרמה בנסיבות מחמירות ועבירה אחת של קבלת דבר במרמה.",הנאשם מספר 1
תפ (קריות) 262∕03,"הנאשם השתמש בהמחאות שנגנבו בהתפרצות למשרד, הציג עצמו כאדם אחר וקיבל במרמה סכומי כסף כאשר הגיש את ההמחאות לפרעון בבנק.",הנאשם מספר 1
תפ (קריות) 262∕03,הנאשם הודה בהזדמנות הראשונה בכל עובדות כתב האישום והטיעונים לעונש נדחו לגביו. נ,5129371
תפ (קריות) 262∕03,התקבל בעניינו תסקיר של שירות המבחן. הצדדים טענו לעונש והנאשם אף הופנה לממונה על עבודות שירות על מנת שיחווה דעתו בדבר כשירותו לבצע עבודות שירות. ב,5129371
תפ (קריות) 262∕03,"לחובת הנאשם הרשעות קודמות בעבירות אלימות, סמים ורכוש והוא אף ריצה עונשי מאסר של ממש. ו",5129371
תפ (קריות) 262∕03,"עם זאת, בהתאם לתסקיר שהוגש בעניינו הרשעתו האחרונה היא משנת 1997, אינו צורך עוד סמים ובדיקה העלתה ניקיון מכל סוג סם כלשהו. נ",5129371
תפ (קריות) 262∕03,"העבירות נשוא האישום נעברו על רקע מצוקה כלכלית ומעורבות בחובות הימורים, אך כיום הנאשם מודע לחומרת מעשיו והחליט לערוך שינוי בחייו. ב",5129371
תפ (קריות) 262∕03,כראייה לכך מועסק הנאשם כמנהל משרד להמרת מטבע בבעלות גיסו והוא חש סיפוק מהשינוי שערך באורח חייו. ו,5129371
תפ (קריות) 262∕03,	שירות המבחן המליץ להמנע מהטלת עונש מאסר בפועל.נ,5129371
תפ (קריות) 262∕03,"כעדי אופי העידו גיסו של הנאשם, מעסיקו וכן אם בנו.ב",5129371
תפ (קריות) 262∕03,"לדבריהם הנאשם עבר שינוי מהותי, הן בתחום התעסוקה והן בתחום חיי המשפחה ואחריותו לגידול בנו. ו",5129371
תפ (קריות) 262∕03,"לפיכך, עתר ב""כ הנאשם להשית על הנאשם מבחן טהור, מאסר על תנאי ופיצוי למתלוננים או מאסר בעבודות שירות לתקופה קצרה. נ",5129371
תפ (קריות) 262∕03,"מן הצד השני, עתרה המאשימה להטלת עונש של מאסר בפועל, קנס, פיצויים למתלוננים ומאסר מותנה מרתיע. ב",5129371
תפ (קריות) 262∕03,"לאחר ששקלתי את מכלול השיקולים, הבאתי בחשבון מחד גיסא את חלוף הזמן מאז ביצוע העבירות ועד היום, את התהליך השיקומי שעבר הנאשם כמפורט בתסקיר ואת חרטתו הכנה, ומאידך גיסא – את חומרת העבירות והנזקים שנגרמו לציבור כתוצאה מכך - החלטתי שלא לגזור על הנאשם מאסר לריצוי בפועל אלא מאסר שירוצה בעבודות שירות, אולם – לתקופה המקסימלית המתאפשרת. ו",5129371
תפ (קריות) 262∕03,"כן אטיל מאסר מותנה מרתיע צופה פני עתיד וקנס משמעותי, אולם – אמנע מלחייב בפיצוי שכן לא הובהר לי די מי הם הניזוקים כתוצאה ממעשיו של הנאשם, כאשר ידוע שבנק אינו אמור לכבד שיקים מזוייפים ולא הובאה בפני ראייה כי בעלי השיקים אכן חוייבו בסכומים הנ""ל. נ",5129371
תפ (קריות) 262∕03,אשר על כן:,5129371
תפ (קריות) 262∕03,"אני דנה את הנאשם למאסר בפועל לתקופה של 6 חודשים שירוצו בעבודות שירות בבית חולים איכילוב ברחוב ויצמן בת""א. ב",5129371
תפ (קריות) 262∕03,אני דנה את הנאשם למאסר על תנאי לתקופה של 12 חודשים למשך 3 שנים והתנאי הוא - כי לא יעבור עבירה בגינה הורשע. ו,5129371
תפ (קריות) 262∕03,"אני דנה את הנאשם לתשלום קנס בסך  50,000 ש""ח או 6 חודשי מאסר.",5129371
תפ (קריות) 262∕03,הקנס ישולם ב- 50 תשלומים חודשיים רצופים ושווים החל מיום 29.1.05. נ,5129371
תפ (קריות) 262∕03,היה והקנס או שיעור משיעוריו לא ישולם במועד – תעמוד יתרת הקנס לתשלום מיידי. ב,5129371
תפ (קריות) 262∕03,"אם יש לזכות הנאשם פקדון, הרי שהפיצויים תחילה ואח""כ הקנס יקוזזו מהפקדון ואם לא יוחזר הפקדון לנאשם. ו",5129371
תפ (קריות) 262∕03,"מומלץ כי תישקל עבודת שירות אחה""צ, לאור  האמור בגזר הדין והקנס שהוטל ועל מנת לאפשר לנאשם לעבוד. ב",	הנאשם יתייצב לריצוי עבודות השירות בתאריך 30.1.05 בשעה 07:00.נ
תפ (קריות) 262∕03,"הנאשם מתחייב לעדכן את משרד הממונה בכל שינוי, אם יחול, בכתובת מגוריו והוא מודע לכך כי עליו לעמוד בתנאי הפיקוח וביקורות הפתע, וכי כל הפרה תביא להפסקה מנהלית ולריצוי העונש במאסר ממש. ו",	הנאשם יתייצב לריצוי עבודות השירות בתאריך 30.1.05 בשעה 07:00.נ
תפ (קריות) 262∕03,זכות ערעור תוך 45 יום.ב,כובע ומשקפי שמש אופטיות יוחזרו לנאשם.נ
תפ (קריות) 262∕03,"ניתנה היום י""ז בטבת, תשס""ה (29 בדצמבר 2004) במעמד הצדדים. ו",כובע ומשקפי שמש אופטיות יוחזרו לנאשם.נ
