verdict,text,part
תפ (רח') 1003∕06,"פקודת מס הכנסה [נוסח חדש] - לא מרובד: סע'  216 (1), 216 (4), 224 א",חקיקה שאוזכרה: 
תפ (רח') 1003∕06,"במועדים הרלוונטים לכתב האישום, עסקה הנאשמת 1, חברה פרטית (להלן: ""החברה""), במתן שירותי קרקע לחברות בנייה, והנאשם 2 שימש מנהלה הפעיל.",כתב האישום
תפ (רח') 1003∕06,"הנאשמים לא הגישו במועד דו""ח על הכנסות החברה לשנות המס 2003 ו-2004, המדובר במחזורים של כ-3 מליון ₪ לשנת 2003, וכמליון ₪ לשנת 2004.",כתב האישום
תפ (רח') 1003∕06,"הנאשם 2, לא הגיש במועד לפקיד השומה הצהרת ההון שלו נכון ליום 31/12/2003. הצהרת ההון הוגשה בחודש אוגוסט 2005. ",כתב האישום
תפ (רח') 1003∕06,כל המחדלים הוסרו.,כתב האישום
תפ (רח') 1003∕06,"על יסוד הודאתם, הורשעו הנאשמים, בעבירות הבאות:",כתב האישום
תפ (רח') 1003∕06,"אי הגשת דו""ח במועד – לפי סעיף 216 (4) לפקודת מס הכנסה [נוסח חדש], תשכ""א-1961 (להלן: ""הפקודה"") (2 עבירות).",הנאשמת 1:
תפ (רח') 1003∕06,אחריות מנהלים – לפי סעיף 224 א לפקודה (2 עבירות).,הנאשם 2:
תפ (רח') 1003∕06,אי קיום דרישה – לפי סעיף 216 (1) לפקודה. ,הנאשם 2:
תפ (רח') 1003∕06,"המחלוקת בין הצדדים מתמקדת, בשאלת אופן סיום ההליך בעניינו של הנאשם 2 (להלן: ""הנאשם"").",המחלוקת
תפ (רח') 1003∕06,הסניגוריות ביקשו לבטל ההרשעה ואילו התביעה עתרה להותירה על כנה.,המחלוקת
תפ (רח') 1003∕06,"הנאשם יליד 1971, הורשע בעבירה של בנייה ללא היתר. כיום, הנאשם גרוש, לדבריו לאחר סכסוך גירושין ממושך וטעון. לאחר שחרורו לצה""ל עבד בחברה שהיתה בבעלות אמו, והמשיך לנהלה לאחר שאמו לקתה במחלה קשה, ונפטרה.",נסיבות אישיות ותסקיר שירות המבחן
תפ (רח') 1003∕06,"הנאשם הכיר בביצוע העבירות אך נטה להשליך האחריות על גורמים חיצוניים. לדברי הנאשם ידע שהוא עובר על החוק, אך בחר שלא להתמודד עם הבעיה מתוך חולשת כוחותיו אותה עת. לאחר התלבטות, המליץ השירות על ביטול ההרשעה לצד 200 שעות של""צ.",נסיבות אישיות ותסקיר שירות המבחן
תפ (רח') 1003∕06,"ההגנה עתרה לאימוץ המלצת השירות, בעיקר מהטעמים הבאים:",עתירת ההגנה
תפ (רח') 1003∕06,"הנאשם החל בלימודי משפטים בשנת 2004, ומתעתד לעסוק בעריכת דין והותרת ההרשעה על כנה עלולה למנוע זאת ממנו ולגרום לו נזק רב.",עתירת ההגנה
תפ (רח') 1003∕06,"הרקע לעבירות – מניעה אובייקטיבית מהגשת הדוחו""ת בשל הימצאותם בבית גרושתו, והקושי להגיע אליהם לאור סכסוך הגירושין הקשה, והכחשת רעיית הנאשם כי המסמכים בידיה.",עתירת ההגנה
תפ (רח') 1003∕06,"הסרת המחדלים, חלקם לפני הגשת כתב האישום.",עתירת ההגנה
תפ (רח') 1003∕06,עברו הנקי של הנאשם.,עתירת ההגנה
תפ (רח') 1003∕06,"נסיבותיו האישיות של הנאשם ובעיקר המשברים שעבר בחייו- הליך הגירושין הקשה, מות האֵם, סכסוך ירושה וההליך הנוכחי.",עתירת ההגנה
תפ (רח') 1003∕06,"התביעה עתרה להותיר את ההרשעה על כנה, ולהשית על הנאשם מאסר מותנה, קנס והתחייבות כספית, בשים לב לחומרת העבירות, להיקף הגדול של המחזורים, ולפסיקה לפיה בעבירות מסוג זה, יש ליתן משקל בכורה לאינטרס הציבורי ולהרתעת הרבים.",עתירת התביעה 
תפ (רח') 1003∕06,סיום ההליך בלא הרשעה הוא חריג לכלל.,דיון
תפ (רח') 1003∕06,"בית המשפט יעשה שימוש בסמכות זו, רק בנסיבות חריגות, בהן אין יחס סביר בין הנזק הצפוי מההרשעה לבין חומרת העבירה (ראו: ע""פ 2083/96 תמר כתב נ' מ.י., פ""ד 9, נ""ב   (3), 337; ורע""פ 9140/99 רומנו נ' מ.י., פ""ד נ""ד(4), 349). ",דיון
תפ (רח') 1003∕06,"יש טעם בדברי התביעה לענין נסיבות החומרא, ובעיקר סכומי מחזורי הכנסות הנאשמת המגיעים לסכום כולל של כ-4 מליון ₪ - שאינו מבוטל כלל ועיקר – התמשכות העבירות משך כשנתיים ימים, והאינטרס הציבורי בהטבעת חותם פליליות על עבירות מסוג זה לצורך הרתעת הרבים.",דיון
תפ (רח') 1003∕06,"מנגד, לא ניתן להתעלם מנסיבות הקולא של הנאשם – בראש ובראשונה, הסרת המחדלים, חלקם לפני הגשת כתב האישום, באופן שיש בו הן להיטיב במידה מסוימת את הנזק, והן הבעת חרטה; מעברו של הנאשם, שלמעט הרשעה בעבירה של בנייה בלא היתר, לא הורשע בעבירות פליליות, וזו לו הרשעה ראשונה בעבירה מסוג זה; מאי שלילת טענת הנאשם בדבר הקושי האובייקטיבי בהמצאת המסמכים הרלוונטים לצורך הגשת הדוחו""ת; מהעובדה שהעבירות נעברו בתקופה משברית, ולאחר פטירת האֵם; מלימודי המשפטים והאפשרות שהרשעה תפגע באפשרויות  תעסוקתו; המלצת השירות.",דיון
תפ (רח') 1003∕06,"נסיבות הקולא אינן מטות באופן מובהק את הכף לטובת הנאשם. עם זאת, לאחר ששקלתי מכלול הנסיבות, ועל מנת לחזק את החלקים הנורמטיבים בהתנהגות הנאשם, ולא לפגוע ביכולתו להשתלב מבחינה תעסוקתית, החלטתי, בסופו של דבר, לאמץ המלצת השירות ועתירת ההגנה לסיום ההליך בלא הרשעה, תוך מתן משקל לאינטרס הציבורי באמצעות הגדלת היקף שעות השל""צ.",דיון
תפ (רח') 1003∕06,"לאור כל האמור, אני מורה כדקלמן:",סוף דבר
תפ (רח') 1003∕06,"על הנאשמת 1, שאינה פעילה עוד אני גוזר, קנס בסך 10 ₪. הקנס ישולם עד ולא יאוחר מיום 1/6/2007. ",סוף דבר
תפ (רח') 1003∕06,"הנאשם 2 - אני מבטל הרשעת הנאשם, ומורה על סיום ההליך בעניינו בלא הרשעה.",סוף דבר
תפ (רח') 1003∕06,"הנאשם ירצה 300 שעות של""צ במסגרת עמותת ""נתיב החסד"" ברחובות כמפורט בתסקיר השירות מיום 15/2/2007. ",סוף דבר
תפ (רח') 1003∕06,54678313זכות ערעור לבית המשפט המחוזי בתוך 45 יום. ,5129371
תפ (רח') 1003∕06,המזכירות תשלח עותק ההחלטה לשירות המבחן. ,5129371
תפ (רח') 1003∕06,"ניתנה היום ד' באייר, תשס""ז (22 באפריל 2007) במעמד הצדדים.",54678313
תפ (רח') 1003∕06,001003/06פ  133 שרה רובנס,"ירון לוי, שופט"
תפ (רח') 1003∕06,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,"ירון לוי, שופט"
