verdict,text,part
תפ (רמ') 1060∕04,פ. 1060/04,גזר דין
תפ (רמ') 1060∕04,"במהלך שמיעת הראיות בתיק זה חזר בו הנאשם מהכפירה והודה בעובדות כתב האישום. הוא הורשע על פי הודאתו בעבירות בשלוש עבירות של ניכוי מס תשומות בלי שיש לו לגביו מסמך לגביו כאמור בסעיף 38 לחוק מס ערך מוסף במטרה להתחמק או להשתמט מתשלום מס, בנסיבות מחמירות ובשלוש עבירות של מסירת ידיעה כוזבת או דו""ח או מסמך אחר הכוללים ידיעה כוזבת במטרה להתחמק או להשתמט מתשלום מס בנסיבות מחמירות.",גזר דין
תפ (רמ') 1060∕04,על פי עובדות כתב האישום במהלך השנים 2001-2002 היה הנאשם בעליו של עסק לעבודות בניה ואספקת פועלים.,גזר דין
תפ (רמ') 1060∕04,"במהלך שנת 2001 הגיש הנאשם למנהל מס ערך מוסף שלושה דוחו""ת תקופתיים כאשר בכל אחד מהם ניכה מס תשומות וזאת מבלי שהיו בידיו חשבוניות מס שהוצאו לו כדין. סה""כ מס התשומות שנדרש הגיע ל-1,687,993 ₪.",גזר דין
תפ (רמ') 1060∕04,"הנאשם הופנה אל שרות המבחן. מתסקיר שרות המבחן עולה כי הנאשם בן 46 , נשוי ואב לשלושה ילדים. הוא נעדר הרשעות קודמות ומקבל קצבת נכות מהביטוח הלאומי. מצבו הבריאותי ירוד, הוא מושתל קוצב לב וסובל מבעיות לב וקוצר נשימה.",גזר דין
תפ (רמ') 1060∕04,הוא שלל כוונה לרמות את שלטונות המס ומבין את הסתבכותו על רקע חוסר נסיון וגישה תמימה תוך מתן אמון באחרים אתם היה בקשר עסקי. הנאשם תופס עצמו כקורבן של קבלנים אתם עבד ולהם העביר כספים אך הם לא העבירו לו חשבוניות.,גזר דין
תפ (רמ') 1060∕04,שרות המבחן התרשם מהמצוקה הרגשית בה מצוי הנאשם וחששו מפני תוצאות הדיון.,גזר דין
תפ (רמ') 1060∕04,בשל אי מסוגלותו הכלכלית לא הצליח להגיע להסדר תשלומים עם המאשימה.,גזר דין
תפ (רמ') 1060∕04,"המאשימה מבהירה כי לאור סכום המס הגבוה, שמתשלומו התחמק הנאשם, מדובר בעבירות שנעברו בנסיבות מחמירות. המאשימה סבורה כי הנאשם ניסה לעשות רווח קל בתקופה קצרה.",גזר דין
תפ (רמ') 1060∕04,"המאשימה מבקשת להטיל על הנאשם עונש מאסר  בפועל , ומאסר על תנאי. היא מתחשבת במצבו הכלכלי ואינה מבקשת להטיל עונש של קנס כספי.",גזר דין
תפ (רמ') 1060∕04,"המאשימה מדגישה את החומרה בה רואים בתי המשפט עבירות מע""מ שנעברו תוך כוונה להתחמק מתשלום מס. בתי המשפט מתייחסים לעבירות של קיזוז מס תשומות שלא כדין כאל עבירות של מרמה.",גזר דין
תפ (רמ') 1060∕04,הקלות היחסית בה ניתן לבצע עבירות כאלה והקושי בגילוין על ידי רשויות המס מהווה פיתוי לעברייני המס ויש בכך כדי להקנות משנה חומרה לעבירה.,גזר דין
תפ (רמ') 1060∕04,חומרה נוספת יש לייחס לעובדה כי הנאשם לא הסיר את המחדל אף לא באופן חלקי.,גזר דין
תפ (רמ') 1060∕04,המאשימה הפנתה לפסיקה ממנה ביקשה להקיש על רף הענישה הראוי במקרה זה.,גזר דין
תפ (רמ') 1060∕04,הסנגור מבקש להתחשב בנסיבותיו האישיות ורפואיות של הנאשם.,גזר דין
תפ (רמ') 1060∕04,לטענת הסנגור העבירות בוצעו על רקע כשלון כלכלי ולא מתוך רצון להפיק רווח כלכלי תוך פרק זמן קצר.,גזר דין
תפ (רמ') 1060∕04,"הנאשם נעדר הרשעות קודמות ובסופו של יום הודה בעבודות כתב האישום. הנאשם חי חיים נורמטיביים בכל משיורי חייו האחרים. הסנגור מדגיש כי העבירות נעברו ללא תחכום רב, ונובעת מעיסוק בתחום חדש שאינו מוכר לנאשם.",גזר דין
תפ (רמ') 1060∕04,אין ספק כי עסקינן בעבירות שבית המשפט רואה אותם בחומרה. היקף העבירה מקנה לה משנה חומרה.,גזר דין
תפ (רמ') 1060∕04,גם העובדה שהנאשם לא הסיר את המחדל (ולו בחלקו) היא נסיבה המחייבת  התחשבות.,גזר דין
תפ (רמ') 1060∕04,הסנגור מדגיש בעיקר את מצבו הרפואי של הנאשם  ומבקש לאמץ את המלצת שרות המבחן ולהטיל על הנאשם עונש מאסר לריצוי בעבודות שרות.,גזר דין
תפ (רמ') 1060∕04,אין ספק כי העברות אותן עבר הנאשם הן עברות חמורות ונושאות אופי של מרמה.,גזר דין
תפ (רמ') 1060∕04,"אין המדובר בהתנהגות פאסיבית של אדם שנקלע למצב כלכלי קשה ולא הגיש את דוחו""ת המע""מ במועד בתקווה לשיפור בעתיד אשר יאפשר לו להגיש את הדוחו""ת עם התשלום הנלווה אליהם (שגם בה אין להקל ראש), אלא בהתנהגות אקטיבית הכוללת דווחים כוזבים. העבירות הן בהיקף כספי גדול. טענותיו של הנאשם כי נפל קורבן לקבלנים אתם עבד ולהם העביר כספים אך הם לא העבירו לו חשבוניות, היא טענה בעלמה שלא גובתה בתעוד.",גזר דין
תפ (רמ') 1060∕04,"גם העובדה כי הנאשם הוא אדם נורמטיבי בשאר מישורי חייו אינה יוצאת דופן במקרים כגון דא ואמר על כך בית המשפט בע.פ. 70470/01 (מחוזי ת""א):",גזר דין
תפ (רמ') 1060∕04,"54678313""הענישה לגביי עברייני מס נתקלת לעיתים קרובות במחסום פסיכולוגי לא קל,שכן מדובר לכאורה באנשים נורמטיביים מהישוב אשר יש כלפיהם רחש של אהדה לנוכח הרקע האישי הרפואי והמשפחתי הקשה שלהם,אולם לא יתכן להתעלם מחומרת העבירות הללו ומן הצורך להביא ולהמחיש גם עבריינות בתחום המיסים,ראוי לה שתיענש בכל חומרת הדין ואין הצדקה לכך שעברייני מס יזכו באהדה יתרה לעומת עברייני רכוש אחרים. לא יתכן לתת לגיטימציה לכך שכאשר עבריין המס מנהל את עסקיו במחזורים נכבדים ביותר ומצב את עבירות המס,הוא מופיע לאחר מכן כשהוא כושל בעסקיו בבית המשפט,ומבקש רחמים לנוכח המצב הקשה שנקלע אליו. כבר נקבע פעמים הרבה כי הגיע העת שלא להשלים עם המציאות המתקיימת לעיתים ואשר על פיה נוהגים להקל בענישה בתחום המס אלא יש להטיל ענישה הולמת ומכאיבה גם בשטח זה(השווה רע""פ 1176/94 בעניין עובדיה).לא אחת גם נקבע כי מן הראוי להטיל על מצחו של עבריין המס ענישה שיהיה בה אות קלון ואשר תתבטא במאסר בפועל ממש ולא במאסר שירוצה בעבודות שירות.""",5129371
תפ (רמ') 1060∕04,"באשר למצבו הרפואי של הנאשם, הגם שאני שוקלת נתון זה בין שיקולי הענישה יש לציין כי בתי הסוהר ערוכים לתת טיפול רפואי לאסיר ככל שנדרש.",5129371
תפ (רמ') 1060∕04,בהתחשב בכל הנתונים הללו אני מטילה על הנאשם את העונשים הבאים:,5129371
תפ (רמ') 1060∕04,מאסר לתקופה של 24 חודש מתוכם שנה בפועל.,זהבה בוסתן 54678313-1060/04
תפ (רמ') 1060∕04,נוסח מסמך זה כפוף לשינויי ניסוח ועריכה,ערעור.
