verdict,text,part
"תפח (ב""ש) 1121∕07","במסגרת הסדר טיעון שנערך בין הצדדים, תוקן כתב האישום המקורי שהוגש כנגד הנאשם והוא הודה בעובדות שבכתב האישום המתוקן והורשע בהתאם.","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","בהתאם לכתב האישום המתוקן בו הודה הנאשם עולה, כי במהלך שנת 2004, בעזה, פנה אל הנאשם אדם בשם אחמד אלעווידת, המכונה ""אבו איאד"" (להלן: ""אבו איאד"") והציע לו להצטרף לפלג אבו ריש, המשתייך לארגון גדודי חללי אל-אקצא, ואשר הוכרז על ידי שר הבטחון בתאריך 28/11/02, כהתאחדות בלתי מותרת. הנאשם הסכים להצעתו של אבו איאד והצטרף לפלג אבו-ריש, לחוליה בראשותו של אבו איאד, שבה היו חברים גם סאמר עווידאת, יוסף עווידאת, אישתווי עווידאת, עאמד עווידאת, פארס עווידאת ו-נידל עווידאת. ","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07",אבו איאד צייד את הנאשם ואת יתר חברי החוליה ברובים מסוג קלצ'ניקוב ובמחסנית ובה קליעים.,"השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","במסגרת חברותו בפלג אבו-ריש ובמהלך השנים 2005 עד 2006, עבר הנאשם אימונים צבאיים במשך כחודש ימים באזור שייח' עג'לין, במסגרתם למד לפרק ולהרכיב רובה מסוג קלצ'ינקוב ולירות בו, התאמן בירי טילי RPG והשתתף באמוני כושר וסדר צבאיים. עם הנאשם השתתפו באימונים גם חלק מחברי החוליה האחרים.","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","במסגרת חברותו של הנאשם בפלג אבו-ריש, הוא יצא יחד עם חברי החוליה לצעדות ותהלוכות, כתבו סיסמאות על הקירות ותלו תמונות של מחבלים מתאבדים. כמו כן, הפגינו חברי החוליה נגד ארגון החמא""ס, תוך שהם נושאים רובים ויורים באויר.","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","בנוסף, ביצע הנאשם במסגרת חברותו בפלג אבו ריש, ביחד עם שני פעילים אחרים בפלג, כשהוא נושא נשק, סיורים באזור ג'וחר אלדיק בעזה.","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","היות ובמעשיו אלה היה הנאשם חבר בהתאחדות בלתי מותרת ופעל במסגרתה, ואף נשא נשק שלא כדין, הוא הורשע בעבירות של חברות ופעילות בהתאחדות בלתי מותרת, לפי סעיף 85(א) לתקנות ההגנה (שעת חרום) 1945 ו-עבירות בנשק (נשיאת נשק) לפי סעיף 144(ב) לחוק העונשין, תשל""ז – 1977 (להלן: ""חוק העונשין"").","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","במסגרת האישום השני שבכתב האישום המתוקן בו הודה הנאשם עולה, כי במהלך שנת 2003 פנה אל הנאשם אדם בשם סאמר אל עווידאת וביקש ממנו לקשור עמו קשר ולבצע תצפית על אזור גדר הגבול עם ישראל, על מנת שסאמר ואדם נוסף יוכלו לעבור דרך הגדר לישראל. הנאשם הסכים והצטרף לקשר, ובמסגרתו, ולשם קידומו, תצפת מביתו הסמוך לגדר הגבול על אזור הגדר. על פי המוסכם, היה על הנאשם לדווח מיד לסאמר באם יראה ג'יפ של צה""ל מתקרב למקום.","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","במסגרת הקשר ולשם קידומו, עברו סאמר והאחר דרך פתח בגדר והסתננו לישראל.","השופטת ר. יפה-כ""ץ, אב""ד:"
"תפח (ב""ש) 1121∕07","היות ובמעשיו אלו, קשר הנאשם עם סאמר והאחר קשר לבצע פשע – להסתנן לישראל, הוא הורשע בעבירה של קשירת קשר לפשע לפי סעיף 499(א)(1) לחוק העונשין.","השופטת ר. יפה-כ""ץ, אב""ד:"
