verdict,text,part
"תפח (ב""ש) 1149-09","חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב), 192, 242, 340א",חקיקה שאוזכרה: 
"תפח (ב""ש) 1149-09","חוק העונשין, תשל""ז-1977: סע'  144(א), 144(ב), 192, 242, 340א",חקיקה שאוזכרה: 
"תפח (ב""ש) 1149-09",         כב' השופט א. ואגו,"בפני: כב' ס. הנשיא השופטת ר. יפה-כ""ץ, אב""ד"
"תפח (ב""ש) 1149-09",         כב' השופט י. צלקובניק,"בפני: כב' ס. הנשיא השופטת ר. יפה-כ""ץ, אב""ד"
"תפח (ב""ש) 1149-09",ג ז ר   -   ד י ן,<#2#>
"תפח (ב""ש) 1149-09","במסגרת הסדר טיעון שנערך בין הצדדים תוקן כתב האישום המקורי שהוגש כנגד הנאשם, הוא הודה בעובדות שבכתב האישום המתוקן והורשע בהתאם. הסדר הטיעון לא כלל הסכמה לעניין העונש.",<#2#>
"תפח (ב""ש) 1149-09","	הנאשם הודה, כי בתאריך 14/11/09 שהה במושב עין הבשור יחד עם גיסו – מסעד אשתיווי ועובד זר מתאילנד בשם אסואין אסאואפום, ובשעה 16:00, לאחר שחבריו שתו שתיה חריפה, נסעו השלושה ברכבו של מסעד, כאשר הנאשם נהג ברכב, עד למשק מספר 52 על מנת לקנות שם שתיה חריפה. אסואין פנה לרכוש חביות בירה במתחם, ולאחר שכלב התקרב אליהם, זרק אסואין לעברו בקבוק. ",<#2#>
"תפח (ב""ש) 1149-09","גבריאל גרה (להלן: ""המתלונן""), אזרח סודני המתגורר ועובד במקום, שמע את נביחותיו של הכלב, התקרב אל השלושה והבחין במעשיהם, וביקש מהשלושה לא להכות את הכלב. בתגובה אמרו לו הנאשם ומסעד, בכעס, כי ירביצו לו; הנאשם אף ירד מהרכב ואמר לו שהם לא יהרגו את הכלב הלילה אלא יחזרו ויפגעו במתלונן, ואף סימן לו בתנועת חיתוך גרון, ומסעד הצטרף לדבריו.",<#2#>
"תפח (ב""ש) 1149-09","לאחר מכן, נסעו השלושה למקום מגוריו הסמוך של מסעד ושם קשרו קשר לבצע פשע, דהיינו – להכות את המתלונן ולהפחידו באמצעות אקדח שנמצא ברשותו של מסעד, בביתו שבתל-ערד. לאחר מכן, נסעו השלושה ברכבו של מסעד, כשהנאשם נוהג בו, לתל-ערד; מסעד הוציא את האקדח שהטמין בואדי ליד הבית והשלושה נסעו חזרה לכיוון עין הבשור. בדרך התאמנו מסעד ואסואין בירי מן האקדח.",<#2#>
"תפח (ב""ש) 1149-09","הנאשם ושותפיו החנו את הרכב במקום מגוריו של מסעד והלכו ברגל למשק בו מתגורר המתלונן, כאשר הם נושאים את האקדח עמם, אצל מסעד. השלושה חיפשו את הקראוון בו מתגורר המתלונן, אולם לא מצאו אותו. מסעד ואסואין ויתרו והחלו להתרחק מהמקום, אולם הנאשם אמר להם, שהוא יישאר במקום וימשיך לחפש את המתלונן. ואכן, הנאשם נטל את האקדח ממסעד והמשיך לסרוק את המתחם על מנת לאתר את מקום מגוריו של המתלונן, בכדי להפחידו.",<#2#>
"תפח (ב""ש) 1149-09","לאחר זמן מה, איתר הנאשם את הקראוואן בו ישן המתלונן, הודיע על כך למסעד ואמר לו שהוא רוצה לירות. מסעד הנחה את הנאשם לירות באויר ולאחר מכן להגיע למקום מגוריו של מסעד.",<#2#>
"תפח (ב""ש) 1149-09","הנאשם, נעמד מחוץ לחלון סמוך למיטתו של המתלונן, בשעה שהמתלונן ישן, ובסמוך לשעה 22:40 ירה באקדח כ-4 יריות מטווח קצר, לעבר קיר הקראוון בו ישן המתלונן ולאחר מכן ברח מהמקום והסתיר את האקדח במקום לא ידוע.",<#2#>
"תפח (ב""ש) 1149-09","כתוצאה ממעשיו של הנאשם לא נפגע המתלונן, אף כי היריות חלפו קרוב אליו.",<#2#>
"תפח (ב""ש) 1149-09","נוכח מעשיו אלה, הורשע הנאשם בביצוע עבירות של ירי באזור מגורים לפי סעיף 340א לחוק העונשין, עבירות בנשק (הובלת נשק) לפי סעיף 144(ב) לחוק העונשין, השמדת ראיה לפי סעיף 242 לחוק העונשין ואיומים לפי סעיף 192 לחוק העונשין, תשל""ז – 1977.",<#2#>
"תפח (ב""ש) 1149-09","שותפיו של הנאשם לעבירה נדונו בנפרד, ואף עניינם הסתיים במסגרת הסדרי טיעון שנערכו עמם. בכתב האישום המתוקן שהוגש בעניינם, כתב אישום השונה בחלק מהפרטים מכתב האישום המתוקן שהוגש, בסופו של דבר, בענייננו, הושמטה עבירת קשירת הקשר ואך צויין, כי מסעד והנאשם, בלא שאסואין שותף לכך, נדברו ביניהם להכות את המתלונן ולהפחידו באמצעות האקדח שהיה ברשותו של מסעד. עוד, ואף זאת בשונה מכתב האישום שבפנינו, צויין, כי אסואין הפסיק את החיפושים אחרי המתלונן משהבחין באקדח שהוחזק על ידי מסעד ועזב את המקום. אשר למסעד צויין, כי אף הוא ויתר על המשך החיפוש ומסר את אקדחו לנאשם, שהמשיך בחיפושיו אחרי המתלונן. באותו כתב אישום גם צויין, כי הנאשם שבפנינו החליט לגרום למותו של המתלונן באמצעות האקדח ועל כן ביצע את הירי כלפי המתלונן דרך קיר הקראוון.",<#2#>
"תפח (ב""ש) 1149-09","מסעד הורשע במסגרת כתב אישום זה בעבירות בנשק (החזקת נשק) לפי סעיף 144(א) רישא לחוק העונשין ו-איומים, ואסואין הורשע אך בעבירה של החזקת נשק. בגין מעשיהם אלה, נדון מסעד למאסר בפועל בן 18 חודשים ולאחר שהופעל עונש מאסר מותנה שהיה תלוי ועומד נגדו למשך 12 חודשים, חלקו בחופף וחלקו במצטבר נקבע, כי עליו לרצות 23 חודשי מאסר בפועל, ואילו אסואין נדון ל-10 חודשי מאסר בפועל. על שניהם הוטלו גם עונשי מאסר על תנאי.",<#2#>
"תפח (ב""ש) 1149-09","לנאשם הרשעה אחת בגין 2 עבירות של סחר בסמים, עבירה אחת בוצעה בתאריך 19/10/09, והשניה בתאריך 4/11/09 (במסגת העבירה השניה הורשע גם בקשירת קשר לביצוע פשע, עבירה בה הורשע גם בענייננו) והוא נדון ל-20 חודשי מאסר לריצוי בפועל ול-12 חודשי מאסר על תנאי.",<#2#>
"תפח (ב""ש) 1149-09","במסגרת טיעוניו לעונש, טען התובע המלומד, עו""ד עטר, כי עניינו של הנאשם שבפנינו חמור בהרבה מעניינם של שותפיו ועל כן העונש שיש להטיל עליו צריך להיות חמור יותר. התובע הפנה לכך שכל חלקו של אסואין התמצה בכך שבשלב מסויים, במהלך נסיעתם ברכב, לאחר לקיחת האקדח, בעת שעצרו בואדי, הוא החזיק את האקדח וירה יריה באויר. אשר למסעד טען התובע, כי אף חלקו קטן בהרבה מזה של הנאשם, שהרי הוא לא הורשע בעבירות הקשורות לירי כלפי המתלונן; הוא פרש ברגע שהבין שהאירוע עתיד להחריף; ובעבירות בהן הורשע לא קיים אותו גרעין קשה של מעשים שביצע הנאשם.",<#2#>
"תפח (ב""ש) 1149-09","התובע הדגיש, כי בחברה מתוקנת, לא ניתן להסכים – לא עם עבירות של החזקת נשק וכמובן לא עם עבירות של הובלת נשק ושימוש בו באזור מגורים, במיוחד כאשר השימוש נעשה תוך כדי כיוון לקראוון בו התגורר אדם ועל מנת להפחידו. לפיכך, ולאור הרישום הפלילי של הנאשם, ביקש התובע להטיל עליו עונש מאסר חמור בהרבה מזה שהוטל על שותפיו ובמצטבר לעונש אותו הוא מרצה היום, וכן מאסר על תנאי ארוך ומרתיע.",<#2#>
"תפח (ב""ש) 1149-09","הסנגור המלומד, עו""ד לין, דווקא סבר שחלקו של הנאשם בפרשה קטן מזה של מסעד. הוא הדגיש, כי בכל הנוגע לתחילת האירוע חלקם של כל המעורבים שווה, אלא שאסעד הוא בעל הנשק והוא אף היה זה שהחזיק בו והביא אותו לשלב השני של האירוע. בדרך, מסעד ואסואין עשו שימוש בנשק, בעוד הנאשם לא עשה כן, ומסעד אף המשיך והחזיק בנשק גם כשחיפשו את המתלונן, ועל כן סבר שיש לראות בו כאדם הדומיננטי בפרשיה כולה.",<#2#>
"תפח (ב""ש) 1149-09","הסנגור הוסיף וטען, כי לא היה ראוי להגיש שני כתבי אישום עם עובדות סותרות, כאשר בכתב אישום אחד, הוא כתב האישום שהוגש כנגד הנאשם, נאמר שמסעד הורה לנאשם לירות באוויר, ואילו בכתב האישום האחר, הוא כתב האישום שהוגש כנגד מסעד, נשמטו עובדות אלה.",<#2#>
"תפח (ב""ש) 1149-09","עוד לדברי הסנגור, לא ניתן להתעלם מהעונש הקל שקיבל מסעד, אפילו העובדות בהן הודה אינן אותן עובדות בהן הודה הנאשם. לדבריו, אין זה אפשרי להוציא את מסעד מכל אירוע הירי, שכן הוא נשאר מעורב באירוע זה, הוא נשאר לתת הנחיות לנאשם והנשק היה שלו, ועל כן, חלקו בכל הפרשיה גדול. הוא הוסיף וציין, כי למסעד עבר פלילי ואף הופעל בעניינו עונש מאסר על תנאי של 12 חודשים.",<#2#>
"תפח (ב""ש) 1149-09","בנוסף הוסיף הסנגור וטען, כי אפילו אמר מסעד לנאשם לירות באויר, ואפילו ירה הנאשם לכיוון הקראוון חרף דברים אלה, הרי שלא התכוון לפגוע במתלונן.",<#2#>
"תפח (ב""ש) 1149-09","אשר לנסיבותיו האישיות של הנאשם ציין הסנגור, כי הנאשם עבד, עובר למעצרו, במפעל ירקות (ר' מכתב מעסיקו - נ/1 לעונש), ניהל אורח חיים נורמטיבי ואף התחתן כ-8 חודשים לפני מעצרו. תקופה ארוכה ניסו הוא ואשתו להביא ילדים, אך הדבר לא עלה בידם והם עמדו בפני פניה לטיפולי פוריות ממש לפני המעצר. כן ציין הסנגור, כי אמו של הנאשם חולנית והיא מתגוררת עם הנאשם ורעייתו (ר' מכתב בעניין מצבה הרפואי של האם - נ/2 לעונש).",<#2#>
"תפח (ב""ש) 1149-09","הסנגור הוסיף והדגיש, כי הרשעתו של הנאשם מאוחרת לעבירה נשוא כתב האישום שבפנינו, אם כי מדובר בעבירה קודמת (להלן).",<#2#>
"תפח (ב""ש) 1149-09","בסיום טיעוניו ביקש הסנגור להשית על הנאשם עונש מתון, חופף לתקופת המאסר שהנאשם מרצה היום וקצר מהעונש שהוטל על מסעד.",<#2#>
"תפח (ב""ש) 1149-09",	הנאשם טען כי הוא מצטער על מה שעשה. ,<#2#>
"תפח (ב""ש) 1149-09","ב""כ שני הצדדים הגישו לעיוננו פסיקה, כל אחד מהם פסיקה התואמת את רמת הענישה שביקש שנאמץ.",<#2#>
