verdict,text,part
"תפח (ב""ש) 12302-11-10","כב' ס. הנשיא השופטת ר' יפה- כ""ץ, אב""ד                         תפח 12302-11-10",בפני:
"תפח (ב""ש) 12302-11-10","כב' ס. הנשיא השופטת ר' יפה- כ""ץ, אב""ד                         תפח 12302-11-10",כב' השופט י' צלקובניק
"תפח (ב""ש) 12302-11-10","חוק העונשין, תשל""ז-1977: סע'  31, 144(ב), 305(1)",פקודת מניעת טרור: סע'  3
"תפח (ב""ש) 12302-11-10",מיני-רציו:,"תקנות ההגנה (שעת-חירום), 1945: סע'  85(1)(ג)"
"תפח (ב""ש) 12302-11-10","* יש להטיל עונשים כבדים על אנשי ארגוני הטרור הפועלים מתוככי רצועת עזה והענישה המחמירה נדרשת גם שעה שהמעשים לא נשאו פרי, נוכח ""פוטנציאל הפגיעה"" הגלום בהם.","תקנות ההגנה (שעת-חירום), 1945: סע'  85(1)(ג)"
"תפח (ב""ש) 12302-11-10",* עונשין – ענישה – מדיניות ענישה: עבירות ביטחון,"תקנות ההגנה (שעת-חירום), 1945: סע'  85(1)(ג)"
"תפח (ב""ש) 12302-11-10","הנאשם, תושב עזה, הורשע ע""פ הודאתו בעבירות כנגד ביטחון המדינה, הכלולות בשלושה אישומים.",.
"תפח (ב""ש) 12302-11-10",בית המשפט המחוזי פסק כדלהלן:,.
"תפח (ב""ש) 12302-11-10","יש להטיל עונשים כבדים ומשמעותיים על אנשי ארגוני הטרור הפועלים מתוככי רצועת עזה, במטרה להמיט הרס וקטל על תושבי ישראל. ככלל, בעת גזירת העונש יש לתת את הדעת לחלקם היחסי של עושי העבירה במעשה העבירה, אולם בעבירות כנגד הביטחון לא ניתן לעבור לסדר היום בדרך של הטלת ענישה מתחשבת או מקלה על הנותנים ידם לפעולות טרור. צרכי הענישה בעבירות מסוג זה אינם מותנים ""בהצלחת המעשים בפועל"" והענישה המחמירה נדרשת ""גם שעה שהמעשים לא נשאו פרי"", נוכח ""פוטנציאל הפגיעה"" הגלום בהם.",.
"תפח (ב""ש) 12302-11-10","בנסיבות העניין, ביהמ""ש לא חרג ממתחמי הענישה המוצעים ע""י המאשימה ולאחר שקילת השיקולים לחומרה ולקולא, הוטלו על הנאשם 19 שנות מאסר ו-18 חודשי מאסר על תנאי.",.
"תפח (ב""ש) 12302-11-10","הנאשם, יליד 1973, תושב עזה, הורשע על פי הודאתו, בעבירות כנגד ביטחון המדינה, הכלולות בשלושה אישומים, במסגרת כתב אישום מתוקן, כלהלן:",השופט י' צלקובניק:
"תפח (ב""ש) 12302-11-10","על פי האישום הראשון, במהלך שנת 2002, בעזה, בעקבות פניית זיאד עבד רבו אבו אלג'דיאן (המכונה ""אבו וסים""), בכיר בארגון גדודי חללי אלאקצא (שהוכרז כהתאחדות בלתי מותרת על ידי שר הביטחון ביום 28.11.2002, ואשר היה ארגון טרוריסטי שעסק בפעולות טרור גם קודם להכרזה), התגייס הנאשם לארגון, וליווה את אבו וסים במסגרת הפעילות בארגון.",השופט י' צלקובניק:
"תפח (ב""ש) 12302-11-10","סמוך לאחר גיוסו, במהלך שנת 2002, הוקמה חוליה צבאית בבית להייה על ידי פעיל הארגון, סמיח אלמדהון, האחראי מטעם הארגון על איזור בית להייה, שבה היו חברים הנאשם ואחיו, נאאל אבו אלג'דיאן, וכן פעילים נוספים. הנאשם וחברי החוליה, ביצעו בשנת 2002, בבית להייה, שמירות, כשהם מצויידים בכלי נשק (""ריבאט"") כנגד כניסת כוחות צה""ל לעזה, במטרה להדוף את כניסת כוחות צה""ל, ולפגוע בביטחון המדינה.",השופט י' צלקובניק:
"תפח (ב""ש) 12302-11-10","נוכח האמור, הורשע הנאשם בעבירה של חברות ופעילות בארגון טרוריסטי, לפי סעיף 3 לפקודה למניעת טרור, תש""ח- 1948, ובעבירות בנשק (נשיאת נשק; מספר רב של עבירות), לפי סעיף 144(ב) לחוק העונשין, תשל""ז- 1977 (להלן -  ""החוק"").",השופט י' צלקובניק:
