verdict,text,part
ME-16-09-57384-189,"חוק העונשין, תשל""ז-1977: סע'  40ב, 40ג, 275, 332(2), 380, 413ה'",חקיקה שאוזכרה: 
ME-16-09-57384-189,"פקודת התעבורה [נוסח חדש]: סע'  62, 67",חקיקה שאוזכרה: 
ME-16-09-57384-189,"תקנות התעבורה, תשכ""א-1961 - לא מרובדות: סע'  22 (א), 54(א)",חקיקה שאוזכרה: 
ME-16-09-57384-189,מיני-רציו:,חקיקה שאוזכרה: 
ME-16-09-57384-189,"* בית המשפט גזר על הנאשם שהורשע בשורה של עבירות, שעניינן בין השאר, סיכון חיי אדם בנתיב תחבורה, תקיפה הגורמת חבלה ממשית, הפרעה לשוטר ונהיגה בזמן פסילה, עונש של 34 חודשי מאסר, מאסר על תנאי ופסילה מנהיגה ומקבלת רישיון נהיגה ופיצוי למתלונן.",חקיקה שאוזכרה: 
ME-16-09-57384-189,* עונשין – ענישה – מדיניות ענישה: סיכון חיי אדם בנתיב תחבורה,חקיקה שאוזכרה: 
ME-16-09-57384-189,"בית המשפט נדרש לגזור את דינו של הנאשם שהורשע על פי הודאתו בעובדות כתב אישום מתוקן, בעבירה של סיכון חיי אדם במזיד בנתיב תחבורה; בתקיפה הגורמת חבלה ממשית; בחבלה במזיד לרכב; בהפרעה לשוטר במילוי תפקידו; נהיגה בזמן פסילה; בנהיגה במהירות מופרזת, ובנהיגה כשברמזור אור אדום בצומת.",.
ME-16-09-57384-189,בית המשפט פסק כלהלן:,.
ME-16-09-57384-189,"בראש ובראשונה יש להתייחס לעונש שקבע המחוקק לצד העבירות – העבירה החמורה מהעבירות בהן הורשע הנאשם, היא סיכון חיי אדם בנתיב תחבורה, שלצידה קבע המחוקק 20 שנות מאסר. לחבלה במזיד ברכב נקבע עונש של חמש שנות מאסר. לתקיפה הגורמת חבלה ממשית, נקבע עונש מאסר של שלוש שנים. כך גם לעבירה של הפרעה לשוטר במילוי תפקידו, ולנהיגה בזמן פסילה. לעבירות התעבורה האחרות בהן הורשע הנאשם, נקבע עונש מאסר למשך שנתיים.",.
ME-16-09-57384-189,"לצד הענישה שקבע המחוקק, יש להתחשב כאמור במדיניות הענישה הנהוגה. במקרה זה יש לקבוע את מתחם הענישה בין 30 לבין 60 חודשי מאסר בפועל.",.
