verdict,text,part
"תפ""ח 42681-11-18","חוק העונשין, תשל""ז-1977: סע'  345(א)(1), 348(ג), 369, 40יא(6)",חקיקה שאוזכרה: 
"תפ""ח 42681-11-18",מיני-רציו:,חקיקה שאוזכרה: 
"תפ""ח 42681-11-18","* בית המשפט גזר את דינו של נאשם שהורשע בביצוע עבירות מין בקטינה, והשית עליו 10 שנות מאסר, 12 חודשי מאסר מותנים ופיצוי למתלוננת בסך 100,000 ₪.",חקיקה שאוזכרה: 
"תפ""ח 42681-11-18",* עונשין – ענישה – מדיניות ענישה: עבירות מין בקטינים,חקיקה שאוזכרה: 
"תפ""ח 42681-11-18","הנאשם הורשע בביצוען של שתי עבירות אינוס, עבירה של חטיפה ועבירה של מעשים מגונים.",.
"תפ""ח 42681-11-18",בית המשפט המחוזי גזר את הדין כדלהלן:,.
"תפ""ח 42681-11-18","לעניין הערכים החברתיים המוגנים שנפגעו כתוצאה ממעשי הנאשם, יצוין כי מעשי הנאשם פגעו בזכות הקטינה לאוטונומיה, כבוד, חירות, שלמות הגוף והנפש וביטחון אישי. בית המשפט העליון עמד, לא אחת, על חומרת הפגיעה המינית ועל השלכותיהן ההרסניות של עבירות המין על הקרבן ועל בני משפחתו, וביתר שאת במקרה שבו קורבן העבירה הוא קטין. בהתחשב בערכים החברתיים המוגנים שנפגעו, מידת הפגיעה בהם, מדיניות הענישה הנוהגת ונסיבות ביצוע העבירות, ראוי להעמיד את מתחם העונש ההולם בענייננו על בין 7 ל-12 שנות מאסר. בנסיבות המתוארות, נידון הנאשם לעונשים הבאים: 10 שנות מאסר לריצוי בפועל, 12 חודשי מאסר מותנים ופיצוי למתלוננת בסך 100,000 ₪.",.
"תפ""ח 42681-11-18","נאסר בזאת פרסום כל פרט המזהה את הקטינה או מי מבני משפחתה, לרבות פרסום שם, שם משפחה, מקום מגורים, עיר מגורים, מקום לימודים ומקום עבודה או כל פרט העלול להביא לזיהוי מי מאלה.",גזר דין
"תפ""ח 42681-11-18","בתאריך 15.09.2018, בשעות הלילה, הסיע הנאשם, יליד 1985, ברכבו את המתלוננת, קטינה ילידת 2002 (להלן: ""הקטינה""), אליה התוודע באותו הערב, בנסיבות שתפורטנה.",השופטת דינה כהן:
"תפ""ח 42681-11-18","בהכרעת דין מיום 21.07.20, לאחר שמיעת ראיות, קיבלנו את טענות המאשימה לפיהן באותו הערב, הנאשם הסיע את הקטינה ברכבו למקום אחר מזה שהוסכם ובנסיבות שתפורטנה, ושם אנס אותה ברכבו וביצע בה מעשים מגונים.",השופטת דינה כהן:
