citation,context_text,extracted_text,predicted_label
"ע""פ 174/21","קביעת מתחם העונש ההולם – נסיבות הקשורות לביצוע העבירה
אין צורך להכביר מילים אודות חומרת העבירה בה הורשע הנאשם והפגיעה בערכים המוגנים לרבות בציבור בכללותו אפילו כאשר עסקינן בסם ""קל"" מסוג קנאביס שחומרתו פחותה בהשוואה לסוגי סמים אחרים, כגון הרואין או קוקאין. עם זאת, וחרף העובדה כי בשנים האחרונות ננקטת מדיניות ענישה מקלה עם משתמשי הסמים ה""קלים"", הרי מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (רע""פ 174/21 סויסה נ' מדינת ישראל (25.02.21); ע""פ 6299/20 חן נ' מדינת ישראל (04.02.21); ע""פ 5807/17 דרחי נ' מדינת ישראל (18.06.18)).
בע""פ 2596/18 זנזורי נ' מדינת ישראל (12.8.2018) נכתב:","מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (רע""פ 174/21 סויסה נ' מדינת ישראל (25.02.21);",0
"ע""פ 6299/20","קביעת מתחם העונש ההולם – נסיבות הקשורות לביצוע העבירה
אין צורך להכביר מילים אודות חומרת העבירה בה הורשע הנאשם והפגיעה בערכים המוגנים לרבות בציבור בכללותו אפילו כאשר עסקינן בסם ""קל"" מסוג קנאביס שחומרתו פחותה בהשוואה לסוגי סמים אחרים, כגון הרואין או קוקאין. עם זאת, וחרף העובדה כי בשנים האחרונות ננקטת מדיניות ענישה מקלה עם משתמשי הסמים ה""קלים"", הרי מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (רע""פ 174/21 סויסה נ' מדינת ישראל (25.02.21); ע""פ 6299/20 חן נ' מדינת ישראל (04.02.21); ע""פ 5807/17 דרחי נ' מדינת ישראל (18.06.18)).
בע""פ 2596/18 זנזורי נ' מדינת ישראל (12.8.2018) נכתב:","ע""פ 6299/20 חן נ' מדינת ישראל (04.02.21)",0
"ע""פ 5807/17","עוד הודגש בפסיקה כי אף שרשויות האכיפה מציגות מדיניות אכיפה מקלה יותר לגבי שימוש בקנבוס – השימוש בקנבוס אסור ויש להמשיך להילחם בתופעות של גידול והפצה של סם זה:
""לטעמי זה אינו סם קל אלא סם פחות חמור. ממילא, אין זו המסגרת לבחון את מדיניות רשויות האכיפה. מתוך הנחה שהיא ראויה, הרי שהיא נועדה בעיקר למשתמשים בסם זה לשימוש עצמי, ולא בתדירות גבוהה... מדיניות החדשה זו לא נועדה לעודד הספקה או ייצור של סם, ואין בה לגורע מהתכלית החברתית של מלחמה נגד התופעות אלו. עולה כי מדיניות הענישה למשתמש העצמי בסם מסוג קנבוס פעם ראשונה לחוד, ומדיניות הענישה למפיץ, לסוחר ולמגדל, ולמסייע להם – לחוד"" (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.6.2018))
עבירות הסמים פוגעות בשלומו ובריאותו של הציבור. גידול סם, החזקה שלא לצריכה עצמית, יבוא סם וסחר בסם תורמות להפצת הסם. בתי המשפט עמדו על הצורך בענישה משמעותית בעבירות אלו, המביאה בחשבון בין היתר את כמות הסם ואת חלקו של הנאשם בביצוע העבירות (רע""פ 7906/19 אדרי נ' מדינת ישראל (03.12.19) וכן רע""פ 5494/19 רנד נ' מדינת ישראל (22.08.19)).
קביעת מתחם העונש ההולם – נסיבות הקשורות לביצוע העבירה
אין צורך להכביר מילים אודות חומרת העבירה בה הורשע הנאשם והפגיעה בערכים המוגנים לרבות בציבור בכללותו אפילו כאשר עסקינן בסם ""קל"" מסוג קנאביס שחומרתו פחותה בהשוואה לסוגי סמים אחרים, כגון הרואין או קוקאין. עם זאת, וחרף העובדה כי בשנים האחרונות ננקטת מדיניות ענישה מקלה עם משתמשי הסמים ה""קלים"", הרי מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (רע""פ 174/21 סויסה נ' מדינת ישראל (25.02.21); ע""פ 6299/20 חן נ' מדינת ישראל (04.02.21); ע""פ 5807/17 דרחי נ' מדינת ישראל (18.06.18)).
בע""פ 2596/18 זנזורי נ' מדינת ישראל (12.8.2018) נכתב:","""לטעמי זה אינו סם קל אלא סם פחות חמור. ממילא, אין זו המסגרת לבחון את מדיניות רשויות האכיפה. מתוך הנחה שהיא ראויה, הרי שהיא נועדה בעיקר למשתמשים בסם זה לשימוש עצמי, ולא בתדירות גבוהה... מדיניות החדשה זו לא נועדה לעודד הספקה או ייצור של סם, ואין בה לגורע מהתכלית החברתית של מלחמה נגד התופעות אלו. עולה כי מדיניות הענישה למשתמש העצמי בסם מסוג קנבוס פעם ראשונה לחוד, ומדיניות הענישה למפיץ, לסוחר ולמגדל, ולמסייע להם – לחוד"" (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.6.2018)) 

עם זאת, וחרף העובדה כי בשנים האחרונות ננקטת מדיניות ענישה מקלה עם משתמשי הסמים ה""קלים"", הרי מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.06.18)).",0
"ע""פ 2596/18","אין צורך להכביר מילים אודות חומרת העבירה בה הורשע הנאשם והפגיעה בערכים המוגנים לרבות בציבור בכללותו אפילו כאשר עסקינן בסם ""קל"" מסוג קנאביס שחומרתו פחותה בהשוואה לסוגי סמים אחרים, כגון הרואין או קוקאין. עם זאת, וחרף העובדה כי בשנים האחרונות ננקטת מדיניות ענישה מקלה עם משתמשי הסמים ה""קלים"", הרי מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (רע""פ 174/21 סויסה נ' מדינת ישראל (25.02.21); ע""פ 6299/20 חן נ' מדינת ישראל (04.02.21); ע""פ 5807/17 דרחי נ' מדינת ישראל (18.06.18)).
בע""פ 2596/18 זנזורי נ' מדינת ישראל (12.8.2018) נכתב:
""סחר בסמים הוא סחר בסמים. ידע כל מי שמהרהר בדרכים לעשיית כסף קל, כי מדיניות הענישה לא השתנתה ובית המשפט רואה בחומרה עבירות של סחר והפצה של סמים מסוכנים, גם סמים 'קלים', תוך הטלת ענישה משמעותית ומרתיעה. צרכנים ומשתמשים – ראו הוזהרתם""","בע""פ 2596/18 זנזורי נ' מדינת ישראל (12.8.2018) נכתב: ""סחר בסמים הוא סחר בסמים. ידע כל מי שמהרהר בדרכים לעשיית כסף קל, כי מדיניות הענישה לא השתנתה ובית המשפט רואה בחומרה עבירות של סחר והפצה של סמים מסוכנים, גם סמים 'קלים', תוך הטלת ענישה משמעותית ומרתיעה. צרכנים ומשתמשים – ראו הוזהרתם""",0
"ע""פ 5807/17","עוד הודגש בפסיקה כי אף שרשויות האכיפה מציגות מדיניות אכיפה מקלה יותר לגבי שימוש בקנבוס – השימוש בקנבוס אסור ויש להמשיך להילחם בתופעות של גידול והפצה של סם זה:
""לטעמי זה אינו סם קל אלא סם פחות חמור. ממילא, אין זו המסגרת לבחון את מדיניות רשויות האכיפה. מתוך הנחה שהיא ראויה, הרי שהיא נועדה בעיקר למשתמשים בסם זה לשימוש עצמי, ולא בתדירות גבוהה... מדיניות החדשה זו לא נועדה לעודד הספקה או ייצור של סם, ואין בה לגורע מהתכלית החברתית של מלחמה נגד התופעות אלו. עולה כי מדיניות הענישה למשתמש העצמי בסם מסוג קנבוס פעם ראשונה לחוד, ומדיניות הענישה למפיץ, לסוחר ולמגדל, ולמסייע להם – לחוד"" (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.6.2018))
עבירות הסמים פוגעות בשלומו ובריאותו של הציבור. גידול סם, החזקה שלא לצריכה עצמית, יבוא סם וסחר בסם תורמות להפצת הסם. בתי המשפט עמדו על הצורך בענישה משמעותית בעבירות אלו, המביאה בחשבון בין היתר את כמות הסם ואת חלקו של הנאשם בביצוע העבירות (רע""פ 7906/19 אדרי נ' מדינת ישראל (03.12.19) וכן רע""פ 5494/19 רנד נ' מדינת ישראל (22.08.19)).
קביעת מתחם העונש ההולם – נסיבות הקשורות לביצוע העבירה
אין צורך להכביר מילים אודות חומרת העבירה בה הורשע הנאשם והפגיעה בערכים המוגנים לרבות בציבור בכללותו אפילו כאשר עסקינן בסם ""קל"" מסוג קנאביס שחומרתו פחותה בהשוואה לסוגי סמים אחרים, כגון הרואין או קוקאין. עם זאת, וחרף העובדה כי בשנים האחרונות ננקטת מדיניות ענישה מקלה עם משתמשי הסמים ה""קלים"", הרי מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (רע""פ 174/21 סויסה נ' מדינת ישראל (25.02.21); ע""פ 6299/20 חן נ' מדינת ישראל (04.02.21); ע""פ 5807/17 דרחי נ' מדינת ישראל (18.06.18)).
בע""פ 2596/18 זנזורי נ' מדינת ישראל (12.8.2018) נכתב:","עוד הודגש בפסיקה כי אף שרשויות האכיפה מציגות מדיניות אכיפה מקלה יותר לגבי שימוש בקנבוס – השימוש בקנבוס אסור ויש להמשיך להילחם בתופעות של גידול והפצה של סם זה: ""לטעמי זה אינו סם קל אלא סם פחות חמור. ממילא, אין זו המסגרת לבחון את מדיניות רשויות האכיפה. מתוך הנחה שהיא ראויה, הרי שהיא נועדה בעיקר למשתמשים בסם זה לשימוש עצמי, ולא בתדירות גבוהה... מדיניות החדשה זו לא נועדה לעודד הספקה או ייצור של סם, ואין בה לגורע מהתכלית החברתית של מלחמה נגד התופעות אלו. עולה כי מדיניות הענישה למשתמש העצמי בסם מסוג קנבוס פעם ראשונה לחוד, ומדיניות הענישה למפיץ, לסוחר ולמגדל, ולמסייע להם – לחוד"" (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.6.2018))

עם זאת, וחרף העובדה כי בשנים האחרונות ננקטת מדיניות ענישה מקלה עם משתמשי הסמים ה""קלים"", הרי מדיניות הענישה הנוהגת כלפי אלו החוטאים ונוטלים חלק בשרשרת ההפצה, נותרה ועודנה ממשית ומרתיעה (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.06.18)).",0
"ע""פ 7906/19","""לטעמי זה אינו סם קל אלא סם פחות חמור. ממילא, אין זו המסגרת לבחון את מדיניות רשויות האכיפה. מתוך הנחה שהיא ראויה, הרי שהיא נועדה בעיקר למשתמשים בסם זה לשימוש עצמי, ולא בתדירות גבוהה... מדיניות החדשה זו לא נועדה לעודד הספקה או ייצור של סם, ואין בה לגורע מהתכלית החברתית של מלחמה נגד התופעות אלו. עולה כי מדיניות הענישה למשתמש העצמי בסם מסוג קנבוס פעם ראשונה לחוד, ומדיניות הענישה למפיץ, לסוחר ולמגדל, ולמסייע להם – לחוד"" (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.6.2018))
עבירות הסמים פוגעות בשלומו ובריאותו של הציבור. גידול סם, החזקה שלא לצריכה עצמית, יבוא סם וסחר בסם תורמות להפצת הסם. בתי המשפט עמדו על הצורך בענישה משמעותית בעבירות אלו, המביאה בחשבון בין היתר את כמות הסם ואת חלקו של הנאשם בביצוע העבירות (רע""פ 7906/19 אדרי נ' מדינת ישראל (03.12.19) וכן רע""פ 5494/19 רנד נ' מדינת ישראל (22.08.19)).
בנוסף לשימוש בסם עצמו, ההתמכרות לסמים והצורך במימונם מגבירים ומהווים לעיתים את הסיבה העיקרית לביצוע עבירות פליליות אחרות כגון עבירות רכוש הפוגעות בקניינו של הפרט.","בתי המשפט עמדו על הצורך בענישה משמעותית בעבירות אלו, המביאה בחשבון בין היתר את כמות הסם ואת חלקו של הנאשם בביצוע העבירות (רע""פ 7906/19 אדרי נ' מדינת ישראל (03.12.19))",0
"ע""פ 5494/19","ברע""פ 8632/19 כהן נ' מדינת ישראל (05.01.20) – נדחתה בקשת ערעור של נאשם שבית המשפט השלום חרג ממתחם הענישה משיקולי שיקום ודן אותו לצו של""צ וצו מבחן תוך שהאריך את התנאי לאחר שהורשע בשלוש עבירות של סחר בסמים, עבירה של החזקת סם שלא לצריכה עצמית, וכן בעבירה של החזקת כלים להכנת סם. לאחר שהנאשם לא עמד בצו המבחן ולא ביצע את צו השל""צ נגזר עונשו מחדש לתשעה חודשי מאסר בעבודות שירות תוך הפעלת 8 חודשי מאסר מותנה בחופף. ערעור הנאשם לבית המשפט המחוזי נדחה וכך גם בקשתו לרשות ערעור.
ברע""פ 5494/19 רנד נ' מדינת ישראל (22.08.19) – נדחתה בקשת ערעור של נאשם שבית המשפט השלום דן אותו ל-6 חודשי מאסר בפועל בעבודות שירות לצד ענישה נלווית לאחר שהורשע בשתי עסקאות מכירת סם מסוכן מסוג ""קריסטל"" תמורת סך כולל של 750 ₪ והחזקה ברכבו 14 ""יחידות"" של סם מסוג הרואין במשקל כולל של כ-11 גרם, ו-8 ""יחידות"" של סם מסוג קוקאין במשקל כולל של כ-1.9 גרם. בית המשפט קבע מתחם ענישה בין 6-18 חודשי מאסר בפועל וגזר 6 חודשי עבודות שירות בשל נסיבותיו של הנאשם. המדינה לא ערערה על גזר הדין ובקשת ערעורו של הנאשם נדחתה כאמור.
ברע""פ 1183/18 דולב ששון נ' מדינת ישראל (21.03.18) – נדון עניינו של מי שבשני מועדים סיכם עם אחר למכור לו סמים מסוג LSD – פעם אחת ב-150 ₪ ובפעם השניה ב-500 ₪. נקבע כי מתחם העונש ההולם הוא בין מספר חודשי מאסר בפועל לשנה מאסר בפועל ונגזרו 5 חודשי מאסר בפועל (ערעור ובקשת רשות ערעור נדחו).
""לטעמי זה אינו סם קל אלא סם פחות חמור. ממילא, אין זו המסגרת לבחון את מדיניות רשויות האכיפה. מתוך הנחה שהיא ראויה, הרי שהיא נועדה בעיקר למשתמשים בסם זה לשימוש עצמי, ולא בתדירות גבוהה... מדיניות החדשה זו לא נועדה לעודד הספקה או ייצור של סם, ואין בה לגורע מהתכלית החברתית של מלחמה נגד התופעות אלו. עולה כי מדיניות הענישה למשתמש העצמי בסם מסוג קנבוס פעם ראשונה לחוד, ומדיניות הענישה למפיץ, לסוחר ולמגדל, ולמסייע להם – לחוד"" (ע""פ 5807/17 דרחי נ' מדינת ישראל (18.6.2018))
עבירות הסמים פוגעות בשלומו ובריאותו של הציבור. גידול סם, החזקה שלא לצריכה עצמית, יבוא סם וסחר בסם תורמות להפצת הסם. בתי המשפט עמדו על הצורך בענישה משמעותית בעבירות אלו, המביאה בחשבון בין היתר את כמות הסם ואת חלקו של הנאשם בביצוע העבירות (רע""פ 7906/19 אדרי נ' מדינת ישראל (03.12.19) וכן רע""פ 5494/19 רנד נ' מדינת ישראל (22.08.19)).
בנוסף לשימוש בסם עצמו, ההתמכרות לסמים והצורך במימונם מגבירים ומהווים לעיתים את הסיבה העיקרית לביצוע עבירות פליליות אחרות כגון עבירות רכוש הפוגעות בקניינו של הפרט.","ברע""פ 5494/19 רנד נ' מדינת ישראל (22.08.19) – נדחתה בקשת ערעור של נאשם שבית המשפט השלום דן אותו ל-6 חודשי מאסר בפועל בעבודות שירות לצד ענישה נלווית לאחר שהורשע בשתי עסקאות מכירת סם מסוכן מסוג ""קריסטל"" תמורת סך כולל של 750 ₪ והחזקה ברכבו 14 ""יחידות"" של סם מסוג הרואין במשקל כולל של כ-11 גרם, ו-8 ""יחידות"" של סם מסוג קוקאין במשקל כולל של כ-1.9 גרם. בית המשפט קבע מתחם ענישה בין 6-18 חודשי מאסר בפועל וגזר 6 חודשי עבודות שירות בשל נסיבותיו של הנאשם. המדינה לא ערערה על גזר הדין ובקשת ערעורו של הנאשם נדחתה כאמור.

עבירות הסמים פוגעות בשלומו ובריאותו של הציבור. גידול סם, החזקה שלא לצריכה עצמית, יבוא סם וסחר בסם תורמות להפצת הסם. בתי המשפט עמדו על הצורך בענישה משמעותית בעבירות אלו, המביאה בחשבון בין היתר את כמות הסם ואת חלקו של הנאשם בביצוע העבירות (רע""פ 7906/19 אדרי נ' מדינת ישראל (03.12.19) וכן רע""פ 5494/19 רנד נ' מדינת ישראל (22.08.19)).",1
"ע""פ 966/94","בנוסף לשימוש בסם עצמו, ההתמכרות לסמים והצורך במימונם מגבירים ומהווים לעיתים את הסיבה העיקרית לביצוע עבירות פליליות אחרות כגון עבירות רכוש הפוגעות בקניינו של הפרט.
בע""פ 966/94 אמזלג נ' מדינת ישראל, ""נגע הסמים הפוגע קשות בחברתנו מחייב מלחמת חורמה והעונשים שיגזרו על ידי בתי המשפט בשל עבירות סמים צריכים להשתלב במאבק הכולל להדברת הנגע. על כן, יש ליתן משקל ממשי לשיקול ההרתעתי אל מול השיקולים האישיים, אשר משקלם יהיה נמוך יותר במקרים כגון אלה. 'עונש הולם למחזיקי סמים שלא לשימוש עצמי – קרי: למשולבים במערך ההפצה – מכוון לקבוע בהכרת הכל את החומרה היתירה שאנו מייחסים להפצת הסמים, ולהרתיע עבריינים בכוח מלשלוח ידם בפעילות ההפצה. שתי תכליות מרכזיות אלו ניתן להשיג רק על ידי הטלת עונשים חמורים"".
ראו לעניין זה גם ע""פ 211/09 אזולאי נ' מדינת ישראל: ""הענישה בעבירות מסוג זה נועדה, קודם לכל, לשרת את מטרת הגמול לעבריין על עיסוק בסם העלול לסכן חיי אדם ולפגוע בבריאות המשתמשים בו; שנית, על העונש להעביר מסר חד-משמעי של הרתעה ביחס לעבריינים פוטנציאליים, ולשמש אות אזהרה אפקטיבי לכל מי שמתכוון לקחת חלק במערכת ההעברות והסחר בסמים, תהא אשר תהא הפונקציה אותה הוא ממלא בשרשרת זו של העברת הסם מיד ליד"".","בע""פ 966/94 אמזלג נ' מדינת ישראל, ""נגע הסמים הפוגע קשות בחברתנו מחייב מלחמת חורמה והעונשים שיגזרו על ידי בתי המשפט בשל עבירות סמים צריכים להשתלב במאבק הכולל להדברת הנגע. על כן, יש ליתן משקל ממשי לשיקול ההרתעתי אל מול השיקולים האישיים, אשר משקלם יהיה נמוך יותר במקרים כגון אלה. 'עונש הולם למחזיקי סמים שלא לשימוש עצמי – קרי: למשולבים במערך ההפצה – מכוון לקבוע בהכרת הכל את החומרה היתירה שאנו מייחסים להפצת הסמים, ולהרתיע עבריינים בכוח מלשלוח ידם בפעילות ההפצה. שתי תכליות מרכזיות אלו ניתן להשיג רק על ידי הטלת עונשים חמורים"".",0
"ע""פ 211/09","בע""פ 966/94 אמזלג נ' מדינת ישראל, ""נגע הסמים הפוגע קשות בחברתנו מחייב מלחמת חורמה והעונשים שיגזרו על ידי בתי המשפט בשל עבירות סמים צריכים להשתלב במאבק הכולל להדברת הנגע. על כן, יש ליתן משקל ממשי לשיקול ההרתעתי אל מול השיקולים האישיים, אשר משקלם יהיה נמוך יותר במקרים כגון אלה. 'עונש הולם למחזיקי סמים שלא לשימוש עצמי – קרי: למשולבים במערך ההפצה – מכוון לקבוע בהכרת הכל את החומרה היתירה שאנו מייחסים להפצת הסמים, ולהרתיע עבריינים בכוח מלשלוח ידם בפעילות ההפצה. שתי תכליות מרכזיות אלו ניתן להשיג רק על ידי הטלת עונשים חמורים"".
ראו לעניין זה גם ע""פ 211/09 אזולאי נ' מדינת ישראל: ""הענישה בעבירות מסוג זה נועדה, קודם לכל, לשרת את מטרת הגמול לעבריין על עיסוק בסם העלול לסכן חיי אדם ולפגוע בבריאות המשתמשים בו; שנית, על העונש להעביר מסר חד-משמעי של הרתעה ביחס לעבריינים פוטנציאליים, ולשמש אות אזהרה אפקטיבי לכל מי שמתכוון לקחת חלק במערכת ההעברות והסחר בסמים, תהא אשר תהא הפונקציה אותה הוא ממלא בשרשרת זו של העברת הסם מיד ליד"".
בענייננו הורשע הנאשם בעבירות סחר בסם. עם זאת, מעובדות כתב האישום המתוקן אכן עולה תמונה של מספר עסקאות בודדות. כך גם, כמות הסם שנסחרה נמוכה והתמורה הכספית שניתנה עבורה איננה גבוהה (כ- 5 גרם ומאתיים ש""ח).","ראו לעניין זה גם ע""פ 211/09 אזולאי נ' מדינת ישראל: ""הענישה בעבירות מסוג זה נועדה, קודם לכל, לשרת את מטרת הגמול לעבריין על עיסוק בסם העלול לסכן חיי אדם ולפגוע בבריאות המשתמשים בו; שנית, על העונש להעביר מסר חד-משמעי של הרתעה ביחס לעבריינים פוטנציאליים, ולשמש אות אזהרה אפקטיבי לכל מי שמתכוון לקחת חלק במערכת ההעברות והסחר בסמים, תהא אשר תהא הפונקציה אותה הוא ממלא בשרשרת זו של העברת הסם מיד ליד"".",0
"רע""פ 2309/21","סקירת מדיניות הענישה הנוהגת בתיקי סחר מלמדת על טווח ענישה רחב התלוי לרוב בנסיבותיו של כל מקרה ומקרה, זאת בהתחשב בכמות הסם שנסחרה, סוג הסם ומספר העסקאות.
ברע""פ 2309/21 ז'גסטיבסקי נ' מדינת ישראל (08.04.21) – נדחתה בקשת רשות לערער של נאשם שהורשע בשתי עבירות של אספקת סם לאחר שפעמיים סיפק חשיש לקטינות אותו רכש ב-50 שקל כל פעם. הנאשם נדון לחודשיים מאסר בעבודות שירות לצד ענישה נלווית. ערעור שהגיש למחוזי נדחה וכך גם בקשת הרשות לערער.
ברע""פ 7858/19 וקנין נ' מדינת ישראל (28.11.19) – הנאשם הורשע על פי הודאתו בשתי עבירות של סחר בסמים, כשמכר בשני מועדים סם מסוכן מסוג קנבוס וחשיש במשקל כולל של כ-5.8 גרם. נקבע מתחם ענישה ממאסר בפועל למספר חודשים ועד לשמונה חודשים שיכול וירוצו על דרך של עבודות שירות. הנאשם נידון ל- 12 חודשי מאסר בפועל הכוללים מאסר בפועל למשך 5 חודשים והפעלת 3 מאסרים מותנים בחופף, לצד רכיבי ענישה נוספים. ערעור לבית המשפט המחוזי נדחה כך גם בקשת רשות לערער.","ברע""פ 2309/21 ז'גסטיבסקי נ' מדינת ישראל (08.04.21) – נדחתה בקשת רשות לערער של נאשם שהורשע בשתי עבירות של אספקת סם לאחר שפעמיים סיפק חשיש לקטינות אותו רכש ב-50 שקל כל פעם. הנאשם נדון לחודשיים מאסר בעבודות שירות לצד ענישה נלווית. ערעור שהגיש למחוזי נדחה וכך גם בקשת הרשות לערער.",1
