verdict,text,part
"ע""פ 5677∕12",בבית המשפט העליון בשבתו כבית משפט לערעורים פליליים,nothing
"ע""פ 5677∕12","ע""פ  5677/12",nothing
"ע""פ 5677∕12",כבוד השופט י' דנציגר,לפני:	
"ע""פ 5677∕12",כבוד השופט ע' פוגלמן,לפני:	
"ע""פ 5677∕12",כבוד השופטת ד' ברק-ארז,לפני:	
"ע""פ 5677∕12","ערעור על גזר הדין של בית המשפט המחוזי בנצרת (כב' סגן הנשיא ת' כתילי) בת""פ 24-10 מיום 15.7.2012",מדינת ישראל
"ע""פ 5677∕12","י' בשבט התשע""ג (21.1.13)",תאריך הישיבה:
"ע""פ 5677∕12","עו""ד יונתן דדון; עו""ד לימון לוי מלאך",בשם המערער:
"ע""פ 5677∕12","עו""ד ארז בן ארויה",בשם המשיבה:
"ע""פ 5677∕12",בשם שירות המבחן למבוגרים:,בשם המשיבה:
"ע""פ 5677∕12","חוק העונשין, תשל""ז-1977: סע'  29, 144(ב)",חקיקה שאוזכרה: 
"ע""פ 5677∕12",* נדחה ערעור על חומרת העונש שהושת על המערער בגין הרשעתו בעבירות נשק.,חקיקה שאוזכרה: 
"ע""פ 5677∕12","נפסק כי בנסיבות העניין לא נמצא שהעונש חורג מרף הענישה המקובל והראוי ביחס לעבירה שבה הורשע, וכי לא נפל בעונשים השונים, שנגזרו על המערער ועל אחר המעורב בפרשה, פגם המצדיק התערבות.",חקיקה שאוזכרה: 
"ע""פ 5677∕12",* בתי-משפט – ערעור – התערבות בעונש,חקיקה שאוזכרה: 
"ע""פ 5677∕12",* בתי-משפט – ערעור – התערבות במידת העונש,חקיקה שאוזכרה: 
"ע""פ 5677∕12",* עונשין – ענישה – מדיניות ענישה: עבירות נשק,חקיקה שאוזכרה: 
"ע""פ 5677∕12",* עונשין – ענישה – מדיניות ענישה: שיקולים,חקיקה שאוזכרה: 
"ע""פ 5677∕12",* עונשין – ענישה – מדיניות ענישה: שיקולים לחומרה,חקיקה שאוזכרה: 
"ע""פ 5677∕12",* עונשין – ענישה – אחדות הענישה,חקיקה שאוזכרה: 
"ע""פ 5677∕12","המערער וחברו (להלן: עמאד) הורשעו לפי הודאתם בבימ""ש המחוזי בעבירת נשיאת נשק בצוותא לפי סעיפים 29 ו-144(ב) לחוק העונשין, התשל""ז-1977.",.
"ע""פ 5677∕12","הרקע להרשעת המערער הוא לקיחתו חלק בפעולה שבמהלכה הועבר כלי נשק התקפי כבד ממוצב צה""ל על גבול המדינה למקום אחר.",.
"ע""פ 5677∕12","בימ""ש המחוזי גזר על המערער 24 חודשי מאסר בפועל, 12 חודשי מאסר על תנאי למשך שלוש שנים, וקנס בסך 7,500 ₪.",.
"ע""פ 5677∕12","על עמאד נגזרו 6 חודשי עבודות שירות, 14 חודשי מאסר על תנאי למשך שלוש שנים, וקנס בסך 5000 ₪.",.
"ע""פ 5677∕12",מכאן הערעור על חומרת העונש.,.
"ע""פ 5677∕12",בית המשפט העליון (מפי השופט פוגלמן ובהסכמת השופטים דנציגר וברק-ארז) דחה את הערעור ופסק כי:,.
"ע""פ 5677∕12","ערכאת הערעור לא תתערב בחומרת העונש שהוטל על ידי הערכאה הדיונית, אלא במקרים חריגים שבהם נמצא כי קיימת סטייה משמעותית ממדיניות הענישה הראויה או המקובלת ואין עילה לחרוג מכלל זה בענייננו.",.
"ע""פ 5677∕12",המערער לא הרים את הנטל להראות חריגה מרף הענישה המקובל בעבירות נשק.,.
"ע""פ 5677∕12",מדובר בעבירות חמורות שנקבע להן רף ענישה מחמיר.,.
"ע""פ 5677∕12","העבירה שעבר המערער, בנסיבותיה, איננה מצויה ברף הנמוך של עבירות הנשק.",.
"ע""פ 5677∕12","המערער לקח חלק אקטיבי בפעולה שבמהלכה הועבר כלי נשק התקפי כבד ממוצב צה""ל על גבול המדינה למקום אחר.",.
"ע""פ 5677∕12","אף שכתב האישום איננו מייחס למערער שותפות בגניבת הנשק, המעשים המיוחסים לו חמורים.",.
"ע""פ 5677∕12","המערער שימש בתפקיד משמעותי במהלך הובלת הנשק שנגנב, כשתפקידו למנוע מהשותפים לעבירה להיתפס.",.
"ע""פ 5677∕12","תסקיר המבחן שהוגש בעניינו של המערער אינו כולל המלצה טיפולית, וממליץ להטיל עליו ענישה קונקרטית מוחשית ומשמעותית בדמות מאסר בפועל.",.
"ע""פ 5677∕12","בנסיבות אלו, לא נמצא שהעונש שנגזר עליו חורג מרף הענישה המקובל והראוי ביחס לעבירה שבה הורשע.",.
"ע""פ 5677∕12",אף אין ממש בטענות המערער בדבר הפלייתו לרעה ביחס לעמאד במעמד גזירת העונש.,.
"ע""פ 5677∕12","אף כי עיקרון אחידות הענישה הוא עיקרון-יסוד בתורת הענישה שלנו, הוא אינו עומד בפני עצמו ויש לשוקלו בין מכלול שיקולים שיש להעריכם ולאזנם באיזון ראוי כדי להגיע לתוצאת ענישה שקולה, אשר תגשים את תכלית ההגנה על עניינו של הפרט ושל הציבור, המשולבים זה בזה, עליהם מנויים שיקולי צדק ושיקולים של אינטרס הציבור.",.
"ע""פ 5677∕12","בנוסף, מקום בו קיימים הבדלים רלוונטיים בין נאשמים שונים בביצוע עבירה, ההבחנה בין הנאשמים על בסיסם איננה עולה כדי פגיעה בשוויון וכך הדבר בענייננו.",.
"ע""פ 5677∕12","בנסיבות אלו, לא נפל בעונשים השונים שנגזרו על השניים פגם המצדיק התערבות ערכאת הערעור, ואין ללמוד גזירה שווה מהעונש הקל יותר שהושת על עמאד לעניינו של המערער.",.
"ע""פ 5677∕12","ערעור על חומרת העונש שגזר בית המשפט המחוזי בנצרת (כב' סגן הנשיא ת' כתילי) על המערער, לאחר שהורשע האחרון – לפי הודאתו – בעבירות נשק.",השופט ע' פוגלמן:
"ע""פ 5677∕12","המערער וחברו (להלן: עמאד) הורשעו לפי הודאתם בעבירת נשיאת נשק בצוותא לפי סעיפים 29 ו-144(ב) לחוק העונשין, התשל""ז–1977.",השופט ע' פוגלמן:
"ע""פ 5677∕12","לפי כתב האישום המתוקן, בלילה שבין 1-2.10.2009 נסע עמאד יחד עם שניים אחרים (להלן: סארי ו-אמל), ברכבו של אמל, למוצב צה""ל סמוך לקיבוץ יפתח אשר צמוד לגבול עם לבנון (להלן: המוצב).",השופט ע' פוגלמן:
"ע""פ 5677∕12","במועד העבירה, שירת סארי כלוחם במוצב, והיה מודע לנהלי האבטחה הנוהגים בו, ולקיומו של כלי נשק מסוג ""מאג"" אשר הותקן דרך קבע על גבי רכב קרב שהוצב בכביש הגישה למוצב (להלן: המאג).",השופט ע' פוגלמן:
"ע""פ 5677∕12","לאחר שהחלו השלושה בנסיעה, התקשר אמל למערער וביקש ממנו להתלוות לנסיעה למוצב ברכב נוסף, ולהוביל את רכבם של השלושה למוצב בנסיעה לפניהם.",השופט ע' פוגלמן:
"ע""פ 5677∕12","בהגיעם של הארבעה למוצב, יצאו סארי ואמל מהרכב, גנבו את המאג והסתירו אותו בתא המטען של רכבו של אמל.",השופט ע' פוגלמן:
"ע""פ 5677∕12","לאחר מכן נסעו הארבעה מהמקום, כשהמערער נוסע ברכבו לפנים, ושלושת האחרים נוסעים בעקבותיו ברכבו של אמל, עד להגיעם לחורפיש, מקום מגוריו של המערער.",השופט ע' פוגלמן:
"ע""פ 5677∕12",משם המשיכו השלושה האחרים בנסיעה לביתו של אמל בכפר ירכא.,השופט ע' פוגלמן:
"ע""פ 5677∕12","בגין פרשה זו, ואחרות שבהן היה מעורב אמל, שכללו עבירות מתחום הסמים והנשק, גזר עליו בית המשפט המחוזי בנצרת (כב' סגן הנשיא ת' כתילי) שבע וחצי שנות מאסר בפועל, שנתיים וחצי מאסר על תנאי למשך שלוש שנים, קנס בסך 25,000 ש""ח, וכן נפסל רישיונו לתקופה של שלוש שנים מיום שחרורו מהכלא (ת""פ (נצרת) 30-10).",השופט ע' פוגלמן:
