verdict,text,part
"ת""פ 35608-04-18","הנאשם הורשע על יסוד הודאתו בכתב האישום המתוקן בעבירה של ניסיון סחר בנשק לפי סעיף 144(ב2) לחוק העונשין, בגדר האישום האחד (אישום חמישי) ובעבירת סחר בנשק לפי סעיף 144(ב2) בגדר האישום השני (אישום שישי), יוער כבר עתה כי בהכרעת הדין נפלה טעות שכן כתב האישום המתוקן מייחס לנאשם עבירת סחר בגדר האישום החמישי, בכך הוא אף הודה, ועל יסוד זה הצדדים טענו לעונש.",בעניינו של נאשם 3
"ת""פ 35608-04-18",על כן הכרעת הדין מתוקנת באופן שבאישום החמישי – הנאשם מורשע בעבירת סחר בנשק לפי סעיף 144(ב2) לחוק העונשין.,בעניינו של נאשם 3
"ת""פ 35608-04-18",נאשם 3 הועמד לדין עם שני נאשמים נוספים.,בעניינו של נאשם 3
"ת""פ 35608-04-18","ואלה המעשים על פי עובדות כתב האישום המתוקן, בהם הודה:",בעניינו של נאשם 3
"ת""פ 35608-04-18","על פי אישום מס' 5, ביום 23.11.17 יצר נאשם 1 קשר עם סוכן של משטרת ישראל (להלן: ""הסוכן"") ושאל אותו אם הוא מעונין לרכוש אקדח מסוג סטאר 9 תמורת 25,000 ₪.",בעניינו של נאשם 3
"ת""פ 35608-04-18","הסוכן השיב בחיוב ולאחר מספר שיחות תיאום נוספות, נאשם 1 אסף ברכבו את הסוכן בשעה 15:30 לערך מרחוב סלאח א-דין בירושלים והשניים נסעו לבית חנינא, שם אספו את נאשם 3 ויחדיו נסעו לחברון.",בעניינו של נאשם 3
"ת""פ 35608-04-18","עם הגעתם לחברון, החנה נאשם 3 את הרכב, יצא וניגש לבית סמוך, שם פגש באחר ושב לרכב לאחר מספר דקות ומסר לסוכן, בנוכחות נאשם 1, את האקדח המדובר ובו מחסנית תואמת.",בעניינו של נאשם 3
"ת""פ 35608-04-18",הסוכן בחן את האקדח.,בעניינו של נאשם 3
"ת""פ 35608-04-18","בהמשך, יצא נאשם 3 בשנית מהרכב ושב כעבור 20 דק' כשבידיו 10 כדורים אותם הכניס למחסנית האקדח.",בעניינו של נאשם 3
"ת""פ 35608-04-18",הסוכן ונאשמים 1  ו - 3 יצאו מהרכב.,בעניינו של נאשם 3
